step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5
10,[10.4577875   2.6392717   0.15096311],20.0000,6.0000,[10.797558   20.800629    0.18560496],20.0000,0.0000,[ 10.117995   -16.29097      0.29612216],20.0000,6.0000,[10.746265 40.148075  5.949347],20.0000,6.0000,[ 10.117995   -36.29097      0.29612216],20.0000,6.0000,[30.457787    2.6392717   0.15096311],20.0000,6.0000,[30.797558   20.800629    0.18560496],20.0000,0.0000,[ 30.117994   -16.29097      0.29612216],20.0000,6.0000,[30.642506   41.906345    0.06471971],20.0000,6.0000,[ 30.117994   -36.29097      0.29612216],20.0000,6.0000,[100.564926   46.4953      1.0559304],20.0000,3.0000,[133.41609     45.864735     0.97425354],20.0000,4.0000,[122.609825   31.906641    0.5661234],20.0000,3.0000,[93.101776  19.893414   6.0680037],20.0000,4.0000,[127.6102    -37.791683    4.5323215],20.0000,6.0000
11,[11.534712    2.8179855   0.37145665],20.0000,0.0000,[11.873373  20.986038   6.1785026],20.0000,6.0000,[ 11.15964    -15.964578     0.37505877],20.0000,6.0000,[11.802008  39.86091    6.0452685],20.0000,6.0000,[ 11.15964    -35.964577     0.37505877],20.0000,6.0000,[31.534712    2.8179855   0.37145665],20.0000,0.0000,[31.873373  20.986038   6.1785026],20.0000,6.0000,[ 31.15964    -15.964578     0.37505877],20.0000,6.0000,[31.730593   41.99515     0.28639928],20.0000,0.0000,[ 31.15964    -35.964577     0.37505877],20.0000,6.0000,[100.744      47.06248     0.9691048],20.0000,3.0000,[133.74295     46.346073     0.97425354],20.0000,4.0000,[123.03086     32.328907     0.48460013],20.0000,3.0000,[93.6702    19.769176   6.0680037],20.0000,4.0000,[127.45621  -38.35505    4.779088],20.0000,6.0000
12,[12.559707    3.193945    0.07981385],20.0000,6.0000,[12.963467 20.91496   6.26757 ],20.0000,6.0000,[ 12.180449  -15.577752    0.5881805],20.0000,0.0000,[12.872334  39.64291    6.2767663],20.0000,0.0000,[ 12.180449  -35.57775     0.5881805],20.0000,0.0000,[32.559708    3.193945    0.07981385],20.0000,6.0000,[32.963467 20.91496   6.26757 ],20.0000,6.0000,[ 32.18045   -15.577752    0.5881805],20.0000,0.0000,[32.78298   42.28553    6.2786546],20.0000,6.0000,[ 32.18045   -35.57775     0.5881805],20.0000,0.0000,[100.97112     47.61113      0.87699527],20.0000,3.0000,[134.06927     46.826607     0.97425354],20.0000,4.0000,[123.485634    32.711945     0.39791444],20.0000,4.0000,[94.237656  19.645151   6.0680037],20.0000,4.0000,[127.38909   -38.94168     5.0381217],20.0000,5.0000
13,[13.644707    3.3194537   0.16787593],20.0000,6.0000,[14.055131  20.9136     0.2055231],20.0000,0.0000,[ 13.114819  -15.011467    0.2926397],20.0000,6.0000,[13.963856  39.634613   5.9920626],20.0000,6.0000,[ 13.114819  -35.011467    0.2926397],20.0000,6.0000,[33.644707    3.3194537   0.16787593],20.0000,6.0000,[34.05513   20.9136     0.2055231],20.0000,0.0000,[ 33.11482   -15.011467    0.2926397],20.0000,6.0000,[33.87471    42.32172     0.08408908],20.0000,6.0000,[ 33.11482   -35.011467    0.2926397],20.0000,6.0000,[101.24652    48.136715    0.7830097],20.0000,3.0000,[134.39522     47.306583     0.97425354],20.0000,4.0000,[123.9729      33.04999      0.39941967],20.0000,4.0000,[94.80446   19.521265   6.0680037],20.0000,4.0000,[127.43252   -39.539402    5.1908364],20.0000,5.0000
14,[14.718933   3.5135338  0.3878078],20.0000,0.0000,[15.127995  21.115818   6.1973476],20.0000,6.0000,[ 14.155033  -14.680206    0.3750878],20.0000,6.0000,[15.025527 39.374866  6.083801],20.0000,6.0000,[ 14.155033  -34.680206    0.3750878],20.0000,6.0000,[34.718933   3.5135338  0.3878078],20.0000,0.0000,[35.127995  21.115818   6.1973476],20.0000,6.0000,[ 34.155033  -14.680206    0.3750878],20.0000,6.0000,[34.96123    42.427315    0.30467564],20.0000,0.0000,[ 34.155033  -34.680206    0.3750878],20.0000,6.0000,[101.56892    48.634605    0.6888918],20.0000,4.0000,[134.7209      47.786186     0.97425354],20.0000,4.0000,[124.46733     33.36941      0.43117818],20.0000,4.0000,[95.37082   19.397478   6.0680037],20.0000,4.0000,[127.56157  -40.125534   5.290286],20.0000,5.0000
15,[15.738601    3.9038587   0.09573634],20.0000,6.0000,[1.6218891e+01 2.1061296e+01 2.3928331e-03],20.0000,6.0000,[ 15.173045  -14.286277    0.5901352],20.0000,0.0000,[1.6100597e+01 3.9184124e+01 2.5455866e-02],20.0000,0.0000,[ 15.173045  -34.286278    0.5901352],20.0000,0.0000,[35.7386      3.9038587   0.09573634],20.0000,6.0000,[3.6218891e+01 2.1061296e+01 2.3928331e-03],20.0000,6.0000,[ 35.173046  -14.286277    0.5901352],20.0000,0.0000,[3.6009247e+01 4.2733349e+01 1.2985833e-02],20.0000,6.0000,[ 35.173046  -34.286278    0.5901352],20.0000,0.0000,[101.93782    49.098114    0.6870402],20.0000,4.0000,[135.0464      48.26553      0.97425354],20.0000,4.0000,[124.95989     33.6851       0.46547234],20.0000,4.0000,[95.93688   19.273758   6.0680037],20.0000,4.0000,[127.75505   -40.6911      5.3692164],20.0000,5.0000
16,[16.821674    4.0444527   0.18334264],20.0000,6.0000,[17.31041    21.076263    0.22249052],20.0000,0.0000,[ 16.102541   -13.712543     0.29563943],20.0000,6.0000,[17.192114  39.19944    6.0195966],20.0000,6.0000,[ 16.102541   -33.712543     0.29563943],20.0000,6.0000,[36.821674    4.0444527   0.18334264],20.0000,6.0000,[37.31041    21.076263    0.22249052],20.0000,0.0000,[ 36.10254    -13.712543     0.29563943],20.0000,6.0000,[37.100216   42.785477    0.10093921],20.0000,6.0000,[ 36.10254    -33.712543     0.29563943],20.0000,6.0000,[102.3203      49.54511      0.71771455],20.0000,3.0000,[135.3718      48.744698     0.97425354],20.0000,3.0000,[125.4486      34.002575     0.49293667],20.0000,3.0000,[96.50273   19.150082   6.0680037],20.0000,4.0000,[128.00003   -41.2336      5.4460764],20.0000,5.0000
17,[17.893105    4.2533236   0.40273866],20.0000,0.0000,[18.380318 21.293875  6.213696],20.0000,6.0000,[ 17.140142   -13.372863     0.37981755],20.0000,6.0000,[18.258072 38.959892  6.109381],20.0000,6.0000,[ 17.140142   -33.372864     0.37981755],20.0000,6.0000,[37.893105    4.2533236   0.40273866],20.0000,0.0000,[38.380318 21.293875  6.213696],20.0000,6.0000,[ 37.14014    -13.372863     0.37981755],20.0000,6.0000,[38.185074   42.906727    0.32071996],20.0000,0.0000,[ 37.14014    -33.372864     0.37981755],20.0000,6.0000,[102.7007      49.989864     0.66024375],20.0000,4.0000,[135.69464     49.225418     0.88249487],20.0000,3.0000,[125.93253     34.32535      0.42107767],20.0000,4.0000,[97.068436  19.026438   6.0680037],20.0000,4.0000,[128.29082  -41.751102   5.5276  ],20.0000,5.0000
18,[18.907454    4.6573677   0.11035857],20.0000,6.0000,[1.9471790e+01 2.1254772e+01 1.8199524e-02],20.0000,6.0000,[ 18.15452   -12.969712    0.5960554],20.0000,0.0000,[19.33635    38.789192    0.04823329],20.0000,0.0000,[ 18.15452   -32.96971     0.5960554],20.0000,0.0000,[38.90745     4.6573677   0.11035857],20.0000,6.0000,[3.9471790e+01 2.1254772e+01 1.8199524e-02],20.0000,6.0000,[ 38.15452   -12.969712    0.5960554],20.0000,0.0000,[3.9228764e+01 4.3227367e+01 2.8557692e-02],20.0000,6.0000,[ 38.15452   -32.96971     0.5960554],20.0000,0.0000,[103.10533     50.412766     0.65421104],20.0000,4.0000,[136.04349    49.688137    0.7571176],20.0000,3.0000,[126.43442     34.621174     0.40141505],20.0000,4.0000,[97.63405   18.902815   6.0680037],20.0000,4.0000,[128.62508   -42.2406      5.6142855],20.0000,5.0000
19,[19.988504    4.8124385   0.19765642],20.0000,6.0000,[20.562973   21.284964    0.23768485],20.0000,0.0000,[ 19.078188  -12.3869295   0.3020975],20.0000,6.0000,[20.427538  38.823086   6.0406013],20.0000,6.0000,[ 19.078188  -32.38693     0.3020975],20.0000,6.0000,[39.988503    4.8124385   0.19765642],20.0000,6.0000,[40.562973   21.284964    0.23768485],20.0000,0.0000,[ 39.07819   -12.3869295   0.3020975],20.0000,6.0000,[40.318844   43.294537    0.11607321],20.0000,6.0000,[ 39.07819   -32.38693     0.3020975],20.0000,6.0000,[103.51826    50.8256      0.6676793],20.0000,4.0000,[136.4285      50.12356      0.62202066],20.0000,3.0000,[126.943016    34.90458      0.40324104],20.0000,4.0000,[98.19959   18.779205   6.0680037],20.0000,4.0000,[129.00122  -42.698273   5.704539],20.0000,5.0000
