step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5
57,[60.379234   12.975332    0.18139535],20.0000,6.0000,[61.316055   27.549677    0.18535328],20.0000,6.0000,[57.982677    1.2239225   0.27302775],20.0000,6.0000,[61.553726   38.317295    0.25524774],20.0000,6.0000,[ 57.37124   -17.167475    0.2717023],20.0000,6.0000,[80.13315    14.097107    0.17898774],20.0000,6.0000,[81.316055   27.549677    0.18535328],20.0000,6.0000,[77.98268     1.2239225   0.27302775],20.0000,6.0000,[80.03463   53.962914   0.7276946],20.0000,0.0000,[ 77.37124   -17.167475    0.2717023],20.0000,6.0000,[119.05882     66.41034      0.77817166],20.0000,4.0000,[155.5039     61.13293     0.5029084],20.0000,4.0000,[146.27097     45.426743     0.48945776],20.0000,4.0000,[119.68515    14.0831995   6.0680037],20.0000,4.0000,[146.11133  -56.59849    5.612383],20.0000,4.0000
58,[61.451443  13.180068   0.4001861],20.0000,0.0000,[62.38762    27.757736    0.40387854],20.0000,0.0000,[59.024876   1.5501215  0.359864 ],20.0000,6.0000,[62.61918    38.557384    0.46474212],20.0000,0.0000,[ 58.413643   -16.841848     0.35873604],20.0000,6.0000,[81.20559    14.300693    0.39819977],20.0000,0.0000,[82.38762    27.757736    0.40387854],20.0000,0.0000,[79.02488    1.5501215  0.359864 ],20.0000,6.0000,[80.894424   54.638756    0.42834547],20.0000,6.0000,[ 78.41364    -16.841848     0.35873604],20.0000,6.0000,[119.46801    66.81965     0.7784033],20.0000,4.0000,[156.00845     61.416504     0.50321543],20.0000,4.0000,[146.77979     45.70254      0.48968375],20.0000,4.0000,[120.25055    13.959622    6.0680037],20.0000,4.0000,[146.56158   -56.96215     5.6120996],20.0000,4.0000
59,[62.46753    13.579849    0.10747164],20.0000,6.0000,[63.402546   28.160511    0.11102109],20.0000,6.0000,[60.043964   1.9412787  0.5784516],20.0000,0.0000,[63.625088   38.98651     0.16539574],20.0000,6.0000,[ 59.43292   -16.451178    0.5775248],20.0000,0.0000,[82.22197    14.699626    0.10571675],20.0000,6.0000,[83.40254    28.160511    0.11102109],20.0000,6.0000,[80.04396    1.9412787  0.5784516],20.0000,0.0000,[81.886696 55.093597  0.504507],20.0000,6.0000,[ 79.43292   -16.451178    0.5775248],20.0000,0.0000,[119.87723    67.22893     0.7786222],20.0000,4.0000,[156.51302     61.700027     0.50350416],20.0000,4.0000,[147.28864     45.978302     0.48989743],20.0000,4.0000,[120.81595    13.836045    6.0680037],20.0000,4.0000,[147.01186   -57.325768    5.6118326],20.0000,4.0000
60,[63.549187   13.730263    0.19440973],20.0000,6.0000,[64.48374    28.31407     0.19779459],20.0000,6.0000,[60.9734      2.5143745   0.28562742],20.0000,6.0000,[64.701485  39.1678     0.2415603],20.0000,6.0000,[ 60.362545  -15.878424    0.2848092],20.0000,6.0000,[83.30378    14.8492155   0.19290723],20.0000,6.0000,[84.48374    28.31407     0.19779459],20.0000,6.0000,[80.9734      2.5143745   0.28562742],20.0000,6.0000,[82.85182   55.60391    0.7163305],20.0000,0.0000,[ 80.36255   -15.878424    0.2848092],20.0000,6.0000,[120.28647    67.638176    0.7788293],20.0000,4.0000,[157.01761   61.983498   0.503776],20.0000,4.0000,[147.7975      46.254017     0.49009967],20.0000,4.0000,[121.381355   13.712468    6.0680037],20.0000,4.0000,[147.46217  -57.689342   5.611581],20.0000,4.0000
61,[64.618706  13.948591   0.4131005],20.0000,0.0000,[65.552635   28.53544     0.41631904],20.0000,0.0000,[62.011433    2.8535824   0.37243995],20.0000,6.0000,[65.766075   39.409718    0.45338508],20.0000,0.0000,[ 61.40071    -15.539559     0.37174603],20.0000,6.0000,[84.37346   15.066829   0.4118584],20.0000,0.0000,[85.552635   28.53544     0.41631904],20.0000,0.0000,[82.01143     2.8535824   0.37243995],20.0000,6.0000,[83.709496   56.281128    0.41989776],20.0000,6.0000,[ 81.40071    -15.539559     0.37174603],20.0000,6.0000,[120.69575    68.04739     0.7790254],20.0000,4.0000,[157.52223    62.266926    0.5040323],20.0000,4.0000,[148.30638    46.529697    0.4902912],20.0000,4.0000,[121.946754   13.58889     6.0680037],20.0000,4.0000,[147.91252   -58.052876    5.6113434],20.0000,4.0000
62,[65.62967    14.361179    0.12033191],20.0000,6.0000,[66.56247    28.95081     0.12346112],20.0000,6.0000,[63.02555     3.257445    0.59100354],20.0000,0.0000,[66.770294  39.84073    0.1569532],20.0000,6.0000,[ 62.414944   -15.135986     0.59043556],20.0000,0.0000,[85.38461    15.47889     0.11923146],20.0000,6.0000,[86.56247    28.95081     0.12346112],20.0000,6.0000,[83.02555     3.257445    0.59100354],20.0000,0.0000,[84.70092   56.738014   0.5009043],20.0000,6.0000,[ 82.41495    -15.135986     0.59043556],20.0000,0.0000,[121.10506     68.45657      0.77921116],20.0000,4.0000,[158.02687     62.55031      0.50427413],20.0000,4.0000,[148.81529     46.80534      0.49047276],20.0000,4.0000,[122.51215    13.465313    6.0680037],20.0000,4.0000,[148.3629   -58.416374   5.611119],20.0000,4.0000
63,[66.709335   14.525231    0.20720854],20.0000,6.0000,[67.64167   29.117804   0.2102341],20.0000,6.0000,[63.947758   3.8421     0.2981666],20.0000,6.0000,[67.8464     40.024223    0.23796096],20.0000,6.0000,[ 63.33727    -14.551532     0.29766628],20.0000,6.0000,[86.46438    15.642426    0.20626692],20.0000,6.0000,[87.64167   29.117804   0.2102341],20.0000,6.0000,[83.94776    3.8421     0.2981666],20.0000,6.0000,[85.66313    57.25351     0.71509147],20.0000,0.0000,[ 83.33727    -14.551532     0.29766628],20.0000,6.0000,[121.51439     68.86573      0.77938735],20.0000,4.0000,[158.53154     62.833645     0.50450253],20.0000,4.0000,[149.3242      47.080944     0.49064502],20.0000,4.0000,[123.07755    13.341736    6.0680037],20.0000,4.0000,[148.81331   -58.77983     5.6109066],20.0000,4.0000
64,[67.776024   14.757014    0.42583686],20.0000,0.0000,[68.707726   29.352451    0.42875803],20.0000,0.0000,[64.981476    4.1942363   0.38496414],20.0000,6.0000,[68.90952   40.2719     0.4521488],20.0000,0.0000,[ 64.37106   -14.199595    0.3845421],20.0000,6.0000,[87.531166   15.873762    0.42505738],20.0000,0.0000,[88.707726   29.352451    0.42875803],20.0000,0.0000,[84.981476    4.1942363   0.38496414],20.0000,0.0000,[86.51592    57.93625     0.42014974],20.0000,6.0000,[ 84.37106   -14.199595    0.3845421],20.0000,6.0000,[121.92375    69.27485     0.7795546],20.0000,4.0000,[159.03622    63.11694     0.5047185],20.0000,4.0000,[149.83315     47.356518     0.49080852],20.0000,4.0000,[123.64296    13.218159    6.0680037],20.0000,4.0000,[149.26373   -59.143257    5.6107054],20.0000,4.0000
65,[68.78172    15.182269    0.13303465],20.0000,6.0000,[69.71232    29.780348    0.13589983],20.0000,6.0000,[65.99048    4.6107187  0.6035127],20.0000,0.0000,[69.91047    40.70951     0.15720741],20.0000,6.0000,[ 65.380135  -13.78328     0.6031697],20.0000,0.0000,[88.536995   16.298687    0.13234276],20.0000,6.0000,[89.71232    29.780348    0.13589983],20.0000,6.0000,[8.5983780e+01 4.6272464e+00 5.2960835e-02],20.0000,6.0000,[87.504364   58.399796    0.50355804],20.0000,6.0000,[ 85.380135  -13.78328     0.6031697],20.0000,0.0000,[122.333145   69.68395     0.7797134],20.0000,4.0000,[159.54094    63.400196    0.5049228],20.0000,4.0000,[150.3421      47.632057     0.49096385],20.0000,4.0000,[124.20836    13.094581    6.0680037],20.0000,4.0000,[149.71419  -59.506645   5.610515],20.0000,4.0000
66,[69.859245   15.359859    0.21987256],20.0000,6.0000,[70.78936    29.96075     0.22267248],20.0000,6.0000,[66.90533     5.2068253   0.31066772],20.0000,6.0000,[70.98542    40.900208    0.24061635],20.0000,6.0000,[ 66.29505  -13.187285   0.310367],20.0000,6.0000,[89.61458    16.475952    0.21928066],20.0000,6.0000,[90.78936    29.96075     0.22267248],20.0000,6.0000,[87.0689      4.777561    0.13507818],20.0000,0.0000,[88.462296  58.92312    0.7192388],20.0000,0.0000,[ 86.29505  -13.187285   0.310367],20.0000,6.0000,[122.74255    70.093025    0.7798643],20.0000,4.0000,[160.04567    63.683414    0.5051163],20.0000,4.0000,[150.85107    47.907562    0.4911115],20.0000,4.0000,[124.77376    12.971004    6.0680037],20.0000,4.0000,[150.16467  -59.870003   5.610335],20.0000,4.0000
67,[70.92294    15.604998    0.43846178],20.0000,0.0000,[71.85242    30.20864     0.44119608],20.0000,0.0000,[67.93458     5.5718184   0.39745584],20.0000,0.0000,[72.046455   41.15656     0.45629758],20.0000,0.0000,[ 67.32435    -12.822403     0.39720443],20.0000,6.0000,[90.67834    16.72081     0.43797123],20.0000,0.0000,[91.85242    30.20864     0.44119608],20.0000,0.0000,[88.14037    4.999108   6.1005497],20.0000,6.0000,[89.308685  59.613464   0.4250401],20.0000,6.0000,[ 87.32435    -12.822403     0.39720443],20.0000,0.0000,[123.15199    70.50207     0.7800078],20.0000,4.0000,[160.55042    63.966595    0.5052997],20.0000,4.0000,[151.36008    48.18304     0.4912519],20.0000,4.0000,[125.33916    12.847426    6.0680037],20.0000,4.0000,[150.61517   -60.233326    5.6101637],20.0000,4.0000
68,[71.92325    16.042805    0.14563856],20.0000,6.0000,[72.85161   30.648996   0.1483377],20.0000,6.0000,[6.8931404e+01 6.0172839e+00 6.5443061e-02],20.0000,6.0000,[73.04319  41.603188  0.162099],20.0000,6.0000,[ 68.32812    -12.393471     0.61579317],20.0000,0.0000,[91.67873    17.158411    0.14520256],20.0000,6.0000,[92.85161   30.648996   0.1483377],20.0000,6.0000,[89.237785  4.930873  6.196939],20.0000,6.0000,[90.29299   60.085934   0.5097488],20.0000,6.0000,[ 8.8321220e+01 -1.2377027e+01  6.5241262e-02],20.0000,6.0000,[123.561455    70.91109      0.78014433],20.0000,4.0000,[161.05518    64.24974     0.5054737],20.0000,4.0000,[151.86908     48.458485     0.49138555],20.0000,4.0000,[125.904564   12.723849    6.0680037],20.0000,4.0000,[151.0657   -60.596622   5.610001],20.0000,4.0000
69,[72.99845   16.23386    0.2324521],20.0000,6.0000,[73.92632    30.84278     0.23511015],20.0000,6.0000,[70.014565    6.181103    0.14755411],20.0000,6.0000,[74.11647    41.803574    0.24680808],20.0000,6.0000,[ 69.235504   -11.786073     0.32296965],20.0000,6.0000,[92.75398    17.34926     0.23207907],20.0000,6.0000,[93.92632    30.84278     0.23511015],20.0000,6.0000,[90.33238     4.9189987   0.16968499],20.0000,0.0000,[91.24579    60.61854     0.72640055],20.0000,6.0000,[ 89.4044     -12.213278     0.14738534],20.0000,6.0000,[123.97094    71.32009     0.7802743],20.0000,4.0000,[161.55997    64.53285     0.5056388],20.0000,4.0000,[152.3781     48.733906    0.4915128],20.0000,4.0000,[126.46996    12.600272    6.0680037],20.0000,4.0000,[151.51627   -60.959885    5.6098466],20.0000,4.0000
70,[74.059006   16.492275    0.45101675],20.0000,0.0000,[74.98621    31.10387     0.45363355],20.0000,0.0000,[71.085815    6.398341    0.38037908],20.0000,0.0000,[75.17495   42.070225   0.4634601],20.0000,6.0000,[ 70.260155  -11.408345    0.4097829],20.0000,6.0000,[93.814575  17.607498   0.4507073],20.0000,0.0000,[94.98621    31.10387     0.45363355],20.0000,0.0000,[91.40366    5.1301894  6.186685 ],20.0000,6.0000,[92.09673   61.30422    0.9831611],20.0000,0.0000,[ 90.47568    -11.996117     0.38027844],20.0000,0.0000,[124.38045    71.729065    0.7803981],20.0000,4.0000,[162.06477    64.815926    0.5057956],20.0000,4.0000,[152.88713     49.009296     0.49163404],20.0000,4.0000,[127.03536    12.476694    6.0680037],20.0000,4.0000,[151.96684   -61.323124    5.6096997],20.0000,4.0000
71,[75.053764   16.942537    0.15818037],20.0000,6.0000,[75.97986    31.55662     0.16077505],20.0000,6.0000,[72.09459     6.8155065   0.09994096],20.0000,6.0000,[76.174866   42.511158    0.72022074],20.0000,0.0000,[ 71.258484  -10.9669      0.6283472],20.0000,0.0000,[94.80939  18.05763   0.157905],20.0000,6.0000,[95.97986    31.55662     0.16077505],20.0000,6.0000,[9.2497673e+01 5.1029010e+00 2.2470108e-03],20.0000,6.0000,[92.77875    62.161465    0.69390064],20.0000,6.0000,[ 91.48447    -11.578987     0.09988722],20.0000,6.0000,[124.78997    72.13802     0.7805161],20.0000,4.0000,[162.5696      65.098976     0.50594467],20.0000,4.0000,[153.39618     49.28466      0.49174964],20.0000,4.0000,[127.60077    12.353117    6.0680037],20.0000,4.0000,[152.41743  -61.686333   5.60956 ],20.0000,4.0000
72,[76.1265     17.146997    0.24497858],20.0000,6.0000,[77.05208    31.763754    0.24754737],20.0000,0.0000,[73.173874    6.9924493   0.19349724],20.0000,6.0000,[77.05626    43.161674    0.43096057],20.0000,6.0000,[ 72.15822    -10.348221     0.33551067],20.0000,6.0000,[95.88216    18.261961    0.24474286],20.0000,0.0000,[97.05208    31.763754    0.24754737],20.0000,6.0000,[93.58913     5.148012    0.23589432],20.0000,0.0000,[93.630974  62.843826   0.7638426],20.0000,6.0000,[ 92.56376    -11.402047     0.19346091],20.0000,6.0000,[125.19952    72.54695     0.7806286],20.0000,4.0000,[163.07443    65.38199     0.5060864],20.0000,4.0000,[153.90524     49.559998     0.49185985],20.0000,4.0000,[128.16617    12.22954     6.0680037],20.0000,4.0000,[152.86804   -62.049515    5.6094275],20.0000,4.0000
73,[77.18375   17.418625   0.4635278],20.0000,0.0000,[78.10427   32.055294   6.1987042],20.0000,6.0000,[74.23816    7.237553   0.4222839],20.0000,0.0000,[78.05655   43.599068   0.5009029],20.0000,6.0000,[73.17807    -9.957733    0.42230868],20.0000,0.0000,[96.935104  18.550777   6.1959653],20.0000,6.0000,[98.10864    32.038006    0.46607062],20.0000,0.0000,[94.65041    5.403269   6.2354407],20.0000,6.0000,[94.44657   63.57036    0.9721422],20.0000,0.0000,[ 93.62804    -11.156941     0.42226964],20.0000,0.0000,[125.609085   72.955864    0.7807359],20.0000,4.0000,[163.57928    65.66498     0.5062213],20.0000,4.0000,[154.41432     49.835316     0.49196503],20.0000,4.0000,[128.73157    12.105963    6.0680037],20.0000,4.0000,[153.31868   -62.412674    5.6093006],20.0000,4.0000
74,[78.17282    17.881254    0.17068315],20.0000,6.0000,[79.199745  32.055447   6.2808046],20.0000,6.0000,[75.2357      7.680734    0.13595776],20.0000,6.0000,[79.03296    44.088642    0.70920277],20.0000,0.0000,[74.163506   -9.487602    0.09030583],20.0000,6.0000,[98.030594  18.548122   6.2781096],20.0000,6.0000,[99.09657    32.50308     0.17321207],20.0000,6.0000,[9.5743446e+01 5.4081373e+00 4.4337511e-02],20.0000,0.0000,[95.11902  64.43298   0.671982],20.0000,6.0000,[ 94.62558    -10.713747     0.13595718],20.0000,6.0000,[126.01867    73.36476     0.7808384],20.0000,4.0000,[164.08415     65.94793      0.50634974],20.0000,4.0000,[154.9234      50.110607     0.49206543],20.0000,4.0000,[129.29697    11.982385    6.0680037],20.0000,4.0000,[153.76933   -62.77581     5.6091805],20.0000,4.0000
75,[79.24293    18.09907     0.25747168],20.0000,6.0000,[80.29143   32.110195   0.2304224],20.0000,0.0000,[76.309975    7.8813686   0.22708143],20.0000,0.0000,[79.9065     44.746834    0.40904263],20.0000,6.0000,[75.242256   -9.296877    0.17242348],20.0000,6.0000,[99.12242    18.60007     0.22781816],20.0000,0.0000,[100.16614    32.72353     0.2599843],20.0000,6.0000,[96.83195    5.5011396  6.0022044],20.0000,6.0000,[95.97321   65.112564   0.7472712],20.0000,6.0000,[ 95.69985    -10.513087     0.22708641],20.0000,0.0000,[126.428276   73.773636    0.7809362],20.0000,4.0000,[164.58904    66.230865    0.5064721],20.0000,4.0000,[155.4325     50.385876    0.4921613],20.0000,4.0000,[129.86237    11.858808    6.0680037],20.0000,4.0000,[154.22002   -63.13892     5.6090655],20.0000,4.0000
76,[80.2967     18.38385     0.47601122],20.0000,0.0000,[81.35121  32.371952  6.233155],20.0000,6.0000,[77.364136  8.167672  6.183692],20.0000,6.0000,[80.90798    45.18104     0.48433197],20.0000,6.0000,[76.30778    -9.053046    0.40526208],20.0000,0.0000,[100.18286    18.859158    6.2306128],20.0000,6.0000,[101.21921    33.010902    0.4785075],20.0000,0.0000,[97.910805   5.3027825  6.0890293],20.0000,6.0000,[96.78824    65.838974    0.95873696],20.0000,0.0000,[ 96.754005  -10.226759    6.1837053],20.0000,6.0000,[126.8379     74.182495    0.7810296],20.0000,4.0000,[165.09393    66.51376     0.5065887],20.0000,4.0000,[155.9416      50.66112      0.49225292],20.0000,4.0000,[130.42776    11.73523     6.0680037],20.0000,4.0000,[154.6707   -63.50201    5.608956],20.0000,4.0000
77,[81.27994    18.858763    0.18316135],20.0000,6.0000,[8.244482e+01 3.238563e+01 4.351998e-02],20.0000,6.0000,[78.460846  8.164973  6.269642],20.0000,6.0000,[81.8838    45.67064    0.6957978],20.0000,0.0000,[77.305855   -8.610898    0.12483335],20.0000,6.0000,[1.01276505e+02 1.88701324e+01 4.10011820e-02],20.0000,6.0000,[102.20128     33.48822      0.18564887],20.0000,6.0000,[9.8994995e+01 5.1590557e+00 4.6896290e-02],20.0000,0.0000,[97.45919    66.70163     0.66206807],20.0000,6.0000,[ 97.850716  -10.229427    6.2696605],20.0000,6.0000,[127.247536    74.59133      0.78111887],20.0000,4.0000,[165.59885    66.796646    0.5066999],20.0000,4.0000,[156.45073     50.936348     0.49234048],20.0000,4.0000,[130.99318    11.611653    6.0680037],20.0000,4.0000,[155.12141  -63.865078   5.608851],20.0000,4.0000
78,[82.347244  19.08989    0.2699438],20.0000,6.0000,[83.533775   32.468952    0.27229956],20.0000,0.0000,[79.5532      8.216839    0.22617695],20.0000,0.0000,[82.75591    46.32925     0.39912894],20.0000,6.0000,[78.380394   -8.407136    0.21839312],20.0000,6.0000,[102.36567    18.950764    0.2698101],20.0000,0.0000,[103.26801     33.721962     0.27242106],20.0000,6.0000,[100.084435   5.229834   6.055014],20.0000,6.0000,[98.312645  67.38225    0.7427363],20.0000,6.0000,[ 98.94307   -10.177531    0.2262045],20.0000,0.0000,[127.65719    75.00016     0.7812042],20.0000,4.0000,[166.10378   67.0795     0.506806],20.0000,4.0000,[156.95987    51.211555    0.4924242],20.0000,4.0000,[131.55858    11.488076    6.0680037],20.0000,4.0000,[155.57213   -64.22813     5.6087513],20.0000,4.0000
79,[83.39739    19.387768    0.48847723],20.0000,0.0000,[84.58635   32.75809    6.2691545],20.0000,6.0000,[80.61275    8.479888   6.2334685],20.0000,6.0000,[83.75694   46.764652   0.4797972],20.0000,6.0000,[79.43825   -8.135607   0.4471842],20.0000,0.0000,[103.418945  19.237322   6.266683],20.0000,6.0000,[104.31743     34.022404     0.49094418],20.0000,0.0000,[101.1643     5.054448   6.150559],20.0000,6.0000,[99.12391    68.112625    0.95673704],20.0000,0.0000,[100.00261   -9.914447   6.233502],20.0000,6.0000,[128.06686    75.408966    0.7812859],20.0000,4.0000,[166.6087      67.36233      0.50690734],20.0000,4.0000,[157.46901     51.48674      0.49250427],20.0000,4.0000,[132.12398    11.364498    6.0680037],20.0000,4.0000,[156.02287  -64.59115    5.608656],20.0000,4.0000
80,[84.37464   19.874886   0.1956241],20.0000,6.0000,[8.5678535e+01 3.2795940e+01 7.7090934e-02],20.0000,6.0000,[8.170657e+01 8.498354e+00 4.552558e-02],20.0000,6.0000,[84.73016  47.25906   0.693798],20.0000,0.0000,[80.424446  -7.6677203  0.1608608],20.0000,6.0000,[1.0451122e+02 1.9272505e+01 7.4627027e-02],20.0000,6.0000,[105.29349     34.5119       0.19808556],20.0000,6.0000,[1.02251495e+02 4.94927406e+00 9.83664617e-02],20.0000,0.0000,[99.78909    68.979225    0.66169333],20.0000,6.0000,[ 1.0109643e+02 -9.8959398e+00  4.5560870e-02],20.0000,0.0000,[128.47655     75.81776      0.78136396],20.0000,4.0000,[167.11365   67.645134   0.507004],20.0000,4.0000,[157.97816    51.76191     0.4925809],20.0000,4.0000,[132.68938    11.240921    6.0680037],20.0000,4.0000,[156.47363  -64.954155   5.608565],20.0000,4.0000
81,[85.43899    20.119278    0.28240272],20.0000,0.0000,[86.765015   32.90372     0.30106574],20.0000,0.0000,[82.79522     8.587076    0.27622166],20.0000,0.0000,[85.59773    47.922977    0.39875427],20.0000,6.0000,[81.49339   -7.4403934  0.2519856],20.0000,0.0000,[105.59797     19.377636     0.29861236],20.0000,0.0000,[106.35724    34.75889     0.2848577],20.0000,6.0000,[103.33796     5.0545497   6.096533 ],20.0000,6.0000,[100.63829    69.66532     0.7449317],20.0000,6.0000,[102.18426    -9.789362    6.0088925],20.0000,6.0000,[128.88625    76.22654     0.7814387],20.0000,4.0000,[167.61862    67.927925    0.5070964],20.0000,4.0000,[158.48732    52.037056    0.4926542],20.0000,4.0000,[133.25478    11.117344    6.0680037],20.0000,4.0000,[156.9244    -65.31715     5.6084776],20.0000,4.0000
82,[86.48038  20.44733   6.233566],20.0000,6.0000,[8.7811699e+01 3.3213810e+01 1.1473448e-02],20.0000,6.0000,[83.846      8.882614   6.2742205],20.0000,6.0000,[86.59607    48.36477     0.48199272],20.0000,6.0000,[82.54009   -7.1279244  6.208598 ],20.0000,6.0000,[1.0664539e+02 1.9685179e+01 9.0267602e-03],20.0000,6.0000,[107.40283    35.07236     0.5033808],20.0000,0.0000,[104.42083     4.906404    6.1881547],20.0000,6.0000,[101.44368     70.40211      0.96049577],20.0000,0.0000,[103.266884  -9.97173    6.0997  ],20.0000,6.0000,[129.29596     76.6353       0.78151023],20.0000,4.0000,[168.12358     68.210686     0.50718474],20.0000,4.0000,[158.99649     52.31219      0.49272442],20.0000,4.0000,[133.82018    10.993767    6.0680037],20.0000,4.0000,[157.37518   -65.680115    5.6083946],20.0000,4.0000
83,[8.7575180e+01 2.0485682e+01 3.2485105e-02],20.0000,6.0000,[88.902664   33.271286    0.10094072],20.0000,6.0000,[8.493800e+01 8.927954e+00 8.259680e-02],20.0000,6.0000,[87.565285  48.8669     0.6975568],20.0000,0.0000,[ 8.3636528e+01 -7.1033082e+00  1.1363359e-02],20.0000,6.0000,[1.07736496e+02 1.97400036e+01 9.84980538e-02],20.0000,6.0000,[108.37273     35.57396      0.21052215],20.0000,6.0000,[105.50988      4.8282576    0.12964016],20.0000,0.0000,[102.10096     71.274445     0.66624415],20.0000,6.0000,[ 1.0435358e+02 -1.0098368e+01  6.3160099e-02],20.0000,0.0000,[129.70569    77.04405     0.7815787],20.0000,4.0000,[168.62857     68.49343      0.50726914],20.0000,4.0000,[159.50568     52.587303     0.49279168],20.0000,4.0000,[134.38557    10.870189    6.0680037],20.0000,4.0000,[157.82597   -66.04307     5.6083145],20.0000,4.0000
84,[88.66429    20.578466    0.26529697],20.0000,0.0000,[89.98693    33.3983      0.32256174],20.0000,0.0000,[86.02374     9.04327     0.30718675],20.0000,0.0000,[88.42671    49.538414    0.40330514],20.0000,6.0000,[84.72725    -7.024252    0.25108564],20.0000,0.0000,[108.821075    19.864386     0.32012433],20.0000,0.0000,[109.43333    35.834152    0.2972943],20.0000,6.0000,[106.59393     4.9566646   6.1236725],20.0000,6.0000,[102.94413    71.96808     0.7508568],20.0000,6.0000,[105.44151   -10.006779    6.0746083],20.0000,6.0000,[130.11542    77.45279     0.7816444],20.0000,4.0000,[169.13356    68.77616     0.5073499],20.0000,4.0000,[160.01486     52.862404     0.49285612],20.0000,4.0000,[134.95097    10.746612    6.0680037],20.0000,4.0000,[158.2768    -66.406006    5.6082387],20.0000,4.0000
85,[89.7143   20.877024  6.268035],20.0000,6.0000,[9.1028465e+01 3.3725552e+01 3.1489018e-02],20.0000,6.0000,[8.7068123e+01 9.3609676e+00 1.7983353e-02],20.0000,6.0000,[89.421196   49.98905     0.48791787],20.0000,6.0000,[85.77992   -6.734894   6.2583785],20.0000,6.0000,[1.09863396e+02 2.01891098e+01 2.90547777e-02],20.0000,6.0000,[110.474945    36.160606     0.51581734],20.0000,0.0000,[107.67896     4.8288655   6.2133956],20.0000,6.0000,[103.7424     72.71257     0.9674316],20.0000,0.0000,[106.52504   -10.158962    6.1713524],20.0000,0.0000,[130.52518    77.86151     0.7817073],20.0000,4.0000,[169.63857     69.05886      0.50742716],20.0000,4.0000,[160.52405     53.137486     0.49291784],20.0000,4.0000,[135.51639    10.6230345   6.0680037],20.0000,4.0000,[158.72762   -66.76893     5.6081657],20.0000,4.0000
86,[9.0806763e+01 2.0928843e+01 7.8402735e-02],20.0000,6.0000,[92.11821    33.800125    0.11994524],20.0000,6.0000,[88.15867     9.4266205   0.10767796],20.0000,6.0000,[90.38553   50.500465   0.7044926],20.0000,0.0000,[ 8.6872940e+01 -6.6891885e+00  7.0435829e-02],20.0000,6.0000,[110.95332     20.26104      0.11751346],20.0000,6.0000,[111.43853     36.674225     0.22295868],20.0000,6.0000,[108.76912     4.770803    0.1521666],20.0000,0.0000,[104.39061     73.59151      0.67361003],20.0000,6.0000,[107.616325 -10.222417   5.852855],20.0000,6.0000,[130.93494     78.27022      0.78176755],20.0000,4.0000,[170.14359    69.34155     0.5075011],20.0000,4.0000,[161.03326     53.412556     0.49297702],20.0000,4.0000,[136.08179    10.499457    6.0680037],20.0000,4.0000,[159.17845   -67.131836    5.6080956],20.0000,4.0000
87,[91.89215    21.050095    0.30718514],20.0000,0.0000,[93.20034    33.943844    0.34030634],20.0000,0.0000,[89.24197    9.561814   0.3295966],20.0000,0.0000,[91.239914   51.180714    0.41067111],20.0000,6.0000,[87.95904    -6.573378    0.30113235],20.0000,0.0000,[112.0358      20.402138     0.33787745],20.0000,0.0000,[112.495804   36.94759     0.3097308],20.0000,6.0000,[109.85093    4.917526   6.144484],20.0000,6.0000,[105.22673    74.29374     0.7590233],20.0000,6.0000,[108.65795  -10.569745   5.944431],20.0000,6.0000,[131.34471    78.67892     0.7818253],20.0000,4.0000,[170.6486     69.62422     0.5075719],20.0000,4.0000,[161.54247     53.68761      0.49303377],20.0000,4.0000,[136.64719    10.37588     6.0680037],20.0000,4.0000,[159.62929  -67.49472    5.608029],20.0000,4.0000
88,[9.2933998e+01 2.1375774e+01 2.0856360e-02],20.0000,6.0000,[9.4237007e+01 3.4286396e+01 4.8479546e-02],20.0000,6.0000,[9.028093e+01 9.897087e+00 3.870593e-02],20.0000,6.0000,[92.22983    51.64149     0.49608436],20.0000,6.0000,[ 8.9002136e+01 -6.2517581e+00  1.5945999e-02],20.0000,6.0000,[1.1307329e+02 2.0742176e+01 4.6052381e-02],20.0000,6.0000,[113.53328     37.286972     0.52825385],20.0000,0.0000,[110.93766     4.8071547   6.2330956],20.0000,6.0000,[106.01708    75.04663     0.9762712],20.0000,0.0000,[109.712204  -10.862295    6.1919117],20.0000,0.0000,[131.7545      79.08761      0.78188074],20.0000,4.0000,[171.15364    69.906876    0.5076397],20.0000,4.0000,[162.0517     53.96265     0.4930882],20.0000,4.0000,[137.21259    10.252302    6.0680037],20.0000,4.0000,[160.08015   -67.8576      5.6079645],20.0000,4.0000
