step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
208,[146.84398     86.91847      0.45893672],20.0000,0.0000,[130.26637    30.087002    5.9819913],20.0000,6.0000,[128.76889   -99.89304     4.0500565],20.0000,0.0000,[ 94.00725  -96.76975    3.408914],20.0000,4.0000,[157.89441    33.475647    6.0978026],20.0000,4.0000
209,[147.84267     87.36139      0.16382362],20.0000,0.0000,[131.31668    29.788603    6.0672426],20.0000,6.0000,[ 128.18752  -100.8239      3.544826],20.0000,0.0000,[ 93.46247  -96.97159    3.414391],20.0000,4.0000,[158.46292    33.36728     6.0977263],20.0000,4.0000
210,[148.91365   87.57544    5.979461],20.0000,6.0000,[1.3238326e+02 2.9556423e+01 1.1628142e-03],20.0000,0.0000,[ 127.27396  -101.46423     3.069188],20.0000,6.0000,[ 92.91734  -97.1712     3.422519],20.0000,3.0000,[159.03145   33.258934   6.097653],20.0000,4.0000
211,[149.99704    87.38234     6.0360184],20.0000,6.0000,[133.47485   29.524532   5.990769],20.0000,6.0000,[ 126.1656    -101.65635      3.2279956],20.0000,6.0000,[ 92.373245  -97.37313     3.3388228],20.0000,4.0000,[159.59996   33.150608   6.097583],20.0000,4.0000
212,[151.07892    87.208405    6.2814555],20.0000,6.0000,[134.52838   29.237503   6.076579],20.0000,6.0000,[ 125.090096 -101.88876     3.616824],20.0000,6.0000,[ 91.81686   -97.54226     3.3124497],20.0000,4.0000,[160.16849    33.042297    6.0975156],20.0000,4.0000
213,[152.1705      87.2288       0.28489882],20.0000,0.0000,[1.3559747e+02 2.9017155e+01 1.0997435e-02],20.0000,6.0000,[ 124.126045  -102.40091      3.9606793],20.0000,6.0000,[ 91.256195  -97.69665     3.3097281],20.0000,4.0000,[160.73701   32.93401    6.097451],20.0000,4.0000
214,[1.5322675e+02 8.7505936e+01 1.2111974e-02],20.0000,6.0000,[136.6895      28.97987      0.26821443],20.0000,6.0000,[ 123.32903  -103.15008     4.251375],20.0000,6.0000,[ 90.69433   -97.84489     3.3160136],20.0000,4.0000,[161.30556   32.825737   6.097389],20.0000,4.0000
215,[1.5431790e+02 8.7544807e+01 1.0369734e-01],20.0000,6.0000,[137.77051     29.165512     0.53034973],20.0000,6.0000,[ 122.723816  -104.06825      4.5167913],20.0000,6.0000,[ 90.13241   -97.99099     3.3247535],20.0000,4.0000,[161.87408  32.71748   6.09733],20.0000,4.0000
216,[155.40364     87.657326     0.32289532],20.0000,6.0000,[138.79047    29.584047    0.7750401],20.0000,6.0000,[ 122.341064  -105.10519      4.7497787],20.0000,0.0000,[ 89.5708    -98.13666     3.3332515],20.0000,3.0000,[162.44263    32.609238    6.0972733],20.0000,4.0000
217,[156.45581    87.952835    0.5803739],20.0000,6.0000,[139.69804     30.217398     0.99034035],20.0000,6.0000,[ 122.208626 -106.20246     4.399019],20.0000,6.0000,[ 89.01012   -98.2854      3.2488773],20.0000,4.0000,[163.01117   32.501015   6.097219],20.0000,4.0000
218,[157.42963    88.45834     0.8416227],20.0000,6.0000,[140.45714    31.024916    1.1790984],20.0000,6.0000,[ 121.81765   -107.2232       4.4085984],20.0000,6.0000,[ 88.44042  -98.400566   3.221562],20.0000,4.0000,[163.57971   32.392807   6.097167],20.0000,4.0000
219,[158.27425    89.16747     1.0844223],20.0000,0.0000,[141.05022    31.96095     1.3533247],20.0000,6.0000,[ 121.43406 -108.24688    4.58836],20.0000,0.0000,[ 87.86785 -98.50081   3.21772],20.0000,4.0000,[164.14825   32.28461    6.097117],20.0000,4.0000
220,[158.9311     90.05491     0.7471104],20.0000,0.0000,[141.46823    32.986465    1.5240088],20.0000,6.0000,[ 121.21936  -109.320114    4.275395],20.0000,0.0000,[ 87.29459   -98.594795    3.2229645],20.0000,4.0000,[164.71681   32.17643    6.097069],20.0000,4.0000
221,[159.7583      90.76818      0.21462034],20.0000,0.0000,[141.70305    34.068222    1.6965048],20.0000,6.0000,[ 120.76883   -110.31443      3.7932634],20.0000,0.0000,[ 86.721405  -98.686554    3.2308652],20.0000,3.0000,[165.28535    32.06826     6.0970225],20.0000,4.0000
222,[160.80194   91.10558    5.984456],20.0000,0.0000,[141.74753    35.174076    1.8716778],20.0000,6.0000,[ 119.98577   -111.08765      3.2939053],20.0000,0.0000,[ 86.14877   -98.78075     3.1469834],20.0000,4.0000,[165.85391   31.960108   6.096978],20.0000,4.0000
223,[161.91228    91.00234     5.5046554],20.0000,6.0000,[141.59853    36.27074     2.0485258],20.0000,6.0000,[ 118.94425  -111.49688     2.832322],20.0000,6.0000,[ 85.570335  -98.840385    3.1204724],20.0000,4.0000,[166.42247    31.851965    6.0969357],20.0000,4.0000
224,[162.88036   90.4294     5.660651],20.0000,0.0000,[141.25923    37.324245    2.2259228],20.0000,6.0000,[ 117.820885  -111.426285     3.0082948],20.0000,6.0000,[ 84.990524  -98.884735    3.1176271],20.0000,4.0000,[166.99103    31.743835    6.0968947],20.0000,4.0000
225,[163.85884    89.920685    5.4980836],20.0000,6.0000,[140.73961    38.301544    2.4032354],20.0000,6.0000,[ 116.72099   -111.415596     3.4059753],20.0000,0.0000,[ 84.4107    -98.922806    3.1238108],20.0000,4.0000,[167.55959    31.635715    6.0968556],20.0000,4.0000
226,[164.73909  89.25732   5.67515],20.0000,0.0000,[140.05586    39.171978    2.5802932],20.0000,6.0000,[ 115.67461   -111.72755      3.1993897],20.0000,0.0000,[ 83.831215  -98.958755    3.1324737],20.0000,4.0000,[168.12814   31.527609   6.096818],20.0000,4.0000
227,[165.68942    88.71194     5.4197803],20.0000,6.0000,[139.22949    39.908398    2.7571604],20.0000,6.0000,[ 114.58962   -111.872665     2.7641842],20.0000,6.0000,[ 83.25212  -98.99432    3.140917],20.0000,4.0000,[168.69672    31.419512    6.0967817],20.0000,4.0000
228,[166.49931   87.968254   5.538921],20.0000,6.0000,[138.28645    40.48791     2.9339485],20.0000,6.0000,[ 113.51262   -111.6275       2.8380466],20.0000,6.0000,[ 82.67335   -99.0301      3.1482637],20.0000,3.0000,[169.26527   31.311426   6.096747],20.0000,4.0000
229,[167.3547     87.285774    5.8028746],20.0000,0.0000,[137.25618    40.892506    3.1107323],20.0000,6.0000,[ 112.43798   -111.406555     3.1077852],20.0000,0.0000,[ 82.09485 -99.06918   3.06264],20.0000,4.0000,[169.83385   31.20335    6.096713],20.0000,4.0000
230,[168.33263    86.80036     5.5371475],20.0000,6.0000,[136.1708     41.109585    3.2875383],20.0000,6.0000,[ 111.34554 -111.41408    2.85687],20.0000,6.0000,[ 81.51394   -99.0736      3.0342352],20.0000,4.0000,[170.40242   31.095284   6.096681],20.0000,4.0000
231,[169.18361    86.11291     5.6353188],20.0000,6.0000,[135.06418   41.132378   3.464365],20.0000,6.0000,[ 110.2727    -111.1937       2.9624784],20.0000,6.0000,[ 80.933     -99.06289     3.0292695],20.0000,4.0000,[170.971     30.987226   6.09665 ],20.0000,4.0000
232,[170.07716   85.48479    5.867022],20.0000,6.0000,[133.97078    40.960148    3.6412017],20.0000,6.0000,[ 109.189674 -111.0486      3.202571],20.0000,6.0000,[ 80.3525    -99.04585     3.0335073],20.0000,4.0000,[171.53957   30.879179   6.09662 ],20.0000,4.0000
233,[171.0671    85.0244     6.132543],20.0000,0.0000,[132.92474    40.598263    3.8180406],20.0000,6.0000,[ 108.099365  -111.102325     3.4729557],20.0000,6.0000,[ 79.77245  -99.02652    3.040602],20.0000,4.0000,[172.10814    30.77114     6.0965915],20.0000,3.0000
234,[172.13634    84.79501     5.8508487],20.0000,6.0000,[131.95868    40.058006    3.9948778],20.0000,6.0000,[ 107.041885  -111.38389      3.7438242],20.0000,6.0000,[ 79.19276   -99.006615    3.0478795],20.0000,4.0000,[172.67726    30.666029    6.0048056],20.0000,4.0000
235,[173.12656    84.33572     5.9318614],20.0000,6.0000,[131.10272   39.356228   4.171713],20.0000,6.0000,[ 106.06622   -111.891464     4.0019727],20.0000,6.0000,[ 78.61332   -98.986755    3.0543914],20.0000,4.0000,[173.23947   30.52708    5.971154],20.0000,4.0000
236,[174.14304    83.93714     6.1452823],20.0000,0.0000,[130.38358    38.51482     4.3485465],20.0000,6.0000,[ 105.22345 -112.60634    4.2326 ],20.0000,6.0000,[ 78.03408   -98.967125    3.0599337],20.0000,4.0000,[173.79842   30.37462    5.959632],20.0000,4.0000
237,[175.21637    83.73058     5.8488045],20.0000,6.0000,[129.82364  37.56002   4.52538],20.0000,6.0000,[ 104.55112   -113.48698      4.4325676],20.0000,0.0000,[ 77.45499   -98.94769     3.0645783],20.0000,3.0000,[174.35579   30.21643    5.957096],20.0000,4.0000
238,[176.21042   83.27952    5.928604],20.0000,6.0000,[129.44041   36.521614   4.702214],20.0000,6.0000,[ 104.081924 -114.48788     4.061031],20.0000,6.0000,[ 76.87578  -98.93137    2.976713],20.0000,4.0000,[174.91241    30.0558      5.9581122],20.0000,4.0000
239,[177.22945   82.88807    6.142089],20.0000,0.0000,[129.24582    35.431984    4.8790474],20.0000,6.0000,[ 103.378586  -115.32426      4.0648785],20.0000,6.0000,[ 76.297585  -98.88023     2.9465353],20.0000,4.0000,[175.46866   29.894136   5.960375],20.0000,4.0000
240,[178.30359   82.68831    5.846709],20.0000,6.0000,[129.24596   34.32512    5.055881],20.0000,6.0000,[ 102.67674  -116.16203     4.243581],20.0000,6.0000,[ 75.72071  -98.814125   2.939746],20.0000,4.0000,[176.0247     29.732038    5.9629264],20.0000,4.0000
241,[179.30022    82.24277     5.9293323],20.0000,6.0000,[129.4408    33.235535   5.232715],20.0000,6.0000,[ 102.10029   -117.09364      4.4821396],20.0000,0.0000,[ 75.14479  -98.7417     2.942317],20.0000,3.0000,[176.58063   29.569746   5.965392],20.0000,4.0000
242,[180.32207   81.85888    6.144486],20.0000,0.0000,[129.82426   32.197216   5.409549],20.0000,6.0000,[ 101.73352   -118.128815     4.1756434],20.0000,0.0000,[ 74.56888  -98.66978    2.856284],20.0000,4.0000,[177.13647   29.40735    5.967646],20.0000,4.0000
243,[181.39758  81.66816   5.85004],20.0000,6.0000,[130.38441   31.242548   5.586383],20.0000,6.0000,[ 101.15942  -119.05738     3.677662],20.0000,0.0000,[ 73.99731   -98.56218     2.8291621],20.0000,4.0000,[177.69223    29.244883    5.9696655],20.0000,4.0000
244,[182.39795   81.23082    5.934302],20.0000,6.0000,[131.10376   30.401304   5.763217],20.0000,6.0000,[ 100.27977   -119.71385      3.1731403],20.0000,0.0000,[ 73.42886   -98.43913     2.8263497],20.0000,4.0000,[178.24794   29.082344   5.971463],20.0000,4.0000
245,[183.42326    80.856346    6.1506033],20.0000,6.0000,[131.95988    29.699726    5.9400506],20.0000,6.0000,[  99.19605   -119.97925      2.6981199],20.0000,6.0000,[ 72.86225   -98.30992     2.8327956],20.0000,4.0000,[178.8036    28.919731   5.973065],20.0000,4.0000
246,[1.8449811e+02 8.0658669e+01 1.2403789e-01],20.0000,6.0000,[132.92607    29.159689    6.1168847],20.0000,6.0000,[  98.09343 -119.75647    2.85755],20.0000,0.0000,[ 72.29661  -98.178764   2.841755],20.0000,3.0000,[179.3592    28.757044   5.974496],20.0000,4.0000
247,[185.59505     80.68334      0.38500506],20.0000,0.0000,[1.3397220e+02 2.8798040e+01 1.0533223e-02],20.0000,0.0000,[  97.00177  -119.600746    2.696127],20.0000,6.0000,[ 71.73058   -98.0502      2.7586935],20.0000,4.0000,[179.91476    28.594276    5.9757805],20.0000,4.0000
248,[1.8665907e+02 8.0964012e+01 7.7185355e-02],20.0000,0.0000,[135.06543    28.64389     5.9200006],20.0000,6.0000,[  95.95113   -119.26783      2.8730376],20.0000,0.0000,[ 71.172165  -97.88754     2.7327693],20.0000,4.0000,[180.47028   28.431423   5.976938],20.0000,4.0000
249,[187.74973    81.01774     5.8519254],20.0000,6.0000,[136.06921   28.212498   5.929537],20.0000,6.0000,[  94.87355   -119.06961      2.6171455],20.0000,6.0000,[ 70.618256  -97.71023     2.7304356],20.0000,4.0000,[181.02574   28.268488   5.977986],20.0000,4.0000
250,[188.77881   80.64289    5.894375],20.0000,6.0000,[137.07564    27.786882    6.1115985],20.0000,6.0000,[  93.862564 -118.63736     2.735979],20.0000,6.0000,[ 70.06671   -97.52716     2.7370338],20.0000,4.0000,[181.58118    28.105467    5.9789376],20.0000,4.0000
251,[189.81296   80.287834   6.111473],20.0000,6.0000,[1.3813564e+02 2.7510891e+01 6.8819523e-02],20.0000,0.0000,[  92.82905   -118.277756     2.9997182],20.0000,0.0000,[ 69.51628   -97.34232     2.7460063],20.0000,4.0000,[182.13657   27.94236    5.979806],20.0000,4.0000
252,[1.908891e+02 8.010505e+01 9.550865e-02],20.0000,0.0000,[139.23282   27.466782   6.046912],20.0000,6.0000,[  91.74544   -118.14456      2.7339103],20.0000,6.0000,[ 68.966354  -97.157326    2.7546673],20.0000,4.0000,[182.69193   27.779171   5.980601],20.0000,4.0000
253,[191.97981    80.16607     6.0990424],20.0000,0.0000,[140.28566    27.176456    6.1005416],20.0000,6.0000,[  90.7145    -117.77858      2.8320603],20.0000,6.0000,[ 68.41663   -96.972694    2.7621632],20.0000,4.0000,[183.24725  27.6159    5.98133],20.0000,4.0000
254,[193.0592     80.00001     5.6359367],20.0000,6.0000,[1.4134998e+02 2.6928993e+01 1.7809780e-02],20.0000,0.0000,[  89.66312  -117.48267     3.063763],20.0000,6.0000,[ 67.86702 -96.78849   2.7684 ],20.0000,4.0000,[183.80255    27.452549    5.9820013],20.0000,4.0000
255,[194.01236    79.45078     5.6929007],20.0000,6.0000,[142.44272    26.871672    5.9964848],20.0000,6.0000,[  88.57649   -117.376976     3.3292875],20.0000,6.0000,[ 67.31748   -96.60464     2.7735395],20.0000,3.0000,[184.3578     27.289118    5.9826207],20.0000,4.0000
256,[194.97147   78.92123    5.936762],20.0000,6.0000,[143.4884    26.558527   6.068254],20.0000,6.0000,[  87.48841   -117.49799      3.5981483],20.0000,6.0000,[ 66.76693   -96.4238      2.6860344],20.0000,4.0000,[184.91304   27.125612   5.983194],20.0000,4.0000
257,[196.00533    78.57043     6.2220755],20.0000,6.0000,[144.54953   26.301382   6.278321],20.0000,0.0000,[  86.44741   -117.85452      3.8536625],20.0000,6.0000,[ 66.22725   -96.20989     2.6561234],20.0000,4.0000,[185.46825   26.962032   5.983725],20.0000,4.0000
258,[197.09181     78.454346     0.21615806],20.0000,0.0000,[145.6408    26.239359   5.980815],20.0000,6.0000,[  85.50672   -118.43523      4.0811424],20.0000,6.0000,[ 65.69312   -95.98201     2.6496055],20.0000,4.0000,[186.02342   26.79838    5.984218],20.0000,4.0000
259,[198.17828   78.595924   6.216149],20.0000,0.0000,[146.68571    25.923578    6.0604405],20.0000,6.0000,[  84.708725  -119.203995     4.2786336],20.0000,0.0000,[ 65.16172   -95.74835     2.6524267],20.0000,4.0000,[186.57858   26.634659   5.984678],20.0000,4.0000
260,[199.26698   78.51688    5.736179],20.0000,6.0000,[147.74748    25.67001     6.2738996],20.0000,0.0000,[  84.09185   -120.12122      3.9059255],20.0000,0.0000,[ 64.631584  -95.51259     2.6583605],20.0000,3.0000,[187.1337    26.470871   5.985106],20.0000,4.0000
261,[200.25319    78.03767     5.7865644],20.0000,6.0000,[148.83856   25.613678   5.978553],20.0000,6.0000,[  83.2804    -120.85212      3.3591292],20.0000,0.0000,[ 64.10063   -95.278885    2.5729961],20.0000,4.0000,[187.68881    26.307018    5.9855056],20.0000,4.0000
262,[201.24736    77.5812      6.0121384],20.0000,6.0000,[149.88525    25.30344     6.0613027],20.0000,6.0000,[  82.23958   -121.2008       2.8448052],20.0000,0.0000,[ 63.58376  -95.012924   2.545431],20.0000,4.0000,[188.2439    26.143103   5.98588 ],20.0000,4.0000
263,[2.0230144e+02 7.7297531e+01 1.3043549e-03],20.0000,0.0000,[150.9488    25.057722   6.276543],20.0000,0.0000,[  81.127174  -121.10578      2.3686752],20.0000,6.0000,[ 63.074066 -94.73334    2.541652],20.0000,4.0000,[188.79897    25.979126    5.9862304],20.0000,4.0000
264,[203.39304    77.259254    6.0065565],20.0000,6.0000,[152.04007   25.010622   5.98214 ],20.0000,6.0000,[  80.15466   -120.53956      2.5309906],20.0000,6.0000,[ 62.567787  -94.44839     2.5470665],20.0000,4.0000,[189.354     25.815092   5.986559],20.0000,4.0000
265,[204.44835   76.97962    6.095188],20.0000,0.0000,[153.08942   24.709126   6.066482],20.0000,6.0000,[  79.180916  -120.02721      2.9230287],20.0000,6.0000,[ 62.06298   -94.161736    2.5551467],20.0000,3.0000,[189.90903   25.651001   5.986868],20.0000,4.0000
266,[205.52292  76.78748   5.76206],20.0000,6.0000,[154.15518    24.473288    6.2828445],20.0000,0.0000,[  78.11245  -119.80351     3.267477],20.0000,6.0000,[ 61.557083 -93.87735    2.471416],20.0000,4.0000,[190.46404    25.486856    5.9871583],20.0000,4.0000
267,[206.5099    76.31428    5.842659],20.0000,6.0000,[155.24672    24.43712     5.9889383],20.0000,6.0000,[  77.02053   -119.8694       3.5582004],20.0000,6.0000,[ 61.068245  -93.56237     2.4450192],20.0000,4.0000,[191.01903    25.32266     5.9874315],20.0000,4.0000
268,[207.51802    75.8929      6.0707793],20.0000,6.0000,[156.29909    24.146025    6.0741897],20.0000,6.0000,[  75.967926  -120.18815      3.8233032],20.0000,6.0000,[ 60.58789   -93.234604    2.4422777],20.0000,4.0000,[191.57399    25.158413    5.9876895],20.0000,4.0000
269,[2.0858269e+02 7.5651894e+01 5.4246813e-02],20.0000,0.0000,[1.5736725e+02 2.3921259e+01 8.1098638e-03],20.0000,0.0000,[  75.01042  -120.74051     4.055737],20.0000,0.0000,[ 60.111446  -92.90194     2.4485474],20.0000,4.0000,[192.12895    24.994118    5.9879327],20.0000,4.0000
270,[209.67575    75.6537      6.0568886],20.0000,0.0000,[158.45903   23.896952   5.997716],20.0000,6.0000,[  74.20663   -121.49913      3.7044723],20.0000,0.0000,[ 59.6366    -92.56785     2.4572756],20.0000,3.0000,[192.6839    24.829775   5.988162],20.0000,4.0000
271,[210.74455   75.43086    5.590158],20.0000,6.0000,[159.51454   23.617249   6.083526],20.0000,6.0000,[  73.26245   -122.048294     3.1632617],20.0000,0.0000,[ 59.160404  -92.23601     2.3740067],20.0000,4.0000,[193.23882    24.665388    5.9883795],20.0000,4.0000
272,[211.66542   74.83118    5.644885],20.0000,6.0000,[1.6058513e+02 2.3404333e+01 1.7944485e-02],20.0000,0.0000,[  72.17353 -122.1814     2.64855],20.0000,0.0000,[ 58.704098  -91.87541     2.3479211],20.0000,4.0000,[193.79373   24.50096    5.988585],20.0000,4.0000
273,[212.59444   74.251396   5.88285 ],20.0000,6.0000,[161.67708   23.392466   6.007795],20.0000,6.0000,[  71.10311  -121.867386    2.16947 ],20.0000,6.0000,[ 58.257465 -91.50293    2.34544 ],20.0000,4.0000,[194.34863   24.336487   5.988779],20.0000,4.0000
274,[213.6067    73.842575   6.164164],20.0000,0.0000,[162.73573   23.124804   6.093961],20.0000,6.0000,[  70.26281   -121.11928      2.3272936],20.0000,6.0000,[ 57.81519   -91.125984    2.3519156],20.0000,4.0000,[194.90352    24.171974    5.9889636],20.0000,4.0000
275,[214.68655    73.679726    5.8894715],20.0000,6.0000,[1.6380872e+02 2.2924273e+01 2.8708616e-02],20.0000,0.0000,[  69.41234   -120.42101      2.7166023],20.0000,6.0000,[ 57.37462   -90.7478      2.3607957],20.0000,3.0000,[195.45839    24.007423    5.9891386],20.0000,4.0000
276,[215.70375    73.28302     5.9801173],20.0000,0.0000,[164.9007     22.925247    6.0187263],20.0000,6.0000,[  68.41191   -119.98415      3.0608547],20.0000,6.0000,[ 56.932484  -90.371765    2.2776327],20.0000,4.0000,[196.01324    23.842836    5.9893045],20.0000,4.0000
277,[216.7503    72.97243    5.648212],20.0000,6.0000,[165.96246    22.670063    6.1051164],20.0000,6.0000,[  67.329605  -119.825775     3.3516614],20.0000,6.0000,[ 56.512894  -89.96902     2.2516172],20.0000,4.0000,[196.5681    23.678213   5.989462],20.0000,4.0000
278,[217.6791    72.39282    5.729406],20.0000,6.0000,[1.6703775e+02 2.2482285e+01 4.0078111e-02],20.0000,0.0000,[  66.2342    -119.922775     3.6171255],20.0000,6.0000,[ 56.104073  -89.555374    2.2491932],20.0000,4.0000,[197.12294    23.513554    5.9896116],20.0000,4.0000
279,[218.63441   71.8623     5.958865],20.0000,6.0000,[168.12962   22.496365   6.030206],20.0000,6.0000,[  65.184135  -120.26788      3.8501396],20.0000,0.0000,[ 55.700012 -89.13772    2.255714],20.0000,4.0000,[197.67776   23.348862   5.989754],20.0000,4.0000
280,[219.66606   71.50555    6.226471],20.0000,0.0000,[169.19438   22.253956   6.116738],20.0000,6.0000,[  64.2425   -120.84656     3.499391],20.0000,6.0000,[ 55.297768  -88.719       2.2646267],20.0000,3.0000,[198.23259    23.18414     5.9898896],20.0000,4.0000
281,[220.75269    71.38774     5.9462934],20.0000,6.0000,[1.7027188e+02 2.2079174e+01 5.1836997e-02],20.0000,0.0000,[  63.200012  -121.17518      3.5089715],20.0000,0.0000,[ 54.893757  -88.30226     2.1814866],20.0000,4.0000,[198.7874    23.019384   5.990019],20.0000,4.0000
282,[221.78484    71.03249     6.0305862],20.0000,0.0000,[171.36348   22.106531   6.042037],20.0000,6.0000,[  62.16622   -121.52806      3.1381803],20.0000,6.0000,[ 54.514744 -87.861115   2.155486],20.0000,4.0000,[199.3422    22.8546     5.990142],20.0000,4.0000
283,[222.84187    70.76016     5.6949067],20.0000,6.0000,[172.43114   21.877098   6.128658],20.0000,0.0000,[  61.074535  -121.56555      3.2039783],20.0000,0.0000,[ 54.147495  -87.41016     2.1530743],20.0000,4.0000,[199.89699    22.689787    5.9902587],20.0000,4.0000
284,[223.78908   70.213104   5.774314],20.0000,6.0000,[173.51341   21.733103   5.796478],20.0000,6.0000,[  59.987392  -121.67023      2.8658886],20.0000,6.0000,[ 53.78537   -86.95565     2.1596043],20.0000,3.0000,[200.45177    22.524946    5.9903708],20.0000,4.0000
285,[224.76213    69.71681     5.9987082],20.0000,0.0000,[174.5213    21.303997   5.878478],20.0000,6.0000,[  58.90852  -121.47397     2.948295],20.0000,6.0000,[ 53.422684  -86.50192     2.0767655],20.0000,4.0000,[201.00655   22.36008    5.990477],20.0000,4.0000
286,[225.81      69.41108    5.712025],20.0000,6.0000,[175.54713   20.926617   6.111073],20.0000,0.0000,[  57.82454   -121.32946      3.1861444],20.0000,0.0000,[ 53.087734  -86.02586     2.0519753],20.0000,4.0000,[201.56131    22.195189    5.9905787],20.0000,4.0000
287,[226.75978    68.869995    5.8033442],20.0000,6.0000,[176.62471    20.752064    5.8304763],20.0000,6.0000,[  56.734917  -121.39705      2.9096463],20.0000,6.0000,[ 52.76577   -85.54108     2.0511894],20.0000,4.0000,[202.11607   22.03027    5.990676],20.0000,4.0000
288,[227.74101    68.39096     6.0286164],20.0000,0.0000,[177.63614    20.335932    5.9239736],20.0000,6.0000,[  55.65577   -121.217354     3.0047572],20.0000,6.0000,[ 52.44928   -85.05339     2.0592568],20.0000,3.0000,[202.67082   21.86533    5.990769],20.0000,4.0000
289,[228.79468   68.105705   5.739996],20.0000,6.0000,[178.67058   19.985668   6.152685],20.0000,0.0000,[  54.569042 -121.10751     3.235525],20.0000,0.0000,[ 52.13205  -84.566574   1.977648],20.0000,4.0000,[203.22556    21.700365    5.9908576],20.0000,4.0000
290,[229.75392    67.58259     5.8300524],20.0000,6.0000,[179.75224    19.838968    5.8663125],20.0000,6.0000,[  53.482117  -121.20794      2.9504235],20.0000,6.0000,[ 51.84447   -84.0603      1.9537295],20.0000,4.0000,[203.7803    21.53538    5.990942],20.0000,4.0000
291,[230.7439     67.12234     6.0525045],20.0000,0.0000,[180.7718     19.445538    5.9574175],20.0000,6.0000,[  52.39993  -121.0549      3.042023],20.0000,0.0000,[ 51.57061   -83.54668     1.9536641],20.0000,4.0000,[204.33504    21.370373    5.9910235],20.0000,4.0000
292,[231.80249  66.85554   5.76195],20.0000,6.0000,[181.81355    19.118675    6.1813674],20.0000,6.0000,[  51.30947   -120.989555     2.7161324],20.0000,0.0000,[ 51.302406  -83.03077     1.9622846],20.0000,4.0000,[204.88976   21.205345   5.991101],20.0000,4.0000
293,[232.77       66.34843     5.8507905],20.0000,6.0000,[1.8289618e+02 1.8975771e+01 1.5912636e-01],20.0000,6.0000,[  50.263454  -120.65328      2.2520201],20.0000,0.0000,[ 51.03606   -82.5146      1.9728264],20.0000,3.0000,[205.44447   21.040297   5.991175],20.0000,4.0000
294,[233.76724    65.90434     6.0716176],20.0000,0.0000,[183.98872     19.056644     0.42534965],20.0000,6.0000,[  49.39992   -119.94816      1.7884665],20.0000,6.0000,[ 50.767246  -82.00001     1.8908496],20.0000,4.0000,[205.99919   20.87523    5.991246],20.0000,4.0000
295,[234.82988   65.65376    5.780066],20.0000,6.0000,[185.04297    19.374695    0.6768736],20.0000,6.0000,[  48.903812  -118.93995      1.9459115],20.0000,6.0000,[ 50.52919   -81.4692      1.8656272],20.0000,4.0000,[206.5539     20.710146    5.9913144],20.0000,4.0000
296,[235.80472   65.16116    5.868135],20.0000,6.0000,[186.00551     19.919464     0.89969033],20.0000,6.0000,[  48.376175 -117.97459     2.328881],20.0000,6.0000,[ 50.305157  -80.93239     1.8638531],20.0000,4.0000,[207.1086     20.545042    5.9913797],20.0000,4.0000
297,[236.80832    64.73175     6.0880466],20.0000,0.0000,[186.83406   20.655378   1.093674],20.0000,6.0000,[  47.614826  -117.192245     2.6705859],20.0000,6.0000,[ 50.08698   -80.3937      1.8708807],20.0000,4.0000,[207.66328   20.379923   5.991442],20.0000,4.0000
298,[237.87444    64.4962      5.7959585],20.0000,6.0000,[187.50558    21.537012    1.2699606],20.0000,6.0000,[  46.673653  -116.63502      2.9608614],20.0000,6.0000,[ 49.870815  -79.85477     1.8801621],20.0000,3.0000,[208.21797   20.214787   5.991502],20.0000,4.0000
299,[238.85597   64.01726    5.883546],20.0000,0.0000,[188.0084     22.523888    1.4406443],20.0000,6.0000,[  45.623695  -116.30846      3.2265153],20.0000,0.0000,[ 49.65221   -79.31704     1.7972758],20.0000,4.0000,[208.77266    20.049635    5.9915595],20.0000,4.0000
300,[239.87233   63.618145   5.552368],20.0000,6.0000,[188.333      23.582268    1.6124673],20.0000,6.0000,[  44.522892  -116.24616      2.9095747],20.0000,6.0000,[ 49.465893  -78.76606     1.7714413],20.0000,4.0000,[209.32735    19.884468    5.9916143],20.0000,4.0000
301,[240.74858    62.960342    5.6350417],20.0000,6.0000,[188.47025    24.680492    1.7870739],20.0000,0.0000,[  43.473434  -115.940796     2.9396384],20.0000,6.0000,[ 49.294144  -78.210396    1.7691638],20.0000,4.0000,[209.88202    19.719286    5.9916673],20.0000,4.0000
302,[241.65445    62.348473    5.8690004],20.0000,0.0000,[188.39699    25.781984    1.4131092],20.0000,0.0000,[  42.41664   -115.66043      3.1274838],20.0000,0.0000,[ 49.128456  -77.65337     1.7757983],20.0000,4.0000,[210.43669   19.55409    5.991718],20.0000,4.0000
303,[242.65932    61.921963    5.5893373],20.0000,6.0000,[188.59631    26.855555    0.8726098],20.0000,0.0000,[  41.32639   -115.5605       2.8162189],20.0000,0.0000,[ 48.964855 -77.09627    1.784794],20.0000,3.0000,[210.99136    19.38888     5.9917665],20.0000,4.0000
304,[243.54279    61.27716     5.6831813],20.0000,6.0000,[189.20691     27.76814      0.36024314],20.0000,6.0000,[  40.28926   -115.22002      2.3329673],20.0000,0.0000,[ 48.798756  -76.54011     1.7017108],20.0000,4.0000,[211.54602   19.223656   5.991813],20.0000,4.0000
