step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
22,[ 8.406753  58.93665    1.1258283],20.0000,0.0000,[23.220531    5.0859423   0.14867094],20.0000,6.0000,[ 23.657297   -42.051365     0.06420025],20.0000,0.0000,[ 52.493206 -40.         0.      ],20.0000,4.0000,[52.493206 40.        0.      ],20.0000,4.0000
23,[ 8.770623  59.972443   0.6232662],20.0000,0.0000,[24.29491     5.2818995   0.23587355],20.0000,6.0000,[ 24.748167 -42.005707   6.055286],20.0000,6.0000,[ 53.071987 -40.         0.      ],20.0000,4.0000,[53.071987 40.        0.      ],20.0000,4.0000
24,[ 9.521437   60.79807     0.14962299],20.0000,0.0000,[25.35424     5.5453005   0.45483744],20.0000,0.0000,[ 25.819693 -42.216984   6.142862],20.0000,6.0000,[ 53.650757 -40.         0.      ],20.0000,4.0000,[53.650757 40.        0.      ],20.0000,4.0000
25,[10.557596 61.24734   6.042872],20.0000,6.0000,[26.346739    6.0004606   0.16221744],20.0000,6.0000,[ 26.901903   -42.359837     0.07903844],20.0000,0.0000,[ 54.22952 -40.        0.     ],20.0000,4.0000,[54.22952 40.       0.     ],20.0000,4.0000
26,[11.682191  61.250385   6.2771645],20.0000,0.0000,[27.418474    6.2102776   0.24926051],20.0000,6.0000,[ 27.992098 -42.29952    6.069824],20.0000,6.0000,[ 54.808277 -40.         0.      ],20.0000,4.0000,[54.808277 40.        0.      ],20.0000,4.0000
27,[12.774552 61.381405  6.138567],20.0000,6.0000,[28.474327    6.4872775   0.46805882],20.0000,0.0000,[ 29.066305 -42.496468   6.157102],20.0000,6.0000,[ 55.387035 -40.         0.      ],20.0000,4.0000,[55.387035 40.        0.      ],20.0000,4.0000
28,[1.3874188e+01 6.1357841e+01 2.8585721e-02],20.0000,0.0000,[29.460947    6.9550705   0.17534848],20.0000,6.0000,[ 30.150303   -42.624977     0.09295949],20.0000,6.0000,[ 55.965786 -40.         0.      ],20.0000,4.0000,[55.965786 40.        0.      ],20.0000,4.0000
29,[14.9628725 61.473797   6.0447464],20.0000,6.0000,[30.529911   7.17852    0.2622912],20.0000,6.0000,[ 31.241295  -42.568188    0.3509347],20.0000,6.0000,[ 56.54454 -40.        0.     ],20.0000,4.0000,[56.54454 40.       0.     ],20.0000,4.0000
30,[16.05356  61.33949   6.156973],20.0000,0.0000,[31.582157    7.468907    0.48098665],20.0000,0.0000,[ 32.30197  -42.290325   0.614203],20.0000,6.0000,[ 57.12329 -40.        0.     ],20.0000,4.0000,[57.12329 40.       0.     ],20.0000,4.0000
31,[17.148182 61.294693  5.865268],20.0000,6.0000,[32.562794    7.949135    0.18822062],20.0000,6.0000,[ 33.28186   -41.78581     0.8607922],20.0000,6.0000,[ 57.70204 -40.        0.     ],20.0000,4.0000,[57.70204 40.       0.     ],20.0000,4.0000
