step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3
13,[13.874047   1.59862    6.2440367],20.0000,6.0000,[13.91764   49.623676   5.7488117],20.0000,6.0000,[ 12.823678  -45.040047    0.6283197],20.0000,6.0000,[13.175364 96.22037   5.729081],20.0000,6.0000,[ 12.004998  -93.67239     0.7384356],20.0000,6.0000,[ 85.56514  -20.47112    5.768067],20.0000,5.0000,[83.45874   41.74928    5.9390755],20.0000,4.0000,[125.71882  -16.737514   5.701462],20.0000,4.0000
14,[14.965739    1.5807946   0.18491198],20.0000,6.0000,[14.917991  49.170776   5.8412814],20.0000,6.0000,[ 13.734478   -44.436592     0.83183444],20.0000,0.0000,[14.125131  95.680824   5.9626417],20.0000,0.0000,[ 12.832684  -92.96011     0.7992836],20.0000,6.0000,[ 86.007515 -20.866465   5.861877],20.0000,5.0000,[83.975655 41.473263  5.945372],20.0000,4.0000,[126.20319  -17.056057   5.701462],20.0000,4.0000
15,[16.044395    1.7509489   0.44604927],20.0000,0.0000,[15.936681  48.771584   6.0894885],20.0000,0.0000,[ 14.525098   -43.680267     0.52882445],20.0000,6.0000,[15.16067   95.33565    5.6786304],20.0000,6.0000,[ 13.627185  -92.21015     1.0031475],20.0000,0.0000,[ 86.484474  -21.21899     5.9550657],20.0000,4.0000,[84.49712   41.209484   5.9321485],20.0000,4.0000,[126.68731  -17.374428   5.701462],20.0000,4.0000
16,[17.061302    2.1546113   0.16192599],20.0000,6.0000,[17.012283 48.584225  5.81853 ],20.0000,6.0000,[ 15.469387   -43.13271      0.60157394],20.0000,0.0000,[16.09042   94.76105    5.7705445],20.0000,6.0000,[ 14.277003  -91.32993     0.7003396],20.0000,6.0000,[ 86.99285  -21.522943   5.956017],20.0000,4.0000,[85.018745  40.94951    5.9143686],20.0000,4.0000,[127.17125  -17.692682   5.701462],20.0000,4.0000
17,[18.13988     2.3226159   0.23971325],20.0000,6.0000,[18.022026  48.162754   5.9155283],20.0000,6.0000,[ 16.372885 -42.520157   0.261476],20.0000,6.0000,[17.054293 94.248116  5.995399],20.0000,0.0000,[ 15.11384  -90.629074   0.773256],20.0000,6.0000,[ 87.508026  -21.806793    5.9247007],20.0000,4.0000,[85.53916  40.689754  5.898083],20.0000,4.0000,[127.65507  -18.010857   5.701462],20.0000,4.0000
18,[19.207212   2.55317    0.4517461],20.0000,0.0000,[19.055376 47.80869   6.147742],20.0000,0.0000,[ 17.410477   -42.174984     0.33942872],20.0000,6.0000,[18.097363 93.92617   5.70633 ],20.0000,6.0000,[ 15.911739   -89.883804     0.98377717],20.0000,0.0000,[ 88.02143   -22.086653    5.8900666],20.0000,4.0000,[86.058235  40.429134   5.8848853],20.0000,5.0000,[128.1388   -18.328976   5.701462],20.0000,4.0000
19,[20.216032    2.9745135   0.15422668],20.0000,6.0000,[20.136806  47.66038    5.8633637],20.0000,6.0000,[ 18.427551   -41.777        0.56178325],20.0000,0.0000,[19.037529  93.369644   5.7960896],20.0000,6.0000,[ 16.562918  -89.005974    0.6865142],20.0000,6.0000,[ 88.53125   -22.36851     5.8621397],20.0000,4.0000,[86.57507  40.164818  5.966382],20.0000,4.0000,[128.62248  -18.647058   5.701462],20.0000,4.0000
20,[21.293718    3.1480503   0.23259248],20.0000,6.0000,[21.156471 47.26677   5.955205],20.0000,6.0000,[ 19.352604  -41.197544    0.2737521],20.0000,6.0000,[20.010649  92.87481    6.0180845],20.0000,0.0000,[ 17.400679  -88.30615     0.7664019],20.0000,6.0000,[ 89.03793  -22.653349   5.84187 ],20.0000,5.0000,[87.10756   39.930923   5.9919853],20.0000,4.0000,[129.10611  -18.965117   5.701462],20.0000,4.0000
21,[22.359585   3.384008   0.4453837],20.0000,0.0000,[22.198269  46.939926   6.1801467],20.0000,0.0000,[ 20.388453   -40.848816     0.36458102],20.0000,6.0000,[21.059124  92.5706     5.7272387],20.0000,6.0000,[ 18.195553   -87.557945     0.97999156],20.0000,0.0000,[ 89.54114   -22.943243    5.9193025],20.0000,4.0000,[87.64585  39.71084   5.994525],20.0000,4.0000,[129.58972  -19.283155   5.701462],20.0000,4.0000
22,[23.365835    3.8098779   0.14957692],20.0000,6.0000,[23.282766  46.815407   5.8911605],20.0000,6.0000,[ 21.398994  -40.435333    0.5890517],20.0000,0.0000,[22.00793   92.02937    5.8158655],20.0000,6.0000,[ 18.841597   -86.67692      0.68471766],20.0000,6.0000,[ 90.06103   -23.204391    5.9427004],20.0000,4.0000,[88.186     39.496574   5.9882956],20.0000,4.0000,[130.07332  -19.601183   5.701462],20.0000,4.0000
23,[24.442877   3.9879534  0.2315244],20.0000,6.0000,[24.309313 46.441425  5.980975],20.0000,6.0000,[ 22.313454  -39.839176    0.2999046],20.0000,6.0000,[22.988686  91.549995   6.0364304],20.0000,0.0000,[ 19.675512   -85.97236      0.76758146],20.0000,6.0000,[ 90.5872    -23.452396    5.9437757],20.0000,4.0000,[88.72643  39.284378  5.979684],20.0000,4.0000,[130.5569   -19.919203   5.701462],20.0000,4.0000
24,[25.507074    4.230916    0.44625732],20.0000,0.0000,[25.356888  46.134155   6.2030506],20.0000,0.0000,[ 23.342524   -39.472195     0.38967308],20.0000,6.0000,[24.041668 91.261505  5.744723],20.0000,6.0000,[ 20.464699   -85.21823      0.98289543],20.0000,0.0000,[ 91.11536  -23.694927   5.936555],20.0000,4.0000,[89.26662   39.07265    5.9713163],20.0000,4.0000,[131.04047  -20.237217   5.701462],20.0000,4.0000
25,[26.509733    4.6643934   0.15160261],20.0000,6.0000,[26.443443  46.028175   5.9122567],20.0000,6.0000,[ 24.345238   -39.040462     0.61173093],20.0000,0.0000,[24.998182 90.734245  5.832658],20.0000,0.0000,[ 21.10303   -84.3319      0.6885276],20.0000,6.0000,[ 91.64379  -23.935577   5.927289],20.0000,4.0000,[89.80642   38.86082    5.9640403],20.0000,4.0000,[131.52403  -20.555227   5.701462],20.0000,4.0000
26,[27.585495   4.850659   0.2354995],20.0000,0.0000,[27.47569   45.67089    6.0009217],20.0000,6.0000,[ 25.249557  -38.428875    0.3209318],20.0000,6.0000,[25.993477 90.28512   5.501865],20.0000,6.0000,[ 21.931017  -83.62023     0.7729317],20.0000,0.0000,[ 92.17192   -24.175863    5.9184995],20.0000,4.0000,[90.34589   38.648758   5.9579635],20.0000,4.0000,[132.0076   -20.873234   5.701462],20.0000,4.0000
27,[28.643341   5.1202645  6.184161 ],20.0000,6.0000,[28.527946 45.380306  6.221533],20.0000,0.0000,[ 26.272383   -38.045452     0.40959653],20.0000,0.0000,[26.836159 89.58467   5.584802],20.0000,6.0000,[ 22.700655   -82.846        0.43879056],20.0000,6.0000,[ 92.69962  -24.416307   5.910953],20.0000,4.0000,[90.885086  38.43649    5.9529395],20.0000,4.0000,[132.49117  -21.19124    5.701462],20.0000,4.0000
28,[29.737892   5.096357   6.2646966],20.0000,6.0000,[29.616043 45.290665  5.929853],20.0000,6.0000,[ 27.260967   -37.58155      0.07965688],20.0000,6.0000,[27.710636  88.92866    5.8192735],20.0000,0.0000,[ 23.652374  -82.30464     0.5195487],20.0000,6.0000,[ 93.226944  -24.657013    5.9047003],20.0000,4.0000,[91.42409   38.224087   5.9487715],20.0000,4.0000,[132.97472  -21.509245   5.701462],20.0000,4.0000
29,[30.83021     5.1275887   0.21078147],20.0000,0.0000,[30.653307  44.94859    6.0178123],20.0000,6.0000,[ 28.341228   -37.3966       0.16318831],20.0000,6.0000,[28.693289 88.45316   5.539957],20.0000,6.0000,[ 24.573875  -81.71722     0.7493625],20.0000,0.0000,[ 93.753975 -24.897936   5.899559],20.0000,4.0000,[91.96295  38.01162   5.945279],20.0000,4.0000,[133.45828  -21.827248   5.701462],20.0000,4.0000
30,[31.895786   5.3644624  6.2110248],20.0000,6.0000,[31.709621 44.67324   6.237598],20.0000,0.0000,[ 29.408302   -37.158665     0.39877683],20.0000,0.0000,[29.544106  87.765816   5.6339307],20.0000,6.0000,[ 25.36664    -80.96682      0.46681035],20.0000,6.0000,[ 94.28079  -25.139002   5.895309],20.0000,4.0000,[92.50173  37.799133  5.942319],20.0000,4.0000,[133.94183  -22.14525    5.701462],20.0000,4.0000
31,[3.2989189e+01 5.3506703e+00 2.0473754e-02],20.0000,0.0000,[32.798912  44.598804   5.9454384],20.0000,6.0000,[ 30.4082     -36.720562     0.12020849],20.0000,6.0000,[30.43582  87.13519   5.863231],20.0000,0.0000,[ 26.311865   -80.41696      0.55958664],20.0000,6.0000,[ 94.807465  -25.380136    5.8917575],20.0000,4.0000,[93.04045   37.586674   5.9397807],20.0000,4.0000,[134.42538  -22.463253   5.701462],20.0000,4.0000
32,[34.079464  5.424223  5.980637],20.0000,6.0000,[33.840736  44.271095   6.0329566],20.0000,6.0000,[ 31.48343    -36.519764     0.21446006],20.0000,6.0000,[31.430937  86.68659    5.5772204],20.0000,6.0000,[ 27.218979  -79.80887     0.7873224],20.0000,0.0000,[ 95.33404   -25.621286    5.8887534],20.0000,4.0000,[93.57913  37.374264  5.937581],20.0000,4.0000,[134.90895  -22.781256   5.701462],20.0000,4.0000
33,[35.155304   5.2074866  6.0693707],20.0000,6.0000,[34.900696 44.010197  6.252256],20.0000,0.0000,[ 32.542023  -36.25094     0.4440875],20.0000,0.0000,[32.29647   86.01933    5.6684704],20.0000,6.0000,[ 27.9937     -79.03989      0.50033426],20.0000,6.0000,[ 95.86056  -25.862413   5.886181],20.0000,4.0000,[94.1178    37.161922   5.9356565],20.0000,4.0000,[135.3925   -23.099258   5.701462],20.0000,4.0000
34,[3.6237144e+01 5.0456138e+00 3.0202517e-02],20.0000,0.0000,[35.990917 43.950317  5.959821],20.0000,6.0000,[ 33.529194   -35.78511      0.15827432],20.0000,6.0000,[33.20219   85.40962    5.8926272],20.0000,0.0000,[ 28.926575  -78.47074     0.5911794],20.0000,6.0000,[ 96.38704  -26.103493   5.883954],20.0000,4.0000,[94.656456  36.949657   5.9339595],20.0000,4.0000,[135.87605  -23.417261   5.701462],20.0000,4.0000
35,[37.327553   5.1000457  6.0401473],20.0000,6.0000,[37.03696  43.636486  6.047063],20.0000,6.0000,[ 34.598576   -35.559635     0.24960122],20.0000,6.0000,[34.206272  84.981255   5.6031504],20.0000,6.0000,[ 29.820202  -77.8435      0.8147573],20.0000,0.0000,[ 96.913506  -26.344503    5.8820076],20.0000,4.0000,[95.19512  36.73748   5.932452],20.0000,4.0000,[136.3596   -23.735262   5.701462],20.0000,4.0000
36,[38.405      4.9098516  6.1363606],20.0000,6.0000,[38.100258 43.389584  6.266067],20.0000,0.0000,[ 35.65024   -35.266228    0.4738666],20.0000,0.0000,[35.083485  84.33007    5.6926866],20.0000,6.0000,[ 30.580042   -77.05969      0.52491325],20.0000,6.0000,[ 97.43997   -26.585436    5.8802924],20.0000,4.0000,[95.733795  36.525394   5.9311047],20.0000,4.0000,[136.84315  -24.053265   5.701462],20.0000,4.0000
37,[39.490715    4.7901073   0.08479498],20.0000,0.0000,[39.19119   43.34389    5.9734697],20.0000,6.0000,[ 36.627735   -34.780247     0.18445845],20.0000,6.0000,[35.99987   83.736755   5.9143972],20.0000,0.0000,[ 31.502474   -76.4744       0.61422575],20.0000,6.0000,[ 97.96644  -26.826283   5.87877 ],20.0000,4.0000,[96.272484 36.3134    5.929894],20.0000,4.0000,[137.32672  -24.371267   5.701462],20.0000,4.0000
38,[40.57846    4.8812275  6.083308 ],20.0000,6.0000,[40.24119  43.04365   6.060537],20.0000,0.0000,[ 37.69243    -34.53534      0.27403513],20.0000,6.0000,[37.010983 83.32502   5.623379],20.0000,6.0000,[ 32.385002  -75.831825    0.8356468],20.0000,0.0000,[ 98.49293   -27.06704     5.8774095],20.0000,4.0000,[96.81119  36.101498  5.9288  ],20.0000,4.0000,[137.81027  -24.689268   5.701462],20.0000,4.0000
39,[41.659374   4.7192526  6.175052 ],20.0000,6.0000,[41.31152   42.827877   5.7288084],20.0000,6.0000,[ 38.73851    -34.223064     0.49579892],20.0000,0.0000,[37.898205 82.687874  5.711878],20.0000,6.0000,[ 33.132156  -75.0358      0.5444524],20.0000,6.0000,[ 99.01943  -27.307707   5.876188],20.0000,4.0000,[97.34991   35.889687   5.9278083],20.0000,4.0000,[138.29382  -25.00727    5.701462],20.0000,4.0000
40,[42.74735     4.6272254   0.11669797],20.0000,0.0000,[42.288795  42.332745   5.8111095],20.0000,6.0000,[ 39.70787    -33.720867     0.20481336],20.0000,6.0000,[38.823635  82.10887    5.9322886],20.0000,0.0000,[ 34.045273  -74.436386    0.6328139],20.0000,0.0000,[ 99.54595  -27.548283   5.875085],20.0000,4.0000,[97.88866  35.677967  5.926905],20.0000,5.0000,[138.77737  -25.325272   5.701462],20.0000,4.0000
41,[43.83293    4.7418985  6.1108303],20.0000,6.0000,[43.287327 41.888016  6.044324],20.0000,0.0000,[ 40.768368  -33.45918     0.2933362],20.0000,0.0000,[39.84078  81.71209   5.640491],20.0000,6.0000,[ 34.907322  -73.76609     0.3025112],20.0000,6.0000,[100.0725    -27.788767    5.8740845],20.0000,4.0000,[98.426384 35.46355   6.017839],20.0000,4.0000,[139.26094  -25.643274   5.701462],20.0000,5.0000
42,[44.916275  4.600434  6.200609],20.0000,6.0000,[44.351017 41.6426    5.764153],20.0000,6.0000,[ 41.804245 -33.11361    6.24641 ],20.0000,6.0000,[40.737034  81.08789    5.7283463],20.0000,6.0000,[ 35.920277   -73.34787      0.38578853],20.0000,6.0000,[100.59908  -28.029161   5.873174],20.0000,4.0000,[98.97667   35.281555   6.0506034],20.0000,4.0000,[139.74286   -25.963758    5.7932205],20.0000,5.0000
43,[46.00562     4.5286503   0.13945314],20.0000,0.0000,[45.332882  41.160786   5.8578086],20.0000,6.0000,[ 42.898663   -33.05585      0.04663527],20.0000,6.0000,[41.6706    80.522156   5.9480157],20.0000,0.0000,[ 36.90874   -72.88084     0.6209049],20.0000,6.0000,[101.12569   -28.269468    5.8723426],20.0000,4.0000,[99.53157   35.113293   6.0605326],20.0000,4.0000,[140.24197   -26.257746    5.9185977],20.0000,4.0000
44,[47.089184  4.661785  6.131816],20.0000,6.0000,[46.34206   40.743233   6.0867205],20.0000,0.0000,[ 43.98618    -32.943928     0.28200024],20.0000,0.0000,[42.693176 80.13945   5.65579 ],20.0000,6.0000,[ 37.798176   -72.24807      0.89257365],20.0000,0.0000,[101.65232   -28.509691    5.8715806],20.0000,4.0000,[100.08823    34.951023    6.0611525],20.0000,4.0000,[140.76518  -26.509947   5.961936],20.0000,4.0000
45,[48.174454   4.5378065  6.22046  ],20.0000,0.0000,[47.411755 40.525826  5.800472],20.0000,6.0000,[ 4.5030369e+01 -3.2625504e+01  3.2830806e-03],20.0000,6.0000,[43.59783   79.5276     5.7432427],20.0000,6.0000,[ 38.52249   -71.429886    0.6137919],20.0000,6.0000,[102.17898 -28.74983   5.87088],20.0000,4.0000,[100.645485   34.791306    6.0582576],20.0000,4.0000,[141.29741   -26.743555    5.9726872],20.0000,4.0000
46,[49.26585    4.501072   5.8904943],20.0000,6.0000,[48.403336  40.066372   5.8916264],20.0000,6.0000,[ 46.121685   -32.55166      0.09747928],20.0000,6.0000,[44.538963  78.97456    5.9624715],20.0000,0.0000,[ 39.409023   -70.79298      0.69979125],20.0000,6.0000,[102.705666  -28.98989     5.8702345],20.0000,4.0000,[101.20288   34.632614   6.054331],20.0000,4.0000,[141.8329    -26.968933    5.9702277],20.0000,4.0000
47,[50.311947   4.1742125  5.974007 ],20.0000,6.0000,[49.4214    39.6719     6.1156487],20.0000,0.0000,[ 47.204426  -32.408333    0.3270427],20.0000,0.0000,[45.566555 78.60546   5.669998],20.0000,6.0000,[ 40.252914  -70.1005      0.9155093],20.0000,0.0000,[103.23238   -29.22987     5.8696384],20.0000,4.0000,[101.760254   34.474316    6.0503864],20.0000,4.0000,[142.36932  -27.191032   5.963233],20.0000,4.0000
48,[51.370415   3.9005325  6.2095604],20.0000,0.0000,[50.49531  39.47594   5.826086],20.0000,6.0000,[ 4.8239265e+01 -3.2061047e+01  4.1191012e-02],20.0000,6.0000,[46.479183 78.00563   5.757199],20.0000,6.0000,[ 40.955917  -69.26411     0.6207345],20.0000,6.0000,[103.759125 -29.469774   5.869086],20.0000,4.0000,[102.31754    34.316154    6.0467844],20.0000,4.0000,[142.90578  -27.412075   5.955457],20.0000,4.0000
49,[52.460148   3.8356414  5.930969 ],20.0000,6.0000,[51.49468   39.034607   5.9155717],20.0000,6.0000,[ 49.327667 -31.962105   0.132503],20.0000,6.0000,[47.42748   77.46499    5.9761605],20.0000,0.0000,[ 41.83421   -68.61575     0.7032873],20.0000,6.0000,[104.2859    -29.709606    5.8685737],20.0000,4.0000,[102.87476  34.15805   6.04361],20.0000,4.0000,[143.44196  -27.632952   5.948325],20.0000,4.0000
50,[53.508972  3.525145  6.025212],20.0000,6.0000,[52.519474 38.65834   6.137216],20.0000,0.0000,[ 50.406418   -31.793627     0.35674745],20.0000,0.0000,[48.459785 77.10922   5.683539],20.0000,6.0000,[ 42.671238 -67.91509    0.918322],20.0000,0.0000,[104.8127   -29.949368   5.868097],20.0000,4.0000,[103.431915  33.999992   6.040844],20.0000,4.0000,[143.97784  -27.853949   5.942217],20.0000,4.0000
51,[54.573936   3.2827885  6.2548294],20.0000,0.0000,[53.59655   38.480053   5.8461576],20.0000,6.0000,[ 51.43402    -31.425236     0.06732603],20.0000,6.0000,[49.380066 76.52124   5.770581],20.0000,6.0000,[ 43.36658    -67.07268      0.62379634],20.0000,6.0000,[105.33952  -30.189062   5.867653],20.0000,4.0000,[103.98903   33.84198    6.038435],20.0000,4.0000,[144.51347   -28.075108    5.9371066],20.0000,4.0000
52,[55.66495    3.248354   5.9690104],20.0000,6.0000,[54.60256   38.054546   5.9346247],20.0000,6.0000,[ 52.520042   -31.306467     0.15689494],20.0000,0.0000,[50.33523  75.992836  5.989378],20.0000,0.0000,[ 44.239582  -66.417046    0.7078668],20.0000,0.0000,[105.86637   -30.428692    5.8672385],20.0000,4.0000,[104.546104   33.684032    6.0363283],20.0000,4.0000,[145.0489   -28.296389   5.932844],20.0000,4.0000
53,[56.71979    2.9624767  6.0603347],20.0000,6.0000,[55.632996 37.69418   6.154999],20.0000,0.0000,[ 53.592667 -31.10101    6.111282],20.0000,6.0000,[51.372005  75.65026    5.6966667],20.0000,6.0000,[ 45.05861   -65.69529     0.3734671],20.0000,6.0000,[106.39325   -30.668259    5.8668513],20.0000,4.0000,[105.103165  33.52616    6.034476],20.0000,4.0000,[145.5842   -28.517735   5.929267],20.0000,4.0000
54,[5.7789772e+01 2.7451520e+00 1.4115737e-03],20.0000,0.0000,[56.712643  37.531757   5.8631797],20.0000,6.0000,[ 54.68545   -31.187971    6.1956215],20.0000,6.0000,[52.29969   75.07406    5.7836084],20.0000,6.0000,[ 46.04397    -65.218056     0.45407185],20.0000,6.0000,[106.92014  -30.907764   5.866489],20.0000,4.0000,[105.66021   33.368366   6.032836],20.0000,4.0000,[146.1194    -28.739098    5.9262347],20.0000,4.0000
55,[58.881344   2.7330573  5.995187 ],20.0000,6.0000,[57.724586  37.12083    5.9510155],20.0000,6.0000,[ 55.778362   -31.22033      0.14947087],20.0000,0.0000,[53.261486 74.55783   6.002303],20.0000,0.0000,[ 47.002224 -64.69279    0.683511],20.0000,0.0000,[107.44707   -31.147213    5.8661494],20.0000,4.0000,[106.217255  33.210663   6.031376],20.0000,4.0000,[146.65454  -28.96044    5.923637],20.0000,4.0000
56,[59.940853   2.4666145  6.084762 ],20.0000,6.0000,[58.760017  36.775158   6.1706634],20.0000,0.0000,[ 56.855255  -31.041262    6.1550403],20.0000,6.0000,[54.302513  74.228386   5.7095366],20.0000,6.0000,[ 47.84295   -63.996544    0.4006902],20.0000,6.0000,[107.974014  -31.386604    5.8658304],20.0000,4.0000,[106.7743    33.05305    6.030068],20.0000,4.0000,[147.18965  -29.181734   5.921388],20.0000,4.0000
57,[6.1014442e+01 2.2686269e+00 2.3339028e-02],20.0000,0.0000,[59.841846 36.627636  5.878425],20.0000,6.0000,[ 57.946976  -31.110012    6.2496457],20.0000,6.0000,[55.237392 73.66394   5.796416],20.0000,6.0000,[ 48.82259   -63.510696    0.4933684],20.0000,6.0000,[108.50098  -31.625942   5.865531],20.0000,4.0000,[107.33135   32.895535   6.028891],20.0000,4.0000,[147.72473   -29.402962    5.9194236],20.0000,4.0000
58,[62.10615    2.2746718  6.0155377],20.0000,6.0000,[60.859253 36.23059   5.965866],20.0000,6.0000,[ 59.03919    -31.108599     0.19648589],20.0000,0.0000,[56.205616  73.159874   6.0150466],20.0000,0.0000,[ 49.768093   -62.964222     0.72096246],20.0000,0.0000,[109.02797   -31.865229    5.8652487],20.0000,4.0000,[107.88841   32.73811    6.027827],20.0000,4.0000,[148.25981   -29.624111    5.9176927],20.0000,4.0000
59,[63.16956    2.02508    6.1040597],20.0000,6.0000,[61.89925  35.89895   6.185082],20.0000,0.0000,[ 60.110325 -30.898436   6.194095],20.0000,6.0000,[57.2507    72.84353    5.7222457],20.0000,6.0000,[ 50.592247   -62.248474     0.43388355],20.0000,6.0000,[109.55498  -32.104465   5.864983],20.0000,4.0000,[108.44549  32.58078   6.02686],20.0000,4.0000,[148.79489  -29.845177   5.916157],20.0000,4.0000
