step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3
0,[0. 0. 0.],20.0000,6.0000,[ 0. 50.  0.],20.0000,0.0000,[  0. -50.   0.],20.0000,6.0000,[  0. 100.   0.],20.0000,0.0000,[   0. -100.    0.],20.0000,6.0000,[ 85.128395  -13.306715    3.8284893],20.0000,7.0000,[79.60268   48.254642   4.5562744],20.0000,6.0000,[118.98208  -12.307205   5.701462],20.0000,4.0000
1,[1. 0. 0.],20.0000,6.0000,[ 1. 50.  0.],20.0000,6.0000,[  1. -50.   0.],20.0000,5.0000,[  1. 100.   0.],20.0000,6.0000,[   1. -100.    0.],20.0000,6.0000,[ 84.51847  -13.7954     4.103765],20.0000,7.0000,[79.4753   47.483574  4.739792],20.0000,6.0000,[119.63503  -12.736609   5.701462],20.0000,4.0000
2,[ 2.091554   -0.05060113  0.24676664],20.0000,6.0000,[ 2.091554   50.089653    0.07297001],20.0000,6.0000,[  2.091554   -50.04763      0.15500799],20.0000,5.0000,[2.0915539e+00 1.0008965e+02 7.2970010e-02],20.0000,0.0000,[   2.091554   -100.0506        0.24676664],20.0000,5.0000,[ 84.055664  -14.322648    4.4679337],20.0000,6.0000,[79.44382   46.785267   4.9865584],20.0000,6.0000,[120.21754  -13.119686   5.701462],20.0000,4.0000
3,[3.1759493 0.1131807 0.5058002],20.0000,0.0000,[ 3.1760414  50.226154    0.30138004],20.0000,0.0000,[  3.1822443  -49.95734      0.29594848],20.0000,5.0000,[  3.1747413 100.24394     6.0340133],20.0000,6.0000,[  3.1752234  -99.883934     0.41404155],20.0000,5.0000,[ 83.74375   -14.91797     4.7481966],20.0000,6.0000,[79.51855  46.12783   5.245592],20.0000,5.0000,[120.76323  -13.478549   5.701462],20.0000,4.0000
4,[4.1963663  0.52371174 0.19972153],20.0000,6.0000,[4.2143512e+00 5.0563179e+01 1.9597065e-02],20.0000,6.0000,[  4.2561464  -49.736736     0.42408577],20.0000,5.0000,[  4.2654014 100.10373     6.129248 ],20.0000,0.0000,[  4.225388   -99.56049      0.54166234],20.0000,5.0000,[ 83.572754 -15.551548   4.970589],20.0000,6.0000,[79.70798   45.511513   5.3983064],20.0000,5.0000,[121.28714  -13.823091   5.701462],20.0000,4.0000
5,[5.2753673  0.69508827 0.24468105],20.0000,6.0000,[ 5.304333   50.654026    0.11286999],20.0000,0.0000,[  5.2991486  -49.39421      0.53964096],20.0000,5.0000,[  5.3595514 100.036285    5.8346753],20.0000,6.0000,[  5.2298365 -99.112656    0.6460323],20.0000,5.0000,[ 83.53576  -16.192976   5.153301],20.0000,5.0000,[79.974625 44.94055   5.497756],20.0000,5.0000,[121.7974   -14.158659   5.701462],20.0000,4.0000
6,[6.348294  0.9039002 0.4401446],20.0000,0.0000,[ 6.3827844 50.83128    6.074509 ],20.0000,6.0000,[  6.2997975  -48.94055      0.64456636],20.0000,5.0000,[ 6.4066057 99.69484    5.9460273],20.0000,0.0000,[  6.1822805 -98.56277     0.7386902],20.0000,5.0000,[ 83.61961  -16.81702    5.228135],20.0000,5.0000,[80.29512   44.41231    5.5766864],20.0000,5.0000,[122.29884   -14.4884205   5.701462 ],20.0000,4.0000
7,[7.3706675  1.2949659  0.13250037],20.0000,6.0000,[ 7.474733 50.718838  6.164375],20.0000,0.0000,[  7.2493916 -48.387196    0.7421026],20.0000,0.0000,[ 7.4718227 99.43394    5.664579 ],20.0000,6.0000,[  7.0781646  -97.925354     0.82725996],20.0000,5.0000,[ 83.7712    -17.41296     5.2748055],20.0000,5.0000,[80.65722  43.92284   5.653547],20.0000,5.0000,[122.79446  -14.814352   5.701462],20.0000,4.0000
8,[8.453678   1.4314792  0.20171024],20.0000,0.0000,[ 8.569348 50.679577  5.859432],20.0000,6.0000,[  8.130983   -47.733524     0.37670335],20.0000,6.0000,[ 8.446227  98.92054    5.7813487],20.0000,0.0000,[  7.91235    -97.20954      0.91566926],20.0000,0.0000,[ 83.96659  -17.985483   5.330977],20.0000,5.0000,[81.05601 43.47076  5.73507],20.0000,5.0000,[123.28618  -15.137726   5.701462],20.0000,4.0000
9,[9.525008  1.6408355 6.143355 ],20.0000,6.0000,[ 9.622393 50.35941   5.964194],20.0000,6.0000,[  9.151937   -47.347        0.41835958],20.0000,6.0000,[ 9.4538145 98.487724   5.502056 ],20.0000,6.0000,[  8.666952   -96.41279      0.54649717],20.0000,6.0000,[ 84.201706 -18.536669   5.403653],20.0000,5.0000,[81.489426 43.057262  5.821756],20.0000,5.0000,[123.77528  -15.459379   5.701462],20.0000,4.0000
10,[10.61463    1.5506706  6.220703 ],20.0000,6.0000,[10.685997  50.099194   6.2279844],20.0000,0.0000,[ 10.1613865  -46.930614     0.61680794],20.0000,6.0000,[10.33145   97.82256    5.6189804],20.0000,6.0000,[  9.606989  -95.85779     0.5878195],20.0000,6.0000,[ 84.47837  -19.064804   5.48851 ],20.0000,5.0000,[81.95569   42.684933   5.9120092],20.0000,4.0000,[124.26262  -15.779867   5.701462],20.0000,4.0000
11,[11.706214    1.5170482   0.15894261],20.0000,0.0000,[11.777452 50.067303  5.965429],20.0000,6.0000,[ 11.095836  -46.361324    0.8658475],20.0000,0.0000,[11.244329  97.21788    5.8895836],20.0000,0.0000,[ 10.530797   -95.27568      0.78628695],20.0000,6.0000,[ 84.798195  -19.566168    5.5798855],20.0000,5.0000,[82.4534   42.35955   5.912376],20.0000,4.0000,[124.74875  -16.099564   5.701462],20.0000,4.0000
12,[12.784633   1.6859117  6.1534657],20.0000,6.0000,[12.838851  49.80072    6.0652843],20.0000,0.0000,[ 11.8868885 -45.60119     0.5681689],20.0000,6.0000,[12.262683 96.82398   5.62893 ],20.0000,6.0000,[ 11.354729 -94.55583    1.035564],20.0000,0.0000,[ 85.16105   -20.03638     5.6737857],20.0000,5.0000,[82.95771  42.05373   5.881421],20.0000,5.0000,[125.23406  -16.418722   5.701462],20.0000,4.0000
