step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5,pos_blue6,health_blue6,action_blue6,pos_blue7,health_blue7,action_blue7,pos_blue8,health_blue8,action_blue8,pos_blue9,health_blue9,action_blue9,pos_blue10,health_blue10,action_blue10,pos_blue11,health_blue11,action_blue11,pos_blue12,health_blue12,action_blue12,pos_blue13,health_blue13,action_blue13,pos_blue14,health_blue14,action_blue14,pos_blue15,health_blue15,action_blue15,pos_blue16,health_blue16,action_blue16,pos_blue17,health_blue17,action_blue17,pos_blue18,health_blue18,action_blue18,pos_blue19,health_blue19,action_blue19,pos_blue20,health_blue20,action_blue20
52,[55.35792   10.11389    6.1552305],20.0000,6.0000,[56.388233  21.533577   6.1869226],20.0000,6.0000,[ 55.55504    -10.295144     0.05850785],20.0000,6.0000,[54.365437   54.91035     0.30970833],20.0000,0.0000,[ 53.960934  -23.746084    0.2678035],20.0000,6.0000,[76.383965    1.9539517   0.20570524],20.0000,0.0000,[76.04862    26.183044    0.16995127],20.0000,6.0000,[ 75.95108    -13.902097     0.08495217],20.0000,0.0000,[74.262886  52.001076   0.4865275],20.0000,6.0000,[ 75.22547  -33.133335   5.807584],20.0000,6.0000,[119.92646   43.379738   6.23153 ],20.0000,4.0000,[109.018036  -41.810448    6.0709505],20.0000,4.0000,[159.85333   -27.765343    5.9003034],20.0000,4.0000,[ 81.44627    -10.397153     0.24800763],20.0000,4.0000,[112.932846  -63.59161     5.4934616],20.0000,4.0000,[157.04237     9.657245    6.0674047],20.0000,4.0000,[144.79613    -23.400995     0.15356137],20.0000,4.0000,[131.80394     42.033535     0.55937815],20.0000,4.0000,[104.56925   31.344095   6.190103],20.0000,4.0000,[89.613785  43.199825   0.5395681],20.0000,4.0000,[121.57115     3.2434518   5.946353 ],20.0000,4.0000,[123.17548  -18.637451   5.829407],20.0000,4.0000,[114.50496  -32.25189    5.749117],20.0000,4.0000,[153.13643  -52.246536   6.021372],20.0000,4.0000,[ 88.08956   -48.693577    5.5809255],20.0000,4.0000,[107.10634     33.595016     0.51081616],20.0000,4.0000,[82.14539   68.96112    0.9814817],20.0000,4.0000,[137.54262    -16.940632     0.24530931],20.0000,4.0000,[110.03928    26.183659    6.1629252],20.0000,4.0000,[97.475334  -1.9060011  5.9739747],20.0000,4.0000
53,[56.447445 10.028163  6.246535],20.0000,6.0000,[57.478058  21.463104   6.2741127],20.0000,6.0000,[ 56.643333  -10.207576    0.2824808],20.0000,0.0000,[5.5401165e+01 5.5255207e+01 2.9243007e-02],20.0000,6.0000,[ 55.004898  -23.42562     0.3545701],20.0000,6.0000,[77.4579     2.1510737  6.1964073],20.0000,6.0000,[77.12327    26.374569    0.38847494],20.0000,0.0000,[ 77.039     -13.813061    6.0822673],20.0000,6.0000,[75.22733   52.512283   0.5623318],20.0000,6.0000,[ 76.229706  -33.567444    6.0543776],20.0000,0.0000,[120.504135   43.34399     6.2311754],20.0000,4.0000,[109.588974 -41.908363   6.074505],20.0000,4.0000,[160.38702   -27.98941     5.8997035],20.0000,4.0000,[ 82.00635    -10.251246     0.24821745],20.0000,4.0000,[113.33623   -64.00666     5.4931173],20.0000,4.0000,[157.6004      9.500022    6.0683665],20.0000,4.0000,[145.36665    -23.30329      0.15425216],20.0000,4.0000,[132.29181     42.34494      0.55966747],20.0000,4.0000,[105.14474   31.282133   6.18953 ],20.0000,4.0000,[90.10237    43.510426    0.54114306],20.0000,4.0000,[122.11594     3.0480726   5.946116 ],20.0000,4.0000,[123.69278  -18.89705    5.828993],20.0000,4.0000,[115.000786 -32.550434   5.748863],20.0000,4.0000,[153.69545  -52.396336   6.021372],20.0000,4.0000,[ 88.52875   -49.07051     5.5807095],20.0000,4.0000,[107.60856    33.88268     0.5111333],20.0000,4.0000,[82.46327    69.44478     0.98173356],20.0000,4.0000,[138.10303    -16.796        0.24553603],20.0000,4.0000,[110.612465   26.10277     6.1619554],20.0000,4.0000,[98.02573   -2.084968   5.9738274],20.0000,4.0000
54,[57.539158   10.012604    0.18758313],20.0000,0.0000,[58.569645   21.461706    0.20987825],20.0000,0.0000,[57.695595  -9.916995   6.2760725],20.0000,6.0000,[56.490253   55.355434    0.12278918],20.0000,6.0000,[ 56.026127   -23.040094     0.57308763],20.0000,0.0000,[7.8548340e+01 2.0909410e+00 4.1240946e-04],20.0000,6.0000,[78.14428    26.76166     0.09561662],20.0000,6.0000,[ 78.11938  -13.977981   6.173572],20.0000,6.0000,[76.16164   53.077065   0.7740074],20.0000,0.0000,[ 77.29798  -33.79282    5.782721],20.0000,6.0000,[121.08181    43.308308    6.2308426],20.0000,4.0000,[110.15983   -42.00625     6.0775704],20.0000,4.0000,[160.92073   -28.213402    5.8991485],20.0000,4.0000,[ 82.56642    -10.105383     0.24841608],20.0000,4.0000,[113.73965  -64.42167    5.492794],20.0000,4.0000,[158.15903    9.345348   6.065795],20.0000,4.0000,[145.93718    -23.205666     0.15488908],20.0000,4.0000,[132.77968    42.6563      0.5599399],20.0000,4.0000,[105.720215  31.22025    6.188999],20.0000,4.0000,[90.59098   43.82094    0.5425485],20.0000,4.0000,[122.66074     2.852739    5.9458923],20.0000,4.0000,[124.21011   -19.156588    5.8286057],20.0000,4.0000,[115.496635  -32.848938    5.7486243],20.0000,4.0000,[154.25449  -52.54613    6.021372],20.0000,4.0000,[ 88.967964  -49.44741     5.5805044],20.0000,4.0000,[108.11081     34.170296     0.51143146],20.0000,4.0000,[82.78118   69.928406   0.9819713],20.0000,4.0000,[138.66344   -16.651413    0.2457504],20.0000,4.0000,[111.18565    26.021975    6.1610723],20.0000,4.0000,[98.576126 -2.263902  5.973687],20.0000,4.0000
55,[58.614117 10.202707  6.18134 ],20.0000,6.0000,[59.642906  21.662542   6.2004366],20.0000,6.0000,[58.787437  -9.879807   0.0823539],20.0000,6.0000,[57.569195 55.52471   0.351563],20.0000,0.0000,[ 56.95874    -22.472176     0.28022605],20.0000,6.0000,[79.63989     2.099897    0.21936344],20.0000,0.0000,[79.227715   26.898542    0.18238913],20.0000,6.0000,[ 79.207054   -14.073081     0.11462092],20.0000,0.0000,[76.97918    53.80226     0.47747713],20.0000,6.0000,[ 78.2919   -34.25033    5.879493],20.0000,6.0000,[121.659485   43.272682    6.2305303],20.0000,4.0000,[110.73061  -42.104137   6.080218],20.0000,4.0000,[161.45445  -28.437319   5.898633],20.0000,4.0000,[83.12651    -9.959561    0.24860427],20.0000,4.0000,[114.14311   -64.83663     5.4924903],20.0000,4.0000,[158.71779    9.191721   6.062146],20.0000,4.0000,[146.5077     -23.108128     0.15547775],20.0000,4.0000,[133.2676     42.96761     0.5601967],20.0000,4.0000,[106.2957     31.158443    6.1885056],20.0000,4.0000,[91.07962   44.131363   0.5438095],20.0000,3.0000,[123.20557     2.65745     5.9456806],20.0000,4.0000,[124.72747   -19.416065    5.8282433],20.0000,4.0000,[115.99251   -33.1474      5.7483983],20.0000,4.0000,[154.8135   -52.69593    6.021372],20.0000,4.0000,[ 89.40721  -49.82428    5.580311],20.0000,4.0000,[108.61309     34.45786      0.51171196],20.0000,4.0000,[83.099144  70.41201    0.9821959],20.0000,4.0000,[139.22386    -16.50687      0.24595328],20.0000,4.0000,[111.758835  25.941269   6.160264],20.0000,4.0000,[99.12653   -2.4428043  5.9735537],20.0000,4.0000
56,[59.70463  10.136912  6.270905],20.0000,6.0000,[6.0733528e+01 2.1606140e+01 4.2864084e-03],20.0000,6.0000,[59.873886 -9.772969  0.303974],20.0000,0.0000,[58.59557    55.89628     0.06522892],20.0000,6.0000,[ 57.998642   -22.138758     0.36699468],20.0000,6.0000,[80.7112     2.3109045  6.209922 ],20.0000,6.0000,[80.29989    27.103416    0.40091255],20.0000,0.0000,[ 80.29301   -13.9618435   6.1083784],20.0000,6.0000,[77.942825  54.315125   0.5583428],20.0000,6.0000,[ 79.31179   -34.641483    6.1115694],20.0000,0.0000,[122.23716    43.237118    6.2302365],20.0000,4.0000,[111.30134   -42.20205     6.0825167],20.0000,4.0000,[161.9882   -28.661165   5.898154],20.0000,4.0000,[83.68661    -9.81378     0.24878268],20.0000,5.0000,[114.546616  -65.25155     5.4922047],20.0000,4.0000,[159.27654     9.038502    6.0584292],20.0000,4.0000,[147.07825    -23.010666     0.15602307],20.0000,4.0000,[133.75552   43.278877   0.560439],20.0000,4.0000,[106.87119    31.09671     6.1880465],20.0000,4.0000,[91.56676   44.444244   0.4531877],20.0000,4.0000,[123.7504      2.462203    5.9454803],20.0000,4.0000,[125.24485   -19.675488    5.8279033],20.0000,4.0000,[116.488396  -33.44582     5.7481847],20.0000,4.0000,[155.37253  -52.84573    6.021372],20.0000,4.0000,[ 89.84648   -50.20111     5.5801272],20.0000,4.0000,[109.11539    34.745377    0.5119763],20.0000,4.0000,[83.41714    70.895584    0.98240834],20.0000,4.0000,[139.78429    -16.36237      0.24614541],20.0000,4.0000,[112.33202   25.860653   6.159523],20.0000,4.0000,[99.676956  -2.621676   5.9734263],20.0000,4.0000
57,[60.796318   10.140993    0.20946799],20.0000,0.0000,[61.825035   21.618765    0.22307667],20.0000,0.0000,[ 6.0921318e+01 -9.4651356e+00  1.2900724e-02],20.0000,6.0000,[59.681335   56.020477    0.15634936],20.0000,6.0000,[ 59.015      -21.740568     0.58551425],20.0000,0.0000,[8.1802307e+01 2.2648504e+00 1.3771763e-02],20.0000,6.0000,[81.316      27.503176    0.10805411],20.0000,6.0000,[ 81.375824  -14.106957    6.1979437],20.0000,6.0000,[78.87402    54.88474     0.77245176],20.0000,0.0000,[ 80.38714  -34.828854   5.827133],20.0000,6.0000,[122.81484   43.201607   6.22996 ],20.0000,4.0000,[111.87202  -42.300007   6.084527],20.0000,4.0000,[162.52199   -28.884943    5.8977075],20.0000,4.0000,[84.24745    -9.670917    0.34071064],20.0000,5.0000,[114.95016   -65.666435    5.4919357],20.0000,4.0000,[159.83522     8.885439    6.0550084],20.0000,4.0000,[147.64879    -22.913282     0.15652929],20.0000,4.0000,[134.24348    43.590103    0.5606679],20.0000,4.0000,[107.446686   31.035048    6.1876183],20.0000,4.0000,[92.07245    44.727684    0.42071226],20.0000,4.0000,[124.29524     2.2669969   5.9452906],20.0000,4.0000,[125.76225   -19.934853    5.8275847],20.0000,4.0000,[116.984314  -33.7442      5.7479825],20.0000,4.0000,[155.93156  -52.99553    6.021372],20.0000,4.0000,[ 90.285774  -50.577915    5.5799527],20.0000,4.0000,[109.617714    35.032845     0.51222557],20.0000,4.0000,[83.73517   71.379135   0.9826094],20.0000,4.0000,[140.34473    -16.21791      0.24632753],20.0000,4.0000,[112.90522   25.780125   6.158841],20.0000,4.0000,[100.22739    -2.8005183   5.973305 ],20.0000,4.0000
58,[61.86806   10.3489275  6.2016582],20.0000,6.0000,[62.895664 21.833273  6.213547],20.0000,6.0000,[62.01226    -9.410833    0.10135652],20.0000,6.0000,[60.75587   56.21394    0.3803221],20.0000,0.0000,[ 59.940483   -21.1611       0.29265374],20.0000,6.0000,[82.89365     2.2878282   0.23256212],20.0000,0.0000,[82.39765    27.65352     0.19482645],20.0000,6.0000,[ 82.464905   -14.182467     0.13650687],20.0000,0.0000,[79.68648    55.615044    0.47746748],20.0000,6.0000,[ 81.39186   -35.25917     5.9189568],20.0000,6.0000,[123.392525   43.16615     6.2296996],20.0000,4.0000,[112.44264   -42.39802     6.0862975],20.0000,4.0000,[163.0558   -29.108654   5.897291],20.0000,4.0000,[84.80005   -9.497608   0.4662453],20.0000,5.0000,[115.35374  -66.081276   5.491682],20.0000,4.0000,[160.39384    8.732449   6.051977],20.0000,4.0000,[148.21935    -22.815973     0.15700015],20.0000,4.0000,[134.73148     43.90129      0.56088424],20.0000,4.0000,[108.02219    30.973454    6.1872187],20.0000,4.0000,[92.58535    44.998432    0.41119444],20.0000,4.0000,[124.8401      2.0718303   5.945111 ],20.0000,4.0000,[126.279686 -20.194164   5.827285],20.0000,4.0000,[117.480255 -34.042545   5.747791],20.0000,4.0000,[156.49059  -53.14533    6.021372],20.0000,4.0000,[ 90.7251    -50.95469     5.5797873],20.0000,4.0000,[110.12006    35.320274    0.5124608],20.0000,4.0000,[84.05323   71.86266    0.9827998],20.0000,4.0000,[140.90518   -16.07349     0.2465003],20.0000,4.0000,[113.47842   25.69968    6.158212],20.0000,4.0000,[100.777824  -2.979332   5.97319 ],20.0000,4.0000
59,[6.2959286e+01 1.0300398e+01 6.9886562e-03],20.0000,6.0000,[6.3986904e+01 2.1790760e+01 1.7299753e-02],20.0000,6.0000,[63.096878  -9.287254   0.3217171],20.0000,0.0000,[61.774715  56.60592    0.0907285],20.0000,6.0000,[ 60.97616    -20.81478      0.37942365],20.0000,6.0000,[83.96219   2.512481  6.223033],20.0000,6.0000,[83.4672     27.871714    0.41334975],20.0000,0.0000,[ 83.54895   -14.053212    6.1286974],20.0000,6.0000,[80.64684    56.13425     0.56080467],20.0000,6.0000,[ 82.42112  -35.62358    6.143884],20.0000,0.0000,[123.97021   43.13074    6.229454],20.0000,4.0000,[113.01322   -42.496117    6.0878677],20.0000,4.0000,[163.58961  -29.332302   5.896902],20.0000,4.0000,[85.3391    -9.281317   0.6017491],20.0000,5.0000,[115.75735   -66.496086    5.4914427],20.0000,4.0000,[160.95241    8.579511   6.049326],20.0000,4.0000,[148.7899     -22.718737     0.15743892],20.0000,4.0000,[135.21948    44.212437    0.5610889],20.0000,4.0000,[108.59769   30.911926   6.186845],20.0000,4.0000,[93.10111   45.263573   0.4110272],20.0000,4.0000,[125.38498     1.8767012   5.94494  ],20.0000,4.0000,[126.797134 -20.453426   5.827003],20.0000,4.0000,[117.97621  -34.34085    5.747609],20.0000,4.0000,[157.0496   -53.295128   6.021372],20.0000,4.0000,[ 91.164444  -51.331432    5.5796304],20.0000,4.0000,[110.62244    35.60766     0.5126832],20.0000,4.0000,[84.37133   72.34617    0.9829804],20.0000,4.0000,[141.46564    -15.929108     0.24666429],20.0000,4.0000,[114.05162   25.619318   6.157631],20.0000,4.0000,[101.32827    -3.1581187   5.9730797],20.0000,4.0000
60,[64.05072    10.321453    0.22742039],20.0000,0.0000,[65.07816    21.817238    0.23599023],20.0000,0.0000,[ 6.413973e+01 -8.964034e+00  2.989001e-02],20.0000,6.0000,[62.857708   56.749584    0.18019497],20.0000,6.0000,[ 61.987488  -20.403984    0.5979445],20.0000,0.0000,[8.5053787e+01 2.4803209e+00 2.6785295e-02],20.0000,6.0000,[84.478264   28.284079    0.12049121],20.0000,6.0000,[ 84.633736 -14.181158   6.217213],20.0000,6.0000,[81.573364  56.71136    0.7764363],20.0000,0.0000,[ 83.50039   -35.787354    5.8548903],20.0000,6.0000,[124.54789   43.095383   6.229222],20.0000,4.0000,[113.58377   -42.594288    6.0892687],20.0000,4.0000,[164.12347  -29.555887   5.896538],20.0000,4.0000,[85.85929    -9.016457    0.73614144],20.0000,5.0000,[116.160995  -66.91086     5.4912167],20.0000,4.0000,[161.51094    8.42663    6.047009],20.0000,4.0000,[149.36047    -22.621569     0.15784846],20.0000,4.0000,[135.70752    44.52355     0.5612828],20.0000,4.0000,[109.17319    30.850464    6.1864944],20.0000,4.0000,[93.61792    45.526325    0.41434234],20.0000,4.0000,[125.92986     1.6816088   5.9447784],20.0000,4.0000,[127.31461  -20.712639   5.826737],20.0000,4.0000,[118.47219  -34.639122   5.747437],20.0000,4.0000,[157.60864  -53.444927   6.021372],20.0000,4.0000,[ 91.60381  -51.708145   5.579481],20.0000,3.0000,[111.124825    35.895        0.51289356],20.0000,4.0000,[84.68947   72.82964    0.9831517],20.0000,4.0000,[142.02611    -15.784761     0.24682006],20.0000,4.0000,[114.624825  25.539036   6.157092],20.0000,4.0000,[101.87872   -3.336879   5.972975],20.0000,4.0000
61,[65.11933  10.545236  6.21882 ],20.0000,6.0000,[66.145996  22.045254   6.2264066],20.0000,6.0000,[65.22968    -8.894034    0.11771873],20.0000,6.0000,[63.92852    56.96204     0.40181497],20.0000,0.0000,[ 62.905693   -19.813053     0.30508468],20.0000,6.0000,[86.144745    2.5171487   0.24547581],20.0000,0.0000,[85.55796    28.447865    0.20726347],20.0000,6.0000,[ 85.7238     -14.239718     0.15445985],20.0000,0.0000,[82.37903    57.448837    0.48221543],20.0000,6.0000,[ 84.51269   -36.19833     5.9447007],20.0000,6.0000,[125.12557    43.060074    6.2290025],20.0000,4.0000,[114.154274  -42.692543    6.0905256],20.0000,4.0000,[164.65735   -29.779415    5.8961964],20.0000,4.0000,[86.354195   -8.700726    0.86313134],20.0000,5.0000,[116.564674 -67.3256     5.491003],20.0000,4.0000,[162.06943    8.273817   6.044978],20.0000,4.0000,[149.93106    -22.524466     0.15823135],20.0000,4.0000,[136.19557    44.83462     0.5614666],20.0000,4.0000,[109.7487     30.789062    6.1861653],20.0000,4.0000,[94.13504   45.788105   0.4186262],20.0000,4.0000,[126.474754    1.4865513   5.9446244],20.0000,4.0000,[127.83211   -20.971804    5.8264866],20.0000,4.0000,[118.96819   -34.937363    5.7472734],20.0000,4.0000,[158.16766  -53.594727   6.021372],20.0000,4.0000,[ 92.04513   -52.08257     5.4875803],20.0000,4.0000,[111.62724     36.182304     0.51309264],20.0000,4.0000,[85.00763   73.3131     0.9833143],20.0000,4.0000,[142.58658    -15.6404505    0.24696814],20.0000,4.0000,[115.19804    25.458828    6.1565914],20.0000,4.0000,[102.429184  -3.515614   5.972874],20.0000,4.0000
62,[6.6211037e+01 1.0512509e+01 2.3501040e-02],20.0000,6.0000,[6.7237679e+01 2.2016516e+01 3.0097911e-02],20.0000,6.0000,[66.31241   -8.755064   0.3373586],20.0000,0.0000,[64.94087    57.370724    0.11074162],20.0000,6.0000,[ 63.93698   -19.453882    0.3918554],20.0000,6.0000,[87.21037    2.7552836  6.2358923],20.0000,6.0000,[86.62471    28.679342    0.42578664],20.0000,0.0000,[ 86.805885  -14.094429    6.1458597],20.0000,6.0000,[83.3348     57.97665     0.56688386],20.0000,6.0000,[ 85.54843   -36.5434      6.1667724],20.0000,0.0000,[125.703255  43.02481    6.228795],20.0000,4.0000,[114.72475   -42.790886    6.0916586],20.0000,4.0000,[165.19124  -30.002886   5.895876],20.0000,4.0000,[86.81695    -8.334966    0.97986895],20.0000,5.0000,[116.96838   -67.74031     5.4908004],20.0000,4.0000,[162.62791     8.12108     6.0431876],20.0000,4.0000,[150.50165    -22.42743      0.15858985],20.0000,4.0000,[136.68364    45.14566     0.5616408],20.0000,4.0000,[110.32421   30.727718   6.185857],20.0000,4.0000,[94.652176   46.049522    0.42285886],20.0000,4.0000,[127.01966     1.2915275   5.944478 ],20.0000,4.0000,[128.34962  -21.230923   5.82625 ],20.0000,4.0000,[119.46421  -35.23557    5.747118],20.0000,4.0000,[158.72668  -53.744522   6.021372],20.0000,4.0000,[ 92.46356   -52.482834    5.4538274],20.0000,4.0000,[112.12968    36.469574    0.5132812],20.0000,4.0000,[85.32583   73.79654    0.9834687],20.0000,4.0000,[143.14706    -15.496172     0.24710897],20.0000,4.0000,[115.771255  25.378696   6.156126],20.0000,4.0000,[102.97965    -3.6943247   5.972779 ],20.0000,4.0000
63,[67.30203    10.549141    0.24318254],20.0000,0.0000,[68.328514   22.056738    0.24872606],20.0000,0.0000,[ 6.7350754e+01 -8.4174862e+00  4.5115903e-02],20.0000,6.0000,[66.02129    57.531334    0.19919737],20.0000,6.0000,[ 64.94312   -19.030544    0.6103771],20.0000,0.0000,[8.8302277e+01 2.7369027e+00 3.9583571e-02],20.0000,6.0000,[87.63057    29.104248    0.13292807],20.0000,6.0000,[ 87.8923   -14.206648   6.233726],20.0000,6.0000,[84.2557    58.562687   0.7835032],20.0000,6.0000,[ 86.630424 -36.688732   5.875975],20.0000,6.0000,[126.280945   42.98959     6.2285986],20.0000,4.0000,[115.29519  -42.88932    6.092685],20.0000,4.0000,[165.72514   -30.226301    5.8955746],20.0000,4.0000,[87.24153   -7.922888   1.0866269],20.0000,5.0000,[117.37212   -68.15498     5.4906087],20.0000,4.0000,[163.18639     7.968429    6.0415993],20.0000,4.0000,[151.07224    -22.330454     0.15892598],20.0000,4.0000,[137.17174     45.456665     0.56180626],20.0000,4.0000,[110.89973    30.666433    6.1855664],20.0000,4.0000,[95.16924    46.31081     0.42668873],20.0000,4.0000,[127.56458     1.0965363   5.944339 ],20.0000,4.0000,[128.86717   -21.49        5.8260264],20.0000,4.0000,[119.96024   -35.533745    5.7469707],20.0000,4.0000,[159.28572  -53.89432    6.021372],20.0000,4.0000,[ 92.87251  -52.89309    5.442059],20.0000,4.0000,[112.63213     36.756805     0.51346004],20.0000,4.0000,[85.64405   74.27995    0.9836156],20.0000,4.0000,[143.70755    -15.351927     0.24724299],20.0000,4.0000,[116.34448   25.298635   6.155692],20.0000,4.0000,[103.53013    -3.8730118   5.9726872],20.0000,4.0000
64,[68.36749  10.787696  6.234149],20.0000,6.0000,[69.39341  22.29815   6.239109],20.0000,6.0000,[68.43958    -8.332624    0.13255228],20.0000,6.0000,[67.08865    57.76027     0.41955787],20.0000,6.0000,[ 65.85391    -18.428242     0.31751767],20.0000,6.0000,[89.392685    2.78747     0.25821176],20.0000,0.0000,[88.708145   29.281448    0.21970026],20.0000,6.0000,[ 88.98306    -14.249642     0.17022233],20.0000,0.0000,[85.0662   59.295727  1.040251],20.0000,0.0000,[ 87.64903  -37.083233   5.964638],20.0000,6.0000,[126.858635  42.954414   6.228412],20.0000,4.0000,[115.8656    -42.987843    6.0936184],20.0000,4.0000,[166.25908   -30.449665    5.8952913],20.0000,4.0000,[87.623566  -7.4699     1.1857479],20.0000,5.0000,[117.775894 -68.56963    5.490427],20.0000,4.0000,[163.74484    7.815867   6.040183],20.0000,4.0000,[151.64284    -22.233538     0.15924157],20.0000,4.0000,[137.65985    45.76764     0.5619633],20.0000,4.0000,[111.47525   30.605202   6.185293],20.0000,4.0000,[95.68623    46.57204     0.43004262],20.0000,4.0000,[128.10951     0.9015762   5.944206 ],20.0000,4.0000,[129.38474  -21.749033   5.825815],20.0000,4.0000,[120.45629 -35.83189   5.74683],20.0000,4.0000,[159.84474  -54.04412    6.021372],20.0000,4.0000,[ 93.27732  -53.307495   5.439197],20.0000,3.0000,[113.134605    37.044        0.51362973],20.0000,4.0000,[85.9623     74.76335     0.98375523],20.0000,4.0000,[144.26805   -15.207713    0.2473706],20.0000,4.0000,[116.91771   25.218643   6.155287],20.0000,4.0000,[104.08061    -4.0516763   5.9725995],20.0000,4.0000
65,[6.9459488e+01 1.0769918e+01 3.8423304e-02],20.0000,6.0000,[7.0485367e+01 2.2283115e+01 4.2761534e-02],20.0000,6.0000,[69.52032   -8.179042   0.3517636],20.0000,0.0000,[68.10221   58.16753    0.6782826],20.0000,0.0000,[ 66.88065   -18.056274    0.4042889],20.0000,6.0000,[90.45524    3.038971   6.2485948],20.0000,6.0000,[89.77193   29.526175   0.4382234],20.0000,0.0000,[ 90.06308   -14.089389    6.1611886],20.0000,6.0000,[85.69827    60.190445    0.75096107],20.0000,6.0000,[ 88.69005  -37.411804   6.185247],20.0000,0.0000,[127.436325   42.919277    6.2282357],20.0000,4.0000,[116.43599  -43.086452   6.09447 ],20.0000,4.0000,[166.79303  -30.672977   5.895025],20.0000,4.0000,[87.9601    -6.981818   1.2801691],20.0000,5.0000,[118.17969  -68.98425    5.490255],20.0000,4.0000,[164.30331     7.6633973   6.0389123],20.0000,4.0000,[152.21344    -22.136679     0.15953824],20.0000,4.0000,[138.14798    46.07858     0.5621126],20.0000,4.0000,[112.05077    30.544024    6.1850357],20.0000,4.0000,[96.203156   46.833233    0.43295074],20.0000,4.0000,[128.65445     0.7066463   5.9440804],20.0000,4.0000,[129.90231  -22.008026   5.825615],20.0000,4.0000,[120.95236   -36.130005    5.7466965],20.0000,4.0000,[160.40376  -54.19392    6.021372],20.0000,4.0000,[ 93.68251  -53.721664   5.348116],20.0000,4.0000,[113.63709     37.33116      0.51379085],20.0000,4.0000,[86.28059   75.246735   0.9838882],20.0000,4.0000,[144.82855    -15.063528     0.24749218],20.0000,4.0000,[117.490944  25.138718   6.154908],20.0000,4.0000,[104.6311    -4.230319   5.972516],20.0000,4.0000
66,[70.54987   10.821329   0.2576597],20.0000,0.0000,[71.57561    22.337011    0.26135063],20.0000,0.0000,[ 7.0554131e+01 -7.8277211e+00  5.9280217e-02],20.0000,6.0000,[69.00407    58.788006    0.39191204],20.0000,6.0000,[ 67.881454  -17.620459    0.6228111],20.0000,0.0000,[9.1547287e+01 3.0342972e+00 5.2247267e-02],20.0000,6.0000,[90.77243    29.963558    0.14536478],20.0000,6.0000,[ 91.15087   -14.18672     6.2486486],20.0000,6.0000,[86.51024   60.92025    0.8208569],20.0000,0.0000,[ 89.77418   -37.540867    5.8935657],20.0000,6.0000,[128.01402    42.884182    6.2280684],20.0000,4.0000,[117.00635  -43.185146   6.09525 ],20.0000,4.0000,[167.327    -30.89624    5.894773],20.0000,4.0000,[88.249     -6.4641476  1.3723296],20.0000,5.0000,[118.58351   -69.39884     5.4900913],20.0000,4.0000,[164.86179     7.511021    6.0377674],20.0000,4.0000,[152.78406    -22.039875     0.15981746],20.0000,4.0000,[138.63614     46.389492     0.56225467],20.0000,4.0000,[112.626305   30.482897    6.1847925],20.0000,4.0000,[96.72003   47.094376   0.4354732],20.0000,4.0000,[129.1994      0.5117454   5.94396  ],20.0000,4.0000,[130.4199    -22.266981    5.8254256],20.0000,4.0000,[121.44845  -36.428093   5.746569],20.0000,4.0000,[160.9628   -54.34372    6.021372],20.0000,4.0000,[ 94.06195   -54.16093     5.3167334],20.0000,4.0000,[114.1396     37.618294    0.5139439],20.0000,4.0000,[86.59889   75.730095   0.9840148],20.0000,5.0000,[145.38907    -14.9193735    0.24760808],20.0000,4.0000,[118.064186   25.058857    6.1545534],20.0000,4.0000,[105.1816    -4.408941   5.972436],20.0000,4.0000
