step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3
13,[13.644707    3.3194537   0.16787593],20.0000,6.0000,[14.055131  20.9136     0.2055231],20.0000,0.0000,[ 13.457708   -16.084797     0.14436866],20.0000,6.0000,[13.978483   41.891273    0.29896244],20.0000,0.0000,[ 13.114819  -35.011467    0.2926397],20.0000,6.0000,[181.49458  -35.420826   5.287119],20.0000,4.0000,[104.81291   -27.409454    0.3230441],20.0000,3.0000,[106.33153   -11.830723    0.8483258],20.0000,3.0000
14,[14.718933   3.5135338  0.3878078],20.0000,0.0000,[15.127995  21.115818   6.1973476],20.0000,6.0000,[ 14.534322   -15.903102     0.36842927],20.0000,0.0000,[1.5029855e+01 4.2186043e+01 6.1911363e-03],20.0000,6.0000,[ 14.155033  -34.680206    0.3750878],20.0000,6.0000,[181.80972  -35.907417   5.287119],20.0000,4.0000,[105.34095    -27.16056      0.24975052],20.0000,4.0000,[106.59032    -11.286031     0.77617097],20.0000,3.0000
15,[15.738601    3.9038587   0.09573634],20.0000,6.0000,[1.6218891e+01 2.1061296e+01 2.3928331e-03],20.0000,6.0000,[ 15.557391   -15.5223255    0.07901467],20.0000,6.0000,[16.121181   42.226063    0.09306747],20.0000,6.0000,[ 15.173045  -34.286278    0.5901352],20.0000,0.0000,[182.12471  -36.39375    5.287119],20.0000,4.0000,[105.883606  -26.943716    0.2329294],20.0000,4.0000,[106.90036   -10.774763    0.7134398],20.0000,3.0000
16,[16.821674    4.0444527   0.18334264],20.0000,6.0000,[17.31041    21.076263    0.22249052],20.0000,0.0000,[ 16.64192   -15.39047     0.1686293],20.0000,6.0000,[17.207325   42.334854    0.31169617],20.0000,0.0000,[ 16.102541   -33.712543     0.29563943],20.0000,6.0000,[182.43958  -36.879898   5.287119],20.0000,4.0000,[106.43086    -26.741272     0.23904377],20.0000,4.0000,[107.25038    -10.294117     0.64273584],20.0000,3.0000
17,[17.893105    4.2533236   0.40273866],20.0000,0.0000,[18.380318 21.293875  6.213696],20.0000,6.0000,[ 17.714996   -15.189686     0.39048073],20.0000,0.0000,[1.8254917e+01 4.2642799e+01 1.8894231e-02],20.0000,6.0000,[ 17.140142   -33.372864     0.37981755],20.0000,6.0000,[182.75435  -37.36593    5.287119],20.0000,4.0000,[106.97882    -26.544086     0.25242668],20.0000,4.0000,[107.63756    -9.845088    0.5618307],20.0000,3.0000
18,[18.907454    4.6573677   0.11035857],20.0000,6.0000,[1.9471790e+01 2.1254772e+01 1.8199524e-02],20.0000,6.0000,[ 18.73168    -14.791929     0.09955429],20.0000,6.0000,[19.34565    42.696514    0.10573261],20.0000,6.0000,[ 18.15452   -32.96971     0.5960554],20.0000,0.0000,[183.06908  -37.851875   5.287119],20.0000,4.0000,[107.52616   -26.348032    0.2662431],20.0000,4.0000,[108.06105    -9.431062    0.4737278],20.0000,3.0000
19,[19.988504    4.8124385   0.19765642],20.0000,6.0000,[20.562973   21.284964    0.23768485],20.0000,0.0000,[ 19.813778   -14.642885     0.18812455],20.0000,6.0000,[20.430342   42.818913    0.32432234],20.0000,0.0000,[ 19.078188  -32.38693     0.3020975],20.0000,6.0000,[183.38377  -38.337765   5.287119],20.0000,4.0000,[108.07263    -26.151594     0.27813882],20.0000,4.0000,[108.519394    -9.056164     0.38183597],20.0000,3.0000
20,[21.057056    5.0355115   0.41672045],20.0000,0.0000,[21.629864 21.517105  6.22854 ],20.0000,6.0000,[ 20.88352  -14.425344   0.408623],20.0000,0.0000,[2.1474001e+01 4.3139946e+01 3.1499363e-02],20.0000,6.0000,[ 20.112503   -32.037117     0.38725197],20.0000,0.0000,[183.69844  -38.823616   5.287119],20.0000,4.0000,[108.61832    -25.954432     0.28773737],20.0000,3.0000,[109.009926    -8.724343     0.28851214],20.0000,4.0000
21,[22.066057    5.452795    0.12415552],20.0000,6.0000,[22.721714   21.492722    0.03270354],20.0000,0.0000,[ 21.894236   -14.01248      0.11687705],20.0000,6.0000,[22.563974   43.207302    0.11831323],20.0000,0.0000,[ 21.115957   -31.607069     0.05372224],20.0000,6.0000,[184.01309  -39.30944    5.287119],20.0000,4.0000,[109.16257    -25.753778     0.20358407],20.0000,4.0000,[109.52985     -8.441833     0.28676462],20.0000,4.0000
22,[23.14497     5.621932    0.21125855],20.0000,0.0000,[23.811804  21.555311   5.9844546],20.0000,6.0000,[ 22.973944   -13.847732     0.20477822],20.0000,0.0000,[23.644947  43.36096    6.0695114],20.0000,6.0000,[ 22.20122    -31.460764     0.13485287],20.0000,6.0000,[184.32773  -39.795246   5.287119],20.0000,4.0000,[109.71883    -25.585495     0.17613319],20.0000,4.0000,[110.05596     -8.179616     0.31728387],20.0000,4.0000
23,[24.206799  5.876265  6.162752],20.0000,6.0000,[24.882774  21.324213   6.0669546],20.0000,6.0000,[ 24.036804  -13.597422    6.1571326],20.0000,6.0000,[24.731337 43.220097  6.15164 ],20.0000,6.0000,[ 23.275614  -31.260582    0.3655427],20.0000,0.0000,[184.64236  -40.28104    5.287119],20.0000,4.0000,[110.27933   -25.431683    0.1719829],20.0000,4.0000,[110.58036     -7.921419     0.35138896],20.0000,4.0000
24,[25.301687   5.8380294  6.245078 ],20.0000,6.0000,[2.5961477e+01 2.1147236e+01 1.7382864e-02],20.0000,0.0000,[ 25.13177  -13.639386   6.240044],20.0000,6.0000,[25.820992   43.13386     0.10131513],20.0000,0.0000,[ 24.291313  -30.860645    0.0836138],20.0000,6.0000,[184.95699  -40.766823   5.287119],20.0000,4.0000,[110.84111    -25.283998     0.17689238],20.0000,4.0000,[111.1014     -7.6611876   0.3790371],20.0000,3.0000
25,[26.39466     5.854456    0.19515686],20.0000,0.0000,[27.052628  21.179829   6.0206704],20.0000,6.0000,[ 26.224884   -13.626753     0.19127981],20.0000,0.0000,[26.905647 43.257053  6.104087],20.0000,6.0000,[ 25.373499   -30.703217     0.17661873],20.0000,6.0000,[185.2716   -41.2526     5.287119],20.0000,4.0000,[111.40305    -25.138565     0.18450287],20.0000,4.0000,[111.61842     -7.395154     0.30742142],20.0000,4.0000
26,[27.46292    6.079148   6.1982055],20.0000,6.0000,[28.124691  20.963192   6.1144276],20.0000,6.0000,[ 27.293789 -13.40509    6.195115],20.0000,6.0000,[27.991926  43.12991    6.1976523],20.0000,6.0000,[ 26.442015   -30.477499     0.40467575],20.0000,0.0000,[185.58623  -41.738377   5.287119],20.0000,4.0000,[111.96477    -24.993715     0.19215502],20.0000,4.0000,[112.150314    -7.157872     0.28795996],20.0000,4.0000
27,[2.8556366e+01 6.0549774e+00 8.6886752e-03],20.0000,6.0000,[29.20684    20.81568     0.06028011],20.0000,0.0000,[ 2.8387234e+01 -1.3431770e+01  5.8903401e-03],20.0000,6.0000,[29.082556   43.072426    0.14326504],20.0000,0.0000,[ 27.44763    -30.05293      0.11789232],20.0000,6.0000,[185.90083  -42.22415    5.287119],20.0000,4.0000,[112.526184   -24.84883      0.19893233],20.0000,4.0000,[112.687515    -6.933657     0.28996027],20.0000,4.0000
28,[29.647564    6.1005974   0.23761642],20.0000,0.0000,[30.296667  20.877203   6.0572944],20.0000,6.0000,[ 29.478552   -13.388558     0.23517594],20.0000,0.0000,[30.163578  43.223747   6.1401315],20.0000,6.0000,[ 28.525457   -29.872625     0.20882563],20.0000,6.0000,[186.21545  -42.70992    5.287119],20.0000,4.0000,[113.08733   -24.703749    0.2046622],20.0000,4.0000,[113.22613     -6.7146225    0.29947355],20.0000,4.0000
29,[30.70948   6.353264  6.234563],20.0000,6.0000,[31.372463  20.68483    6.1484804],20.0000,6.0000,[ 30.54097   -13.138018    6.2323413],20.0000,6.0000,[31.251564 43.120777  6.231258],20.0000,6.0000,[ 29.588512   -29.623762     0.43253034],20.0000,0.0000,[186.53006  -43.19569    5.287119],20.0000,4.0000,[113.64827    -24.558485     0.20944093],20.0000,4.0000,[113.76468     -6.497126     0.31032714],20.0000,4.0000
30,[31.802336   6.353488   0.0425364],20.0000,6.0000,[32.457355   20.562042    0.08936142],20.0000,0.0000,[ 31.633842   -13.139821     0.04040238],20.0000,6.0000,[32.34288    43.08789     0.17205411],20.0000,0.0000,[ 30.585754   -29.17967      0.14276671],20.0000,6.0000,[186.84468  -43.681458   5.287119],20.0000,4.0000,[114.20905    -24.413097     0.21343225],20.0000,4.0000,[114.30274     -6.279706     0.32016572],20.0000,4.0000
31,[32.891884    6.4238067   0.26656404],20.0000,0.0000,[33.545807  20.645468   6.0830126],20.0000,6.0000,[ 32.723526   -13.071507     0.26455402],20.0000,0.0000,[33.420753  43.260757   6.1656513],20.0000,6.0000,[ 31.659878   -28.980354     0.23212932],20.0000,6.0000,[187.1593   -44.167225   5.287119],20.0000,4.0000,[114.769714   -24.267647     0.21679308],20.0000,4.0000,[114.84026     -6.061923     0.32839453],20.0000,4.0000
32,[33.94861    6.6977143  6.2601905],20.0000,6.0000,[34.624535  20.472645   6.1725144],20.0000,6.0000,[ 33.780727  -12.799472    6.2582593],20.0000,6.0000,[34.510048 43.177414  6.255121],20.0000,6.0000,[ 32.71831    -28.712992     0.45361483],20.0000,0.0000,[187.4739   -44.652992   5.287119],20.0000,4.0000,[115.33029    -24.122185     0.21965286],20.0000,4.0000,[115.37735    -5.8437443   0.3350945],20.0000,3.0000
33,[35.04091     6.7176557   0.06649267],20.0000,6.0000,[35.711315   20.369225    0.11099567],20.0000,0.0000,[ 34.87307    -12.781419     0.06460813],20.0000,6.0000,[35.60165    43.163895    0.19356023],20.0000,0.0000,[ 33.708298  -28.252748    0.1624596],20.0000,6.0000,[187.78851  -45.13876    5.287119],20.0000,4.0000,[115.89082    -23.976746     0.22211252],20.0000,3.0000,[115.913124    -5.622456     0.24877742],20.0000,4.0000
