step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1
27,[-41.56317    19.470001    3.9648645],20.0000,6.0000,[-41.56317    -0.5299981   3.9648645],20.0000,6.0000,[-22.58841    -3.4794042   5.7535768],20.0000,3.0000,[-42.672775 -31.883814   4.78566 ],20.0000,4.0000
28,[-42.266357  18.633446   4.242568],20.0000,6.0000,[-42.266357   -1.3665537   4.242568 ],20.0000,6.0000,[-21.629227   -4.0015273   5.610344 ],20.0000,3.0000,[-42.600204 -32.458797   4.791295],20.0000,4.0000
29,[-42.77809   17.669077   4.52389 ],20.0000,6.0000,[-42.77809    -2.3309221   4.52389  ],20.0000,6.0000,[-20.735348  -4.631317   5.470712],20.0000,3.0000,[-42.52736  -33.033596   4.795893],20.0000,4.0000
30,[-43.068005  16.613146   4.796988],20.0000,6.0000,[-43.068005   -3.3868537   4.796988 ],20.0000,6.0000,[-19.919302   -5.3618417   5.33867  ],20.0000,3.0000,[-42.454357 -33.60826    4.799697],20.0000,4.0000
31,[-43.117393   15.513488    5.0526347],20.0000,6.0000,[-43.117393   -4.4865127   5.0526347],20.0000,3.0000,[-19.191425  -6.182513   5.217147],20.0000,3.0000,[-42.38128  -34.182827   4.802891],20.0000,4.0000
32,[-42.920135   14.425385    5.2783666],20.0000,6.0000,[-42.911728  -5.571639   5.003091],20.0000,3.0000,[-18.55823    -7.0797477   5.1065154],20.0000,3.0000,[-42.30819   -34.75732     4.8056097],20.0000,4.0000
33,[-42.49629   13.401447   5.473904],20.0000,6.0000,[-42.71205   -6.651257   4.834743],20.0000,3.0000,[-18.022503  -8.039135   5.004805],20.0000,3.0000,[-42.235123 -35.331764   4.807952],20.0000,4.0000
34,[-41.882114   12.478861    5.6505795],20.0000,6.0000,[-42.63796   -7.741921   4.653315],20.0000,3.0000,[-17.584875   -9.047332    4.9089913],20.0000,3.0000,[-42.16211  -35.906166   4.809992],20.0000,4.0000
35,[-41.113018   11.68176     5.8210745],20.0000,6.0000,[-42.714333   -8.830864    4.4896717],20.0000,3.0000,[-17.245481  -10.092728    4.8162804],20.0000,3.0000,[-42.089165  -36.48054     4.8117843],20.0000,4.0000
36,[-40.218254   11.02987     5.9926143],20.0000,6.0000,[-42.930077  -9.901199   4.339835],20.0000,3.0000,[-17.004831 -11.165106   4.724747],20.0000,3.0000,[-42.016304  -37.054893    4.8133717],20.0000,4.0000
37,[-39.224857   10.541913    6.1670446],20.0000,3.0000,[-43.272633 -10.939275   4.196994],20.0000,3.0000,[-16.863804 -12.254999   4.633361],20.0000,3.0000,[-41.943527  -37.62923     4.8147864],20.0000,4.0000
38,[-38.160786  10.242898   6.068299],20.0000,3.0000,[-43.735825 -11.931411   4.062441],20.0000,3.0000,[-16.823261 -13.35318    4.541725],20.0000,3.0000,[-41.870842 -38.20356    4.816055],20.0000,4.0000
39,[-37.11792     9.902093    5.8780484],20.0000,3.0000,[-44.311893 -12.864628   3.93865 ],20.0000,3.0000,[-16.883623 -14.450422   4.449784],20.0000,3.0000,[-41.798252 -38.777878   4.817198],20.0000,4.0000
40,[-36.134094    9.426711    5.6932583],20.0000,3.0000,[-44.98961   -13.728535    3.8261573],20.0000,6.0000,[-17.044567  -15.537461    4.3576145],20.0000,3.0000,[-41.725754  -39.352196    4.8182325],20.0000,4.0000
41,[-35.228367    8.817485    5.5311346],20.0000,3.0000,[-45.761402  -14.509212    3.9984374],20.0000,6.0000,[-17.3049    -16.605066    4.2653155],20.0000,3.0000,[-41.65335   -39.92651     4.8191733],20.0000,4.0000
42,[-34.407505    8.097155    5.3823943],20.0000,3.0000,[-46.434822  -15.370018    4.2722144],20.0000,6.0000,[-17.66251   -17.644136    4.1729608],20.0000,3.0000,[-41.58104   -40.50082     4.8200316],20.0000,4.0000
43,[-33.677597    7.2828245   5.2411146],20.0000,3.0000,[-46.915565  -16.350157    4.5529265],20.0000,6.0000,[-18.114407 -18.645811   4.080594],20.0000,3.0000,[-41.50882   -41.075134    4.8208175],20.0000,4.0000
44,[-33.04757    6.386715   5.109052],20.0000,3.0000,[-47.17234  -17.41444    4.826101],20.0000,6.0000,[-18.656752  -19.601543    3.9882329],20.0000,3.0000,[-41.436687 -41.64945    4.821539],20.0000,4.0000
45,[-32.52423     5.4224825   4.988226 ],20.0000,3.0000,[-47.187866  -18.514862    5.0826054],20.0000,6.0000,[-19.284927  -20.50319     3.8958821],20.0000,3.0000,[-41.36464  -42.223766   4.822203],20.0000,4.0000
46,[-32.110283   4.405214   4.878467],20.0000,3.0000,[-46.95717   -19.596207    5.3095956],20.0000,6.0000,[-19.99357  -21.343065   3.80354 ],20.0000,3.0000,[-41.29268   -42.798088    4.8228164],20.0000,4.0000
47,[-31.80488     3.3496244   4.777486 ],20.0000,3.0000,[-46.50134   -20.60626     5.5061703],20.0000,6.0000,[-20.77664   -22.11402     3.7112033],20.0000,3.0000,[-41.220795  -43.372414    4.8233833],20.0000,4.0000
48,[-31.605574   2.268747   4.682143],20.0000,3.0000,[-45.857788 -21.508623   5.683349],20.0000,6.0000,[-21.627459 -22.809488   3.618869],20.0000,3.0000,[-41.148994  -43.946743    4.8239098],20.0000,4.0000
49,[-31.509993    1.1738029   4.58967  ],20.0000,3.0000,[-45.06308  -22.280237   5.853923],20.0000,6.0000,[-22.538778  -23.423544    3.5265357],20.0000,3.0000,[-41.077267  -44.521076    4.8243985],20.0000,4.0000
50,[-31.516481    0.0747789   4.498219 ],20.0000,3.0000,[-44.147434 -22.902487   6.025364],20.0000,6.0000,[-23.502834  -23.950956    3.4342022],20.0000,3.0000,[-41.005615  -45.095417    4.8248534],20.0000,4.0000
51,[-31.62389    -1.0189334   4.4068365],20.0000,3.0000,[-43.138603  -23.35769     6.1996856],20.0000,3.0000,[-24.511412  -24.387236    3.3418684],20.0000,3.0000,[-40.934032 -45.669758   4.825278],20.0000,4.0000
52,[-31.83106   -2.098154   4.315176],20.0000,3.0000,[-42.065342 -23.621817   6.10088 ],20.0000,3.0000,[-25.55592   -24.728662    3.2495344],20.0000,6.0000,[-40.86252   -46.244106    4.8256745],20.0000,4.0000
53,[-32.136353   -3.153793    4.2232084],20.0000,3.0000,[-41.011925  -23.928453    5.9106107],20.0000,3.0000,[-26.62842  -24.963463   3.432476],20.0000,6.0000,[-40.79107   -46.818462    4.8260455],20.0000,4.0000
54,[-32.537388   -4.176891    4.1310205],20.0000,3.0000,[-40.013138  -24.37154     5.7258215],20.0000,3.0000,[-27.658913  -25.327303    3.7101796],20.0000,6.0000,[-40.71968  -47.39282    4.826393],20.0000,4.0000
55,[-33.03091    -5.1587176   4.0387115],20.0000,3.0000,[-39.08805  -24.950943   5.563702],20.0000,3.0000,[-28.589325  -25.898449    3.9915016],20.0000,6.0000,[-40.648357  -47.967182    4.8267193],20.0000,4.0000
56,[-33.612827   -6.090882    3.9463532],20.0000,3.0000,[-38.24416   -25.644156    5.4149632],20.0000,3.0000,[-29.3751  -26.66108   4.2646 ],20.0000,6.0000,[-40.57709   -48.54155     4.8270254],20.0000,4.0000
57,[-34.278217   -6.9654193   3.8539853],20.0000,3.0000,[-37.488113 -26.434278   5.273686],20.0000,3.0000,[-29.975828  -27.583473    4.5202465],20.0000,6.0000,[-40.505882  -49.115925    4.8273134],20.0000,4.0000
58,[-35.021427   -7.7748675   3.761625 ],20.0000,3.0000,[-36.82923  -27.309391   5.141627],20.0000,3.0000,[-30.358185  -28.621105    4.7459784],20.0000,6.0000,[-40.43473   -49.690304    4.8275847],20.0000,4.0000
59,[-35.836117  -8.512328   3.669275],20.0000,6.0000,[-36.27476  -28.256065   5.020805],20.0000,3.0000,[-30.512745  -29.718468    4.9415154],20.0000,6.0000,[-40.36363  -50.264687   4.827841],20.0000,3.0000
60,[-36.71983    -9.163816    3.8522098],20.0000,6.0000,[-35.827896  -29.25931     4.9110494],20.0000,3.0000,[-30.45187   -30.825117    5.1181912],20.0000,6.0000,[-40.289623  -50.83873     4.7363234],20.0000,4.0000
61,[-37.5126    -9.916021   4.129912],20.0000,6.0000,[-35.488266  -30.30439     4.8100705],20.0000,3.0000,[-30.193823  -31.902285    5.2886863],20.0000,6.0000,[-40.25005  -51.4167     4.702979],20.0000,4.0000
62,[-38.129498 -10.81675    4.411234],20.0000,6.0000,[-35.253853 -31.3782     4.71473 ],20.0000,3.0000,[-29.75379  -32.918125   5.460226],20.0000,6.0000,[-40.224617 -51.995712   4.692106],20.0000,4.0000
63,[-38.536278  -11.833397    4.6843324],20.0000,6.0000,[-35.122646 -32.469448   4.622257],20.0000,3.0000,[-29.145567 -33.84279    5.634656],20.0000,6.0000,[-40.205276 -52.57497    4.690391],20.0000,4.0000
64,[-38.708973  -12.920533    4.9399796],20.0000,6.0000,[-35.093323  -33.5681      4.5308065],20.0000,3.0000,[-28.385927  -34.64764     5.8111863],20.0000,6.0000,[-40.188534 -53.15423    4.692234],20.0000,4.0000
65,[-38.635284 -14.023913   5.165713],20.0000,6.0000,[-35.165043  -34.664734    4.4394236],20.0000,3.0000,[-27.496897 -35.306866   5.988557],20.0000,6.0000,[-40.17288   -53.73341     4.6952443],20.0000,4.0000
66,[-38.329235 -15.089007   5.361251],20.0000,6.0000,[-35.33694  -35.75013    4.347763],20.0000,3.0000,[-26.505608  -35.79924     6.1659517],20.0000,6.0000,[-40.157658  -54.312504    4.6984315],20.0000,4.0000
67,[-37.822662 -16.07479    5.537927],20.0000,6.0000,[-35.607677  -36.815155    4.2557955],20.0000,3.0000,[-25.443012   -36.10917      0.05990434],20.0000,6.0000,[-40.142616  -54.891518    4.7014236],20.0000,4.0000
68,[-37.14805  -16.953295   5.708422],20.0000,6.0000,[-35.975163  -37.850777    4.1636076],20.0000,3.0000,[-24.342426   -36.227062     0.23681267],20.0000,3.0000,[-40.127666  -55.470467    4.7041097],20.0000,4.0000
69,[-36.332237  -17.701637    5.8799615],20.0000,6.0000,[-36.43644  -38.84816    4.071298],20.0000,3.0000,[-23.240368   -36.14074      0.13833366],20.0000,3.0000,[-40.112778 -56.04936    4.706483],20.0000,4.0000
70,[-35.39999  -18.298174   6.054392],20.0000,6.0000,[-36.987675 -39.79879    3.97894 ],20.0000,3.0000,[-22.14391   -36.100346    6.2307167],20.0000,3.0000,[-40.097958 -56.628204   4.708574],20.0000,4.0000
71,[-34.3783   -18.723593   6.230922],20.0000,6.0000,[-37.624218  -40.694542    3.8865721],20.0000,3.0000,[-21.056452  -36.206947    6.0454817],20.0000,3.0000,[-40.083206  -57.207012    4.7104187],20.0000,4.0000
72,[-33.297794   -18.963299     0.12510708],20.0000,6.0000,[-38.34066   -41.527775    3.7942116],20.0000,3.0000,[-19.996191  -36.46645     5.8831553],20.0000,3.0000,[-40.068535 -57.785793   4.712055],20.0000,4.0000
73,[-32.1919    -19.008963    0.3025023],20.0000,6.0000,[-39.13089   -42.291386    3.7018619],20.0000,3.0000,[-18.977335  -36.85967     5.7343445],20.0000,3.0000,[-40.05395   -58.364544    4.7135134],20.0000,4.0000
74,[-31.09524    -18.85896      0.47964004],20.0000,6.0000,[-39.98817   -42.978874    3.6095207],20.0000,6.0000,[-18.01148   -37.372517    5.5930276],20.0000,3.0000,[-40.039455 -58.94328    4.71482 ],20.0000,4.0000
