step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1
111,[-22.421818  -39.228848    4.2576065],20.0000,6.0000,[-52.486027 -79.23365    4.954226],20.0000,6.0000,[-28.3954    -67.21976     5.4828544],20.0000,6.0000,[-37.398537 -80.08932    5.076085],20.0000,4.0000
112,[-22.97938   -40.171276    4.5307045],20.0000,6.0000,[-52.315197  -80.31578     5.2228513],20.0000,6.0000,[-27.766205  -68.130226    5.6593847],20.0000,6.0000,[-37.219883  -80.64057     5.0712304],20.0000,4.0000
113,[-23.316399 -41.21918    4.786351],20.0000,6.0000,[-51.909214  -81.339485    5.4749923],20.0000,6.0000,[-26.987085  -68.916306    5.8367553],20.0000,6.0000,[-37.041367 -81.191734   5.067092],20.0000,4.0000
114,[-23.412424 -42.320843   5.012083],20.0000,6.0000,[-51.28442  -82.25221    5.697621],20.0000,6.0000,[-26.081652 -69.55292    6.01415 ],20.0000,6.0000,[-36.862957 -81.74282    5.063577],20.0000,4.0000
115,[-23.272964  -43.420223    5.2076206],20.0000,6.0000,[-50.480553  -83.015076    5.8911724],20.0000,3.0000,[-25.078142 -70.019966   6.191288],20.0000,6.0000,[-36.684605  -82.293846    5.0605783],20.0000,5.0000
116,[-22.923212 -44.471912   5.384296],20.0000,3.0000,[-49.541634 -83.60102    5.791859],20.0000,3.0000,[-24.008041   -70.30294      0.08501109],20.0000,6.0000,[-36.509064 -82.845825   5.149759],20.0000,5.0000
117,[-22.383999  -45.43776     5.2795153],20.0000,3.0000,[-48.633728  -84.2179      5.5950084],20.0000,3.0000,[-22.904846   -70.39314      0.26180804],20.0000,6.0000,[-36.30303  -83.388374   5.272753],20.0000,5.0000
118,[-21.892378  -46.41879     5.0832567],20.0000,3.0000,[-47.823044  -84.95063     5.4058537],20.0000,3.0000,[-21.80299    -70.28788      0.43858558],20.0000,6.0000,[-36.053215  -83.91487     5.4042306],20.0000,5.0000
119,[-21.542404  -47.453876    4.8957925],20.0000,3.0000,[-47.12765  -85.792015   5.241949],20.0000,3.0000,[-20.736828  -69.99047     0.6153834],20.0000,3.0000,[-35.75429  -84.418785   5.53262 ],20.0000,5.0000
120,[-21.344938  -48.52742     4.7328877],20.0000,3.0000,[-46.546467  -86.71663     5.0926213],20.0000,3.0000,[-19.744745   -69.50289      0.51692915],20.0000,3.0000,[-35.40529  -84.89312    5.652503],20.0000,5.0000
121,[-21.28695  -49.61801    4.583937],20.0000,3.0000,[-46.07972   -87.70558     4.9511228],20.0000,3.0000,[-18.740881   -69.06006      0.32618412],20.0000,3.0000,[-35.008686 -85.33138    5.762533],20.0000,5.0000
122,[-21.360044  -50.70919     4.4427342],20.0000,3.0000,[-45.73223   -88.74443     4.8189754],20.0000,3.0000,[-17.691051  -68.757095    0.1409827],20.0000,3.0000,[-34.56927  -85.72853    5.864165],20.0000,5.0000
123,[-21.561523 -51.785984   4.310934],20.0000,3.0000,[-45.50653   -89.81806     4.6981235],20.0000,3.0000,[-16.60997   -68.60624     6.2618546],20.0000,3.0000,[-34.092747 -86.0811     5.960107],20.0000,4.0000
124,[-21.886206 -52.83399    4.19045 ],20.0000,3.0000,[-45.40085   -90.91124     4.5883656],20.0000,6.0000,[-15.517927  -68.59491     6.1130476],20.0000,3.0000,[-33.5838    -86.3839      5.9612193],20.0000,5.0000
125,[-22.325085 -53.840782   4.08101 ],20.0000,3.0000,[-45.41899   -92.00898     4.7626715],20.0000,6.0000,[-14.4309   -68.71433    5.971732],20.0000,3.0000,[-33.068768  -86.66889     6.0209155],20.0000,4.0000
126,[-22.867022 -54.79675    3.980262],20.0000,3.0000,[-45.30923  -93.09639    5.037594],20.0000,6.0000,[-13.363694  -68.961334    5.8396387],20.0000,3.0000,[-32.53659   -86.9187      6.0190697],20.0000,4.0000
127,[-23.501026  -55.69456     3.8850563],20.0000,3.0000,[-44.976925 -94.13628    5.318674],20.0000,6.0000,[-12.330495 -69.33028    5.718784],20.0000,3.0000,[-32.000874 -87.15469    5.995939],20.0000,5.0000
128,[-24.21748  -56.528065   3.792644],20.0000,3.0000,[-44.42453  -95.081535   5.591936],20.0000,6.0000,[-11.343387 -69.81174    5.609001],20.0000,3.0000,[-31.467106 -87.39066    6.062102],20.0000,4.0000
129,[-25.008137 -57.291447   3.701209],20.0000,6.0000,[-43.673073  -95.8856      5.8484063],20.0000,6.0000,[-10.411561 -70.39418    5.508004],20.0000,3.0000,[-30.919968 -87.59554    6.074429],20.0000,5.0000
130,[-25.870241  -57.97139     3.8850977],20.0000,6.0000,[-42.75732   -96.50524     6.0753045],20.0000,6.0000,[ -9.541891  -71.06626     5.4126534],20.0000,3.0000,[-30.369507 -87.7897     6.157121],20.0000,4.0000
131,[-26.637688 -58.74943    4.163426],20.0000,6.0000,[-41.728706  -96.917496    6.2717924],20.0000,6.0000,[ -8.740096  -71.81803     5.3201766],20.0000,3.0000,[-29.805912 -87.9458     6.175034],20.0000,5.0000
132,[-27.224018  -59.67035     4.4449735],20.0000,6.0000,[-40.639412   -97.122086     0.16573822],20.0000,3.0000,[ -8.011607 -72.64095    5.228725],20.0000,3.0000,[-29.239199  -88.087975    6.2584977],20.0000,4.0000
133,[-27.596285  -60.700138    4.7181344],20.0000,6.0000,[-3.9533226e+01 -9.7118904e+01  6.1025523e-02],20.0000,3.0000,[ -7.361833 -73.52726    5.137343],20.0000,3.0000,[-28.662788  -88.18983     6.2753086],20.0000,5.0000
134,[-27.732164  -61.79249     4.9737935],20.0000,6.0000,[-38.436844  -97.16459     6.1478677],20.0000,3.0000,[ -6.796034  -74.46934     5.0456834],20.0000,3.0000,[-2.8084711e+01 -8.8277130e+01  7.3926665e-02],20.0000,4.0000
135,[-27.621237 -62.89275    5.199515],20.0000,6.0000,[-37.36188   -97.360405    5.9603305],20.0000,3.0000,[ -6.319055  -75.45932     4.9537163],20.0000,3.0000,[-27.50095    -88.32341      0.08930791],20.0000,4.0000
136,[-27.279371 -63.946896   5.395036],20.0000,6.0000,[-36.327255  -97.708305    5.7973914],20.0000,3.0000,[ -5.9350977 -76.488945    4.861529 ],20.0000,3.0000,[-2.6917301e+01 -8.8352257e+01  7.8212775e-02],20.0000,5.0000
137,[-26.739792 -64.91501    5.571701],20.0000,,[-35.345364  -98.18648     5.6484294],20.0000,,[ -5.647571 -77.54955    4.76922 ],20.0000,,[-26.334703  -88.37873     0.1515104],20.0000,
