step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5,pos_blue6,health_blue6,action_blue6,pos_blue7,health_blue7,action_blue7,pos_blue8,health_blue8,action_blue8,pos_blue9,health_blue9,action_blue9,pos_blue10,health_blue10,action_blue10
10,[10.650019    2.0718777   0.19224583],20.0000,6.0000,[10.650019   22.071878    0.19224583],20.0000,6.0000,[ 10.584962   -17.649193     0.11634846],20.0000,6.0000,[10.650019   42.071877    0.19224583],20.0000,6.0000,[ 10.379706  -37.02627     0.6383771],20.0000,0.0000,[30.661894    2.0103679   0.12298214],20.0000,6.0000,[30.661894   22.010368    0.12298214],20.0000,6.0000,[ 30.584963   -17.649193     0.11634846],20.0000,6.0000,[30.635778  42.12321    0.4173759],20.0000,0.0000,[ 30.797558   -39.19937      0.18560496],20.0000,0.0000,[57.21851   -2.2759817  5.940212 ],20.0000,4.0000,[104.59147  40.14973   0.42303],20.0000,4.0000,[145.14766   -38.883415    2.2370014],20.0000,4.0000,[140.81488     2.4832573   1.9237329],20.0000,4.0000,[117.22902     54.187065     0.54243076],20.0000,4.0000,[5.7024063e+01 3.9512527e+01 4.1018177e-02],20.0000,4.0000,[122.14755   -19.014408    5.5006075],20.0000,5.0000,[63.47827    8.157532   0.9491459],20.0000,3.0000,[102.17292  -18.938707   5.872291],20.0000,4.0000,[106.23048     47.28881      0.60711795],20.0000,4.0000
11,[11.7233095  2.270944   0.4064907],20.0000,0.0000,[11.7233095 22.270945   0.4064907],20.0000,0.0000,[ 11.666916   -17.503487     0.19944249],20.0000,6.0000,[11.7233095 42.270943   0.4064907],20.0000,0.0000,[ 11.300809   -36.435818     0.33564335],20.0000,6.0000,[31.743887   2.1549177  0.2031423],20.0000,6.0000,[31.743887  22.154917   0.2031423],20.0000,6.0000,[ 31.666916   -17.503487     0.19944249],20.0000,6.0000,[31.651348   42.525723    0.12235428],20.0000,6.0000,[ 31.873373  -39.01396     6.1785026],20.0000,6.0000,[57.751034  -2.5148351  5.9257174],20.0000,4.0000,[105.11112     40.412785     0.42729244],20.0000,4.0000,[144.78809   -38.425995    2.2370014],20.0000,4.0000,[140.61377     3.029228    1.9237329],20.0000,4.0000,[117.68884    54.55129     0.5294527],20.0000,4.0000,[5.7606773e+01 3.9503132e+01 3.4097362e-02],20.0000,4.0000,[122.457115 -19.528257   5.558606],20.0000,5.0000,[63.71662    8.702512   0.8619745],20.0000,3.0000,[102.70632  -19.17111    5.872291],20.0000,4.0000,[106.63833     47.721523     0.60675114],20.0000,4.0000
12,[12.743101    2.6626098   0.11158061],20.0000,6.0000,[12.743101   22.66261     0.11158061],20.0000,6.0000,[ 12.737756  -17.291801    0.4149165],20.0000,0.0000,[12.743101   42.66261     0.11158061],20.0000,6.0000,[ 12.332602   -36.07958      0.40856105],20.0000,6.0000,[32.815395    2.363484    0.41685948],20.0000,0.0000,[32.815395   22.363483    0.41685948],20.0000,0.0000,[ 32.737755  -17.291801    0.4149165],20.0000,0.0000,[32.732296   42.678833    0.20573416],20.0000,6.0000,[ 32.963467 -39.085037   6.26757 ],20.0000,6.0000,[58.281403  -2.754937   5.9150887],20.0000,4.0000,[105.62973     40.6755       0.43086973],20.0000,4.0000,[144.42911   -37.96934     2.2370014],20.0000,4.0000,[140.413       3.5742798   1.9237329],20.0000,4.0000,[118.15543     54.904003     0.53659606],20.0000,4.0000,[5.8188305e+01 3.9493195e+01 2.8572200e-02],20.0000,4.0000,[122.80429   -20.012394    5.6285086],20.0000,5.0000,[64.000946    9.223865    0.76984066],20.0000,3.0000,[103.23883  -19.40312    5.872291],20.0000,4.0000,[107.05718    48.136757    0.6377059],20.0000,3.0000
13,[13.825614    2.8042514   0.19504295],20.0000,6.0000,[13.825614   22.80425     0.19504295],20.0000,6.0000,[ 13.752399   -16.887444     0.12062507],20.0000,6.0000,[13.825614   42.804253    0.19504295],20.0000,6.0000,[ 13.343857   -35.667965     0.61908054],20.0000,0.0000,[33.83188     2.7638826   0.12164886],20.0000,6.0000,[33.83188    22.763884    0.12164886],20.0000,6.0000,[ 33.7524     -16.887444     0.12062507],20.0000,6.0000,[33.801624   42.898018    0.42140368],20.0000,0.0000,[ 34.05513   -39.0864      0.2055231],20.0000,0.0000,[58.810345  -2.9958215  5.9071546],20.0000,4.0000,[106.14764     40.93795      0.43390185],20.0000,4.0000,[144.07056   -37.513214    2.2370014],20.0000,4.0000,[140.21245     4.118705    1.9237329],20.0000,4.0000,[118.62336     55.25225      0.54984224],20.0000,4.0000,[5.8769020e+01 3.9482929e+01 2.4089042e-02],20.0000,4.0000,[123.187874  -20.465527    5.7101626],20.0000,5.0000,[64.33087     9.717087    0.67594856],20.0000,3.0000,[103.77072  -19.634863   5.872291],20.0000,4.0000,[107.47316    48.549896    0.5800517],20.0000,4.0000
14,[14.897194    3.012145    0.41076136],20.0000,0.0000,[14.897194   23.012146    0.41076136],20.0000,0.0000,[ 14.833139   -16.73232      0.20517068],20.0000,6.0000,[14.897194   43.012146    0.41076136],20.0000,0.0000,[ 14.265332   -35.080166     0.32181028],20.0000,6.0000,[34.913105    2.9148      0.20460024],20.0000,6.0000,[34.913105   22.9148      0.20460024],20.0000,6.0000,[ 34.833138   -16.73232      0.20517068],20.0000,6.0000,[34.81333    43.309597    0.12720148],20.0000,6.0000,[ 35.127995  -38.884182    6.1973476],20.0000,6.0000,[59.33834   -3.237151   5.9010653],20.0000,4.0000,[106.66507     41.20019      0.43649963],20.0000,4.0000,[143.71228   -37.057446    2.2370014],20.0000,4.0000,[140.01205     4.6627026   1.9237329],20.0000,4.0000,[119.09062     55.59928      0.56316346],20.0000,4.0000,[5.9349171e+01 3.9472473e+01 2.0386551e-02],20.0000,4.0000,[123.60782  -20.883965   5.799268],20.0000,5.0000,[64.704575 10.17774   0.581936],20.0000,3.0000,[104.3022   -19.866425   5.872291],20.0000,4.0000,[107.91124    48.9391      0.5737549],20.0000,4.0000
15,[15.913171    3.4130592   0.11657949],20.0000,6.0000,[15.913171   23.41306     0.11657949],20.0000,6.0000,[ 15.901908   -16.51046      0.42169264],20.0000,0.0000,[15.913171   43.41306     0.11657949],20.0000,6.0000,[ 15.297613  -34.725216    0.4016821],20.0000,6.0000,[35.982933    3.1315575   0.41997072],20.0000,0.0000,[35.982933   23.131557    0.41997072],20.0000,0.0000,[ 35.90191    -16.51046      0.42169264],20.0000,0.0000,[35.892952   43.472412    0.21190888],20.0000,6.0000,[ 3.6218891e+01 -3.8938702e+01  2.3928331e-03],20.0000,6.0000,[59.865726  -3.478707   5.8962517],20.0000,4.0000,[107.18218     41.46225      0.43874833],20.0000,4.0000,[143.35419   -36.60192     2.2370014],20.0000,4.0000,[139.81178     5.2064085   1.9237329],20.0000,4.0000,[119.55674     55.94634      0.57455176],20.0000,4.0000,[5.9928928e+01 3.9461933e+01 1.7277507e-02],20.0000,4.0000,[124.06296   -21.263424    5.8919263],20.0000,4.0000,[65.1192     10.601733    0.48840302],20.0000,3.0000,[104.83339  -20.097862   5.872291],20.0000,4.0000,[108.3566      49.317467     0.58697885],20.0000,4.0000
16,[16.994446    3.5645146   0.20131902],20.0000,6.0000,[16.994446   23.564514    0.20131902],20.0000,0.0000,[ 16.912254   -16.09582      0.12785025],20.0000,6.0000,[16.994446   43.564514    0.20131902],20.0000,6.0000,[ 16.307095   -34.30978      0.61526334],20.0000,0.0000,[36.99569     3.5406575   0.12562922],20.0000,6.0000,[36.99569    23.540657    0.12562922],20.0000,6.0000,[ 36.912254   -16.09582      0.12785025],20.0000,6.0000,[36.960094   43.701965    0.42856002],20.0000,0.0000,[ 37.31041    -38.923737     0.22249052],20.0000,0.0000,[60.392708  -3.7203572  5.892342 ],20.0000,4.0000,[107.6991     41.72415     0.4407131],20.0000,4.0000,[142.99623   -36.146564    2.2370014],20.0000,4.0000,[139.61157     5.749915    1.9237329],20.0000,4.0000,[120.02181    56.29376     0.5837372],20.0000,4.0000,[6.0508404e+01 3.9451366e+01 1.4628284e-02],20.0000,4.0000,[124.55184  -21.59715    5.893941],20.0000,4.0000,[65.57123    10.985413    0.39540783],20.0000,4.0000,[105.36439  -20.329216   5.872291],20.0000,4.0000,[108.80299    49.692173    0.6047588],20.0000,4.0000
17,[18.06394    3.7828505  0.4179957],20.0000,0.0000,[18.060375 23.800323  6.150629],20.0000,6.0000,[ 17.991442   -15.929757     0.21322376],20.0000,6.0000,[18.06394   43.782852   0.4179957],20.0000,0.0000,[ 17.224918   -33.717175     0.31998432],20.0000,6.0000,[38.075684    3.7008421   0.21007963],20.0000,6.0000,[38.075684   23.700842    0.21007963],20.0000,0.0000,[ 37.991444   -15.929757     0.21322376],20.0000,6.0000,[37.96738    44.12396     0.13476846],20.0000,6.0000,[ 38.380318 -38.706123   6.213696],20.0000,6.0000,[60.919422  -3.9620223  5.889095 ],20.0000,4.0000,[108.21587   41.985916   0.442444],20.0000,4.0000,[142.63837   -35.691322    2.2370014],20.0000,4.0000,[139.41142     6.2932854   1.9237329],20.0000,4.0000,[120.48609     56.641525     0.59103304],20.0000,4.0000,[6.1087685e+01 3.9440826e+01 1.2342488e-02],20.0000,4.0000,[125.04881   -21.911428    5.8639274],20.0000,4.0000,[66.05788   11.322814   0.3945619],20.0000,4.0000,[105.895256 -20.56051    5.872291],20.0000,4.0000,[109.24827     50.06638      0.62104404],20.0000,4.0000
18,[19.075588    4.19426     0.12421519],20.0000,6.0000,[19.153803 23.741943  6.231547],20.0000,6.0000,[ 19.05782    -15.696659     0.43043652],20.0000,0.0000,[19.075588   44.19426     0.12421519],20.0000,6.0000,[ 18.255304  -33.35644     0.4028395],20.0000,6.0000,[39.143414    3.9276536   0.42652637],20.0000,0.0000,[39.139694  23.945095   6.1591597],20.0000,6.0000,[ 39.05782    -15.696659     0.43043652],20.0000,0.0000,[39.045338   44.297874    0.22023953],20.0000,0.0000,[ 3.9471790e+01 -3.8745228e+01  1.8199524e-02],20.0000,6.0000,[61.44597   -4.2036552  5.8863463],20.0000,4.0000,[108.73257     42.247555     0.44397995],20.0000,4.0000,[142.28056   -35.236156    2.2370014],20.0000,4.0000,[139.21129     6.836562    1.9237329],20.0000,4.0000,[120.94979     56.989536     0.59685636],20.0000,4.0000,[6.1666821e+01 3.9430332e+01 1.0349345e-02],20.0000,4.0000,[125.54449   -22.221483    5.8302326],20.0000,5.0000,[66.55268    11.640662    0.42592403],20.0000,4.0000,[106.426025 -20.791765   5.872291],20.0000,4.0000,[109.69205   50.44112    0.634242],20.0000,4.0000
19,[20.155313    4.356864    0.20970525],20.0000,6.0000,[20.246641   23.738596    0.17855534],20.0000,0.0000,[ 20.063486   -15.270987     0.13690893],20.0000,6.0000,[20.155313   44.356865    0.20970525],20.0000,0.0000,[ 19.261585  -32.933456    0.6181478],20.0000,0.0000,[40.151855    4.3469267   0.13265385],20.0000,6.0000,[40.233486 23.895264  6.239939],20.0000,6.0000,[ 40.063484   -15.270987     0.13690893],20.0000,6.0000,[40.106083  44.55618    6.1701727],20.0000,6.0000,[ 40.562973   -38.715034     0.23768485],20.0000,0.0000,[61.972404  -4.445229   5.8839855],20.0000,4.0000,[109.24922    42.509075    0.4453515],20.0000,4.0000,[141.9228    -34.781044    2.2370014],20.0000,4.0000,[139.0112      7.3797755   1.9237329],20.0000,2.0000,[121.41312    57.33769     0.6015693],20.0000,4.0000,[6.2245853e+01 3.9419903e+01 8.5958056e-03],20.0000,4.0000,[126.035324  -22.535803    5.8945937],20.0000,4.0000,[67.046005  11.954439   0.4605706],20.0000,3.0000,[106.95673  -21.022993   5.872291],20.0000,4.0000,[110.13454     50.816532     0.64450365],20.0000,4.0000
