step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5,pos_blue6,health_blue6,action_blue6,pos_blue7,health_blue7,action_blue7,pos_blue8,health_blue8,action_blue8,pos_blue9,health_blue9,action_blue9,pos_blue10,health_blue10,action_blue10
230,[229.84645    73.33506     5.9783525],20.0000,0.0000,[230.80717    93.052734    5.3624725],20.0000,6.0000,[2.3061006e+02 2.6180237e+01 1.9563602e-01],20.0000,6.0000,[223.51463   113.641914    4.8259926],20.0000,6.0000,[178.78752  -85.88829    4.796712],20.0000,6.0000,[2.4911174e+02 3.5477283e+01 8.6508900e-02],20.0000,0.0000,[247.42189   106.134766    5.2069225],20.0000,6.0000,[244.97827    -9.599299    5.2746854],20.0000,6.0000,[230.73709   127.83161     4.9558573],20.0000,0.0000,[226.61916   -88.32641     0.4161216],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[250.12895   -28.52635     5.3742776],20.0000,4.0000,[251.94391    43.10074     0.6990775],20.0000,5.0000,[220.65361  114.29144    4.243699],20.0000,2.0000,[91.02704   45.923874   1.7556447],20.0000,,[227.66736   -80.22256     1.0514641],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[164.74933  -99.37307    4.237592],20.0000,4.0000,[174.83926   115.43065     2.9368582],20.0000,4.0000
231,[230.88399   72.99567    5.689353],20.0000,6.0000,[231.58075    92.26966     5.4682717],20.0000,0.0000,[231.68216    26.385586    0.2639952],20.0000,0.0000,[223.78284  112.57388    4.942723],20.0000,0.0000,[178.86949   -86.97681     5.0108767],20.0000,0.0000,[250.19995    35.563038    6.0278907],20.0000,6.0000,[248.06429  105.241035   5.330539],20.0000,0.0000,[245.5684    -10.517618    5.4939847],20.0000,0.0000,[231.10152  126.79742    4.675742],20.0000,6.0000,[227.63281    -87.919685     0.46707246],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[250.50073  -28.97035    5.376866],20.0000,4.0000,[252.43906     43.411137     0.78246987],20.0000,5.0000,[220.55981   113.69023     4.0630393],20.0000,2.0000,[91.02704   45.923874   1.7556447],20.0000,,[228.04958   -79.774414    1.0701522],20.0000,5.0000,[97.650635  28.401318   1.6919636],20.0000,,[164.50719   -99.89933     4.2042074],20.0000,4.0000,[174.27441   115.55704     2.9362102],20.0000,4.0000
232,[231.81471    72.423485    5.7791605],20.0000,0.0000,[232.40552    91.54706     5.1822605],20.0000,0.0000,[232.73813   26.662123   6.205377],20.0000,6.0000,[224.13365   111.53498     4.6626077],20.0000,6.0000,[179.14867  -88.03296    4.715923],20.0000,6.0000,[251.27217    35.34885     6.1052623],20.0000,6.0000,[248.7785   104.409515   5.05042 ],20.0000,6.0000,[246.31877   -11.3108015   5.20155  ],20.0000,6.0000,[231.20657   125.70128     4.7920895],20.0000,0.0000,[228.6305    -87.47389     0.6662435],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[250.87247   -29.414333    5.3791103],20.0000,3.0000,[252.91382    43.75447     0.8907299],20.0000,5.0000,[220.35864   113.116325    3.8882525],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[228.41461   -79.31443     1.1440731],20.0000,5.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 164.25215   -100.41975      4.1932583],20.0000,4.0000,[173.70955   115.683334    2.9356115],20.0000,4.0000
233,[232.78804   71.92806    5.450675],20.0000,6.0000,[233.04646   90.64831    4.746616],20.0000,6.0000,[233.83131    26.640608    6.2827487],20.0000,6.0000,[224.22432   110.43756     4.7789555],20.0000,0.0000,[179.17252   -89.124435    4.7993107],20.0000,6.0000,[2.5235275e+02 3.5190479e+01 4.3761469e-02],20.0000,6.0000,[249.27449   103.42684     5.1650286],20.0000,0.0000,[246.86241  -12.257983   5.288791],20.0000,6.0000,[231.39745   124.62149     4.5116873],20.0000,6.0000,[229.54752   -86.87419     0.9116584],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[251.24648   -29.85648     5.2893147],20.0000,4.0000,[253.35896    44.138786    1.0039518],20.0000,4.0000,[220.05737   112.58976     3.8061848],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[228.74825   -78.83036     1.2423198],20.0000,5.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 163.99165   -100.93747      4.1914515],20.0000,3.0000,[173.14468   115.80956     2.9350572],20.0000,4.0000
234,[233.59811   71.18936    5.535237],20.0000,6.0000,[233.30977    89.56513     4.8611736],20.0000,0.0000,[2.3492288e+02 2.6675505e+01 2.2124776e-01],20.0000,6.0000,[224.40097  109.35536    4.498553],20.0000,6.0000,[179.26335   -90.21221     5.0149775],20.0000,0.0000,[253.44418     35.217087     0.30586138],20.0000,0.0000,[249.84421   102.49012     4.8822303],20.0000,6.0000,[247.4646   -13.168436   5.507796],20.0000,0.0000,[231.32208  123.52291    4.627927],20.0000,0.0000,[230.32811   -86.09813     1.1568464],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[251.59373  -30.320995   5.257564],20.0000,4.0000,[253.76459    44.566643    1.0218877],20.0000,4.0000,[219.69977   112.10779     3.7507436],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[229.0404    -78.3185      1.3474076],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 163.73146   -101.45543      4.1014447],20.0000,4.0000,[172.5798   115.93571    2.934543],20.0000,4.0000
235,[234.44173   70.49376    5.772657],20.0000,0.0000,[233.61862   88.507675   4.639482],20.0000,0.0000,[235.99248     26.894394     0.48334768],20.0000,0.0000,[224.31119   108.257866    4.6147923],20.0000,0.0000,[179.55205   -91.26559     4.7207723],20.0000,6.0000,[2.5450487e+02 3.5483101e+01 2.3234196e-02],20.0000,6.0000,[250.1712    101.438705    4.9971895],20.0000,0.0000,[248.22522  -13.951809   5.215198],20.0000,6.0000,[231.33394  122.426445   4.347493],20.0000,6.0000,[230.92685   -85.16893     1.3799536],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[251.9292    -30.794413    5.2489867],20.0000,4.0000,[254.1506     45.00897     1.0024277],20.0000,5.0000,[219.30513  111.66196    3.689383],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[229.28151   -77.77977     1.3596089],20.0000,5.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 163.43907  -101.95722     4.071049],20.0000,4.0000,[172.0149    116.06178     2.9340646],20.0000,4.0000
236,[235.4024    69.97523    5.495291],20.0000,6.0000,[233.71782    87.405975    4.2433214],20.0000,0.0000,[2.3698953e+02 2.7343498e+01 2.0072049e-01],20.0000,6.0000,[224.30865   107.16134     4.3343587],20.0000,6.0000,[179.58571   -92.356895    4.8054695],20.0000,6.0000,[2.5559616e+02 3.5507038e+01 1.0418107e-01],20.0000,0.0000,[250.57793   100.42041     4.7159696],20.0000,0.0000,[248.78108  -14.891843   5.302265],20.0000,6.0000,[231.08005   121.35495     4.4637375],20.0000,0.0000,[231.3196    -84.13307     1.5766492],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[252.2594   -31.271399   5.249809],20.0000,4.0000,[254.53276   45.451603   1.06605 ],20.0000,5.0000,[218.87827   111.25039     3.6147604],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[229.50325   -77.23541     1.4282302],20.0000,5.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 163.13321   -102.45112      4.0649495],20.0000,4.0000,[171.45      116.18778     2.9336193],20.0000,4.0000
237,[236.22305    69.25193     5.5899897],20.0000,0.0000,[233.4399     86.32309     3.8247766],20.0000,0.0000,[238.05945     27.559734     0.28166738],20.0000,0.0000,[224.04071  106.09327    4.450603],20.0000,0.0000,[179.68709  -93.44373    5.022112],20.0000,0.0000,[256.6824    35.61471    6.050234],20.0000,6.0000,[250.745      99.32945     4.2814245],20.0000,0.0000,[249.39497   -15.79445     5.5210886],20.0000,6.0000,[230.91255   120.27129     4.1833234],20.0000,6.0000,[231.50436   -83.04042     1.7552963],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[252.58736   -31.749681    5.2540216],20.0000,4.0000,[254.89081    45.914997    1.1664015],20.0000,5.0000,[218.41989   110.87573     3.5297103],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[229.6891    -76.677414    1.5232817],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 162.82188   -102.941284     4.0684915],20.0000,3.0000,[170.88507   116.31371     2.9332035],20.0000,4.0000
238,[237.09848    68.597534    5.2695646],20.0000,6.0000,[232.76915    85.41802     3.4532652],20.0000,6.0000,[239.10962    27.857498    6.2277203],20.0000,6.0000,[223.859    105.0119     4.170189],20.0000,6.0000,[179.98665  -94.49395    4.728317],20.0000,6.0000,[257.75946   35.425835   6.128905],20.0000,0.0000,[250.50958    98.23628     3.8447268],20.0000,6.0000,[250.15324  -16.58094    5.778944],20.0000,0.0000,[230.48695 119.25569   4.29958],20.0000,0.0000,[231.489    -81.932884   1.927072],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[252.91443   -32.22832     5.2590494],20.0000,4.0000,[255.21161    46.407223    1.2776535],20.0000,4.0000,[217.93102   110.54216     3.4387908],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[229.8252    -76.10448     1.5349696],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 162.51105   -103.43162      3.9833899],20.0000,4.0000,[170.32014  116.43958    2.932815],20.0000,4.0000
239,[237.77507   67.732994   5.360023],20.0000,0.0000,[231.81053    84.833885    3.6789317],20.0000,0.0000,[2.4020309e+02 2.7861750e+01 2.3205971e-02],20.0000,0.0000,[223.4201   104.001976   4.286446],20.0000,0.0000,[180.03151   -95.58493     4.8137813],20.0000,6.0000,[258.84634    35.31149     5.8008676],20.0000,6.0000,[249.84903    97.32743     4.0215096],20.0000,0.0000,[251.06718   -17.183983    5.4914975],20.0000,6.0000,[230.14462   118.21397     4.0191755],20.0000,6.0000,[231.28154   -80.8454      2.0990324],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[253.2412    -32.70696     5.2638707],20.0000,4.0000,[255.48384    46.929592    1.2962416],20.0000,4.0000,[217.41408   110.25372     3.3454266],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[229.94048   -75.52949     1.5147681],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 162.16983  -103.90284     3.957025],20.0000,4.0000,[169.7552    116.565384    2.9324515],20.0000,4.0000
240,[238.50638   66.91752    5.055706],20.0000,6.0000,[230.9428     84.15771     3.5286858],20.0000,0.0000,[241.29309   27.941097   5.978354],20.0000,6.0000,[223.0641   102.96484    4.006041],20.0000,6.0000,[180.14445   -96.67062     5.0310745],20.0000,0.0000,[259.8678     34.90915     5.8890586],20.0000,6.0000,[249.26929   96.390434   3.85991 ],20.0000,0.0000,[251.82246  -17.972227   5.564211],20.0000,6.0000,[229.55879  117.28156    4.135436],20.0000,0.0000,[230.88956  -79.810326   2.273397],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[253.56786  -33.185493   5.268158],20.0000,3.0000,[255.73376    47.460464    1.2782531],20.0000,4.0000,[216.8727   110.01379    3.251545],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.05052   -74.95601     1.4878619],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 161.816    -104.3646      3.954927],20.0000,3.0000,[169.19025   116.691124    2.9321108],20.0000,4.0000
241,[239.00693    65.93725     5.1608024],20.0000,6.0000,[229.99052    83.60211     3.1471581],20.0000,6.0000,[242.36955   27.725424   6.066545],20.0000,6.0000,[222.46608  102.040215   4.122302],20.0000,0.0000,[180.4556    -97.7174      4.7375865],20.0000,6.0000,[260.9041     34.5584      6.1346006],20.0000,6.0000,[248.55688    95.54685     3.4824893],20.0000,6.0000,[252.61992  -18.718454   5.773868],20.0000,0.0000,[229.05083   116.30979     3.8550324],20.0000,0.0000,[230.32365  -78.85921    2.449733],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[253.89702   -33.662346    5.1801076],20.0000,4.0000,[255.97704   47.99162    1.251422],20.0000,4.0000,[216.31128   109.82489     3.1579661],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.1616    -74.38449     1.4642473],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 161.45961  -104.82413     3.870213],20.0000,4.0000,[168.62527   116.8168      2.9317908],20.0000,4.0000
242,[239.55814   64.99113    5.424833],20.0000,6.0000,[228.90013    83.39049     3.2662115],20.0000,0.0000,[2.4345151e+02 2.7563148e+01 2.8901797e-02],20.0000,6.0000,[221.9454    101.075195    3.8418982],20.0000,6.0000,[180.5125    -98.80787     4.8235335],20.0000,0.0000,[2.6198444e+02 3.4402180e+01 1.3002563e-01],20.0000,6.0000,[247.59879    94.982765    3.6095629],20.0000,0.0000,[253.54031  -19.30909    5.474634],20.0000,6.0000,[228.33218  115.47217    3.420741],20.0000,0.0000,[229.59981   -78.02194     2.6269584],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[254.19746   -34.15898     5.1498322],20.0000,4.0000,[256.22043   48.520714   1.227196],20.0000,4.0000,[215.73468  109.688805   3.064879],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.27519   -73.81459     1.4460849],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 161.07358   -105.26078      3.8463752],20.0000,4.0000,[168.0603    116.94242     2.9314902],20.0000,4.0000
243,[240.27963    64.17196     5.7129197],20.0000,6.0000,[227.83418    83.117966    3.0287194],20.0000,6.0000,[244.54245     27.600122     0.30751193],20.0000,6.0000,[221.20433   100.26072     3.9581585],20.0000,0.0000,[180.65538  -99.89025    4.490711],20.0000,6.0000,[263.07486     34.481884     0.40401134],20.0000,0.0000,[246.68726    94.36642     3.3796089],20.0000,0.0000,[254.2954    -20.097338    5.5509243],20.0000,6.0000,[227.34973   114.93816     2.9840097],20.0000,0.0000,[228.73985   -77.32512     2.8042934],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[254.48503  -34.663403   5.142969],20.0000,4.0000,[256.4658     49.0476      1.2083751],20.0000,4.0000,[215.14792  109.60669    2.972195],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.39102   -73.245834    1.4326885],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 160.67561   -105.68616      3.8476987],20.0000,3.0000,[167.49532   117.06799     2.9312074],20.0000,4.0000
244,[241.1661    63.532246   5.989745],20.0000,0.0000,[226.73177    83.08377     3.1726031],20.0000,0.0000,[245.60167     27.871098     0.58149767],20.0000,0.0000,[220.53294    99.39375     3.6777542],20.0000,6.0000,[ 180.50331   -100.97491      4.5722914],20.0000,0.0000,[2.6411975e+02 3.4814632e+01 1.1691206e-01],20.0000,6.0000,[245.6677    93.939156   2.975572],20.0000,6.0000,[255.09406  -20.841663   5.762802],20.0000,0.0000,[226.22714  114.829025   2.610098],20.0000,0.0000,[227.77052   -76.79073     2.9814274],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[254.76694  -35.1708     5.145482],20.0000,3.0000,[256.7131     49.572777    1.1944588],20.0000,4.0000,[214.55655  109.5821     2.971517],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.50844   -72.67784     1.4228086],20.0000,3.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 160.27556   -106.10896      3.7661867],20.0000,4.0000,[166.93033   117.193504    2.9309409],20.0000,4.0000
245,[242.18108    63.11748     5.7040086],20.0000,6.0000,[225.64403    82.943886    2.9095151],20.0000,6.0000,[246.57138     28.383093     0.29439837],20.0000,6.0000,[219.66873    98.71132     3.7940142],20.0000,0.0000,[ 180.4236    -102.066025     4.2534385],20.0000,6.0000,[2.6520737e+02 3.4912029e+01 1.8217859e-01],20.0000,6.0000,[244.55423    93.89917     3.1029887],20.0000,0.0000,[256.01514   -21.42971     5.4664044],20.0000,6.0000,[225.1431    115.138885    2.2906332],20.0000,6.0000,[226.72223   -76.43544     3.1583529],20.0000,0.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[255.04924   -35.67789     5.0594044],20.0000,4.0000,[256.96185    50.096775    1.1842092],20.0000,4.0000,[213.96869   109.57834     3.0029526],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.62395  -72.10992    1.323616],20.0000,3.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 159.8485    -106.50624      3.7447877],20.0000,4.0000,[166.36533   117.31897     2.9306898],20.0000,4.0000
246,[243.07846    62.495327    5.7702246],20.0000,6.0000,[224.54903   83.056526   3.031015],20.0000,0.0000,[247.62471    28.670984    0.3596649],20.0000,6.0000,[218.86472    97.96572     3.5136094],20.0000,6.0000,[ 180.05753 -103.10268    4.349  ],20.0000,0.0000,[266.28943   35.063232   0.387663],20.0000,0.0000,[243.4579     93.79686     2.8835216],20.0000,6.0000,[256.772    -22.216381   5.547463],20.0000,6.0000,[224.23567   115.79498     2.5319684],20.0000,0.0000,[225.62805   -76.28804     2.7846136],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[255.30019   -36.202568    5.0322504],20.0000,3.0000,[257.21155    50.62        1.1765206],20.0000,3.0000,[213.38417   109.57722     3.0376189],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.77063   -71.55004     1.1928747],20.0000,3.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 159.4109    -106.891205     3.7481263],20.0000,3.0000,[165.80031   117.44438     2.9304526],20.0000,4.0000
247,[244.00647   61.918705   5.976132],20.0000,6.0000,[223.45297   83.07634    2.750717],20.0000,6.0000,[248.66309    29.010859    0.5651493],20.0000,0.0000,[217.9006     97.43368     3.6298695],20.0000,0.0000,[ 179.76273  -104.15839     4.053472],20.0000,6.0000,[2.6732855e+02 3.5405861e+01 8.5190505e-02],20.0000,6.0000,[242.36214    93.92251     3.0361416],20.0000,0.0000,[257.57465   -22.956205    5.7616787],20.0000,0.0000,[223.26738   116.314896    2.3740945],20.0000,6.0000,[224.62163  -75.86286    2.794105],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[255.53964   -36.73292     4.9376507],20.0000,4.0000,[257.459      51.143875    1.0788338],20.0000,3.0000,[212.8018   109.57262    3.065542],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[230.96092   -71.00291     1.0540513],20.0000,3.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 158.97179  -107.27357     3.668127],20.0000,4.0000,[165.23529   117.56975     2.9302285],20.0000,4.0000
248,[245.01878    61.4999      6.2244077],20.0000,0.0000,[222.3893     83.3601      2.8657277],20.0000,0.0000,[249.62541    29.53157     0.2626768],20.0000,6.0000,[216.98555    96.82948     3.3494647],20.0000,6.0000,[ 179.20949  -105.110535    4.164009],20.0000,0.0000,[2.6841650e+02 3.5494476e+01 1.5786852e-01],20.0000,6.0000,[241.26569    93.93389     2.7759933],20.0000,6.0000,[258.4994    -23.537785    5.4667525],20.0000,6.0000,[222.3894   116.977      2.536222],20.0000,0.0000,[223.6126    -75.44344     2.9761436],20.0000,0.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[255.74104  -37.280518   4.911317],20.0000,4.0000,[257.73474     51.65274      0.94906765],20.0000,3.0000,[212.22072   109.56391     3.0857978],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[231.19865   -70.47233     0.9146228],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 158.50844   -107.62809      3.6477072],20.0000,4.0000,[164.67026   117.69507     2.9300165],20.0000,4.0000
249,[246.10123   61.312897   5.920604],20.0000,6.0000,[221.31091    83.558174    2.5835614],20.0000,6.0000,[250.68062    29.81088     0.3353548],20.0000,0.0000,[215.94746    96.462135    3.4657245],20.0000,0.0000,[ 178.73076   -106.0972       3.8817973],20.0000,6.0000,[269.49838     35.64166      0.36827314],20.0000,0.0000,[240.19621    94.193344    2.8974233],20.0000,0.0000,[259.26157  -24.31942    5.550187],20.0000,0.0000,[221.44287   117.52742     2.2645104],20.0000,6.0000,[222.54799  -75.19154    2.665988],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[255.92497  -37.83383    4.913234],20.0000,3.0000,[258.04965     52.13908      0.81069285],20.0000,3.0000,[211.6404    109.55206     3.1001108],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[231.4888    -69.96531     0.8721222],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 158.03593   -107.96944      3.6517475],20.0000,3.0000,[164.10521  117.82034    2.929816],20.0000,4.0000
250,[247.10811    60.889626    5.9727116],20.0000,0.0000,[220.3083     84.01337     2.6988747],20.0000,0.0000,[251.71364   30.1636     6.278393],20.0000,6.0000,[214.94598  96.01559   3.18532],20.0000,6.0000,[ 178.0238    -106.941734     3.9982278],20.0000,0.0000,[2.7053714e+02 3.5981792e+01 7.0886299e-02],20.0000,6.0000,[239.1129     94.36033     2.6158633],20.0000,6.0000,[260.08218   -25.039356    5.2153344],20.0000,6.0000,[220.64558   118.284065    2.3759482],20.0000,0.0000,[221.57773   -74.691444    2.7375546],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[256.10498   -38.387802    4.8332915],20.0000,4.0000,[258.40677    52.5981      0.6716893],20.0000,3.0000,[211.06058   109.53817     3.1103456],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[231.80092   -69.47165     0.8697301],20.0000,3.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 157.56227   -108.30814      3.5722234],20.0000,4.0000,[163.54016  117.94558    2.929626],20.0000,4.0000
251,[248.13696    60.523396    5.6216006],20.0000,6.0000,[219.27731    84.386765    2.4178855],20.0000,6.0000,[2.5280550e+02 3.0223045e+01 7.3101982e-02],20.0000,0.0000,[213.86182    95.822815    3.3015797],20.0000,0.0000,[ 177.3884    -107.83551      3.7187834],20.0000,6.0000,[2.7162524e+02 3.6068825e+01 1.5056469e-01],20.0000,6.0000,[238.0974     94.78514     2.7299852],20.0000,0.0000,[260.68127   -25.955603    5.2956834],20.0000,6.0000,[219.79283  118.97205    2.085063],20.0000,6.0000,[220.5822    -74.243286    2.9476907],20.0000,0.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[256.24957   -38.953243    4.8134384],20.0000,3.0000,[258.80756    53.023994    0.5380364],20.0000,3.0000,[210.48108   109.52303     3.1178873],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[232.11859   -68.98242     0.7904098],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 157.06721  -108.616905    3.552085],20.0000,4.0000,[162.97511  118.07077    2.929446],20.0000,4.0000
252,[249.02438   59.886375   5.69332 ],20.0000,0.0000,[218.36314    85.00068     2.5339677],20.0000,0.0000,[253.89018    30.356672    6.0279207],20.0000,6.0000,[212.80083    95.54592     3.0211751],20.0000,6.0000,[ 176.55316  -108.55319     3.835686],20.0000,0.0000,[272.70636     36.21997      0.36404493],20.0000,0.0000,[237.05585    95.12756     2.4470956],20.0000,6.0000,[261.32468   -26.838818    5.5244894],20.0000,0.0000,[219.1333    119.85316     2.1948903],20.0000,6.0000,[219.52129   -73.9811      2.6506763],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[256.3813    -39.521603    4.7264404],20.0000,4.0000,[259.25104     53.410187     0.41384637],20.0000,3.0000,[209.9018    109.507164    3.1236472],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[232.46832   -68.51426     0.7727511],20.0000,3.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 156.56433  -108.91172     3.556309],20.0000,4.0000,[162.41005  118.19592    2.929275],20.0000,4.0000
253,[249.95186  59.30965   5.35762],20.0000,6.0000,[217.40735    85.538124    2.2535567],20.0000,6.0000,[254.97601   30.19469    6.116038],20.0000,0.0000,[211.69974   95.5329     3.137435],20.0000,0.0000,[ 175.78099   -109.33176      3.5557683],20.0000,6.0000,[2.7374283e+02 3.6565475e+01 6.8706177e-02],20.0000,6.0000,[236.1245    95.71494    2.562114],20.0000,0.0000,[262.1224    -27.583918    5.2412124],20.0000,6.0000,[218.42636   120.68919     2.4602764],20.0000,0.0000,[218.55261   -73.4778      2.7314231],20.0000,0.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[256.47256  -40.09913    4.706369],20.0000,3.0000,[259.73358     53.750717     0.30048168],20.0000,3.0000,[209.3226   109.48792    3.036441],20.0000,3.0000,[91.02704   45.923874   1.7556447],20.0000,,[232.82849    -68.054634     0.68833375],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 156.05939   -109.20111      3.5686593],20.0000,3.0000,[161.84497   118.321045    2.9291127],20.0000,4.0000
254,[250.69154    58.500202    5.4405684],20.0000,0.0000,[216.60594    86.29333     2.3698573],20.0000,0.0000,[256.06766    30.103807    5.8110466],20.0000,6.0000,[210.60776    95.4331      2.8570304],20.0000,6.0000,[ 174.84015   -109.903946     3.6722128],20.0000,6.0000,[2.7483057e+02 3.6658379e+01 1.5146273e-01],20.0000,6.0000,[235.154     96.22537    2.281012],20.0000,6.0000,[262.72888  -28.493786   5.333725],20.0000,0.0000,[217.56154  121.355736   2.197659],20.0000,6.0000,[217.54851   -73.049644    2.3949492],20.0000,6.0000,[87.814384  -6.6999655  1.6266471],20.0000,,[189.91669    75.09388     5.4776425],20.0000,,[256.54904  -40.678345   4.621808],20.0000,4.0000,[2.6024942e+02 5.4041431e+01 1.9662891e-01],20.0000,4.0000,[208.74196  109.500435   2.914912],20.0000,4.0000,[91.02704   45.923874   1.7556447],20.0000,,[233.22096   -67.62073     0.6703794],20.0000,4.0000,[97.650635  28.401318   1.6919636],20.0000,,[ 155.55579   -109.49175      3.4902024],20.0000,4.0000,[161.27989   118.44612     2.9289587],20.0000,4.0000
